case,requested_margin_deg,joint,q_deg,lower_deg,upper_deg,actual_nearest_margin_deg,on_hard_stop_within_1e_minus4_deg
A3.2c:0:CORRIDOR:0.0:FIT:,0.0,1,-3.2816433965533256,-160.42818263663048,160.42818263663048,157.14653924007715,False
A3.2c:0:CORRIDOR:0.0:FIT:,0.0,2,-179.9082315270812,-179.9087476710785,0.0,0.0005161439972880544,False
A3.2c:0:CORRIDOR:0.0:FIT:,0.0,3,-0.002768764025553466,-179.9087476710785,0.0,0.002768764025553466,False
A3.2c:0:CORRIDOR:0.0:FIT:,0.0,4,-104.76012040210303,-107.14310768946395,89.95437383553924,2.382987287360919,False
A3.2c:0:CORRIDOR:0.0:FIT:,0.0,5,9.928462816146306,-89.95437383553924,89.95437383553924,80.02591101939294,False
A3.2c:0:CORRIDOR:0.0:FIT:,0.0,6,-4.247277313798716,-179.9087476710785,179.9087476710785,175.66147035727977,False
A3.2c:1:CORRIDOR:0.0:THIN:,0.0,1,-0.0002261323402347033,-160.42818263663048,160.42818263663048,160.42795650429025,False
A3.2c:1:CORRIDOR:0.0:THIN:,0.0,2,-179.85378312771624,-179.9087476710785,0.0,0.05496454336224588,False
A3.2c:1:CORRIDOR:0.0:THIN:,0.0,3,-0.0007575337309425112,-179.9087476710785,0.0,0.0007575337309425112,False
A3.2c:1:CORRIDOR:0.0:THIN:,0.0,4,-107.08009196091948,-107.14310768946395,89.95437383553924,0.06301572854447102,False
A3.2c:1:CORRIDOR:0.0:THIN:,0.0,5,-89.85061981100998,-89.95437383553924,89.95437383553924,0.10375402452926608,False
A3.2c:1:CORRIDOR:0.0:THIN:,0.0,6,0.005516886992796962,-179.9087476710785,179.9087476710785,179.90323078408568,False
A3.2c:2:CORRIDOR:2.0:FIT:,2.0,1,0.004116745325136514,-160.42818263663048,160.42818263663048,160.42406589130533,False
A3.2c:2:CORRIDOR:2.0:FIT:,2.0,2,-177.9085941993955,-179.9087476710785,0.0,2.000153471682978,False
A3.2c:2:CORRIDOR:2.0:FIT:,2.0,3,-2.000023052286903,-179.9087476710785,0.0,2.000023052286903,False
A3.2c:2:CORRIDOR:2.0:FIT:,2.0,4,-105.1430307626151,-107.14310768946395,89.95437383553924,2.0000769268488483,False
A3.2c:2:CORRIDOR:2.0:FIT:,2.0,5,-87.95428989479281,-89.95437383553924,89.95437383553924,2.0000839407464355,False
A3.2c:2:CORRIDOR:2.0:FIT:,2.0,6,-1.1000889511491252,-179.9087476710785,179.9087476710785,178.80865871992935,False
A3.2c:3:CORRIDOR:2.0:THIN:,2.0,1,0.00010210488474157079,-160.42818263663048,160.42818263663048,160.42808053174574,False
A3.2c:3:CORRIDOR:2.0:THIN:,2.0,2,-177.82088841907375,-179.9087476710785,0.0,2.0878592520047334,False
A3.2c:3:CORRIDOR:2.0:THIN:,2.0,3,-2.021453366574258,-179.9087476710785,0.0,2.021453366574258,False
A3.2c:3:CORRIDOR:2.0:THIN:,2.0,4,-105.07366106302382,-107.14310768946395,89.95437383553924,2.0694466264401257,False
A3.2c:3:CORRIDOR:2.0:THIN:,2.0,5,0.003937660605704614,-89.95437383553924,89.95437383553924,89.95043617493354,False
A3.2c:3:CORRIDOR:2.0:THIN:,2.0,6,0.0037771268802908303,-179.9087476710785,179.9087476710785,179.9049705441982,False
A3.2c:4:CORRIDOR:3.0:FIT:,3.0,1,-0.04560218210327627,-160.42818263663048,160.42818263663048,160.38258045452721,False
A3.2c:4:CORRIDOR:3.0:FIT:,3.0,2,-21.012762706687752,-179.9087476710785,0.0,21.012762706687752,False
A3.2c:4:CORRIDOR:3.0:FIT:,3.0,3,-3.0000000803676667,-179.9087476710785,0.0,3.0000000803676667,False
A3.2c:4:CORRIDOR:3.0:FIT:,3.0,4,86.69225707133612,-107.14310768946395,89.95437383553924,3.262116764203128,False
A3.2c:4:CORRIDOR:3.0:FIT:,3.0,5,-3.7413582567072043,-89.95437383553924,89.95437383553924,86.21301557883204,False
A3.2c:4:CORRIDOR:3.0:FIT:,3.0,6,0.9015587583751359,-179.9087476710785,179.9087476710785,179.00718891270336,False
A3.2c:5:CORRIDOR:3.0:THIN:,3.0,1,0.00010180409625327258,-160.42818263663048,160.42818263663048,160.42808083253422,False
