document,instance,target_name,external_file,target_internal_exists,source_path
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_BUS_12U_CORE,,,False,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_BUS_12U_CORE,SRC_BUS_12U_CORE,,True,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_SOLAR_ARRAY_LEFT_DEPLOYED,,,False,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_SOLAR_ARRAY_LEFT_DEPLOYED,SRC_SOLAR_ARRAY_LEFT,,True,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_SOLAR_ARRAY_RIGHT_DEPLOYED,,,False,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_SOLAR_ARRAY_RIGHT_DEPLOYED,SRC_SOLAR_ARRAY_RIGHT,,True,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_B601_ARM_CORE_Q0,,,False,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_B601_ARM_CORE_Q0,SRC_B601_ARM_CORE_Q0,,True,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_M3R_INTERFACE_ASSEMBLY,,,False,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_M3R_INTERFACE_ASSEMBLY,SRC_M3R_INTERFACE_ASSEMBLY,,True,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_GRIPPER_R1_PALM,,,False,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_GRIPPER_R1_PALM,SRC_GRIPPER_R1_PALM,,True,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_SPACECRAFT_LOAD_BRIDGE,,,False,
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,INST_SPACECRAFT_LOAD_BRIDGE,SRC_SPACECRAFT_LOAD_BRIDGE,,True,
