path,bytes,mtime_ns,sha256,exists,git_state
C:\Users\stude\.codex\attachments\0cd497c9-fcae-4714-997d-859171b88dc2\pasted-text.txt,18519,1787762527274993500,EB9138AF1C04E07F7470587871F26A364DCB754994A6C1131F077D0467E91AC3,True,EXTERNAL_REFERENCE_NOT_PROJECT_GIT
C:\Users\stude\.codex\attachments\5c4c8f8f-b95b-4643-9656-e0cd90647593\pasted-text.txt,18290,1788591404624156400,62F821FF97D8BC27CF1B163BC6517A7545314481E6ED8ADA9D0E7C239F6566BA,True,EXTERNAL_REFERENCE_NOT_PROJECT_GIT
F:\China Graduate Future Flight Vehicle Innovation Competition\.codex\agents\spacecraft-mechanical-design-agent.md,4868,1786115253138666700,B931F490FA787E48176A2DDEEF8309F842AFEF2F5493A2EB56272AA5703C41FF,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\CURRENT_R2_AUTHORITY_DELTA_V8.json,10557,1787898349568440700,961D8E47B5B8CF0285CC86CA204914505CEF2CEA588C35B1B709761095AA1DAE,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\CURRENT_R2_AUTHORITY_INDEX.json,12506,1787850158988730000,9F524E144416AFFB7AE880FD634015A0EB9E6C07ABF9A256BCED67251AFAA677,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\CURRENT_R2_GAP_AND_CRITICAL_PATH_V7.md,6200,1787861948201988700,70640DD729845A0C2C14686BBDC39A06CD19BB73387B94341275CC8BDBE69153,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\current\CURRENT_RELEASE_POINTERS_V1.yaml,1515,1787765746896699200,59BD688A9BC156A378C66C6F6987C76FEE005D9CE6E2CD9826DE4CAE7253ACB8,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\current\PROJECT_CURRENT_AUTHORITY_V1.yaml,15411,1787765746890695900,9789C1A6F693F265F5DC40FECDEF91C02A23C84A1DC3E8676B18ACAD948C2111,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\current\PROJECT_CURRENT_STATE_20260829.md,4474,1787937279129531800,4CB47D85E049B9C512E315622AE8AB7FAFD6F55D8F95FEB49BB3B49002D7B83A,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\10_research\knowledge_base\spacecraft_mechanical_design\README.md,3589,1787618629050446900,6B914066F26F2A3B7E14B38C0534F08304C87AA0519358CFB0829E7F450E359F,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\B5_1_B601_interface_closure_candidate\03_CAD\native_articulated\B51_ARTICULATED_20260728T008\assembly\B51_B601_ARTICULATED_ENGINEERING_ARM.SLDASM,25610223,1785232004876945200,603B87BBD4398FDDB3F732FFBFA7E1C080ED91ED6E0A026D56CBDCBA08DE2E22,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\freecad_authoritative\B601_KINEMATIC_ASSEMBLY_Q0_WITNESS.step,27093,1786114562315661100,433ED2CD199B0206DFB0124D07A986FF228712192B0F501397B8785456D75BBC,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V2_2_NATIVE\Assembly\Space_Embodied_Service_Spacecraft_V2_2.SLDASM,705386,1785779835093038000,30C09B50A0D2967EC1F48050CAAC34D12A43565C44978D54E3785595202DEF7A,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\arm_b601_v1.urdf,11321,1786114526329700400,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\base_link.STL,3898684,1785779835715079300,22641C079014FE968702393F61E7F7F1A8F80C6C1DF45A61E31545F6EAFF3B65,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\gripper_left.STL,2119684,1785779835733030800,C4E0DE70F776B3573D975A6EAAA746CCCBE57C2D5BB12501DA8889979D3AF268,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\gripper_link.STL,2676384,1785779835751087600,A826E164D420A6922E8AD5EE27813F39FA809F6E4FDF39B42FD8A59E7D12E847,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\gripper_right.STL,2119684,1785779835767513700,615B119C0BB97A032BADD5882144E4A2A50C905A3E071AF1FA28B83BFE9B1B65,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link1.STL,499084,1785779835773240100,9DB637A63D37BC2C6398EA5B8BA32FB54122C637D5D77DC134C8782839B654CD,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link2.STL,5992184,1785779835808815100,DEF0D9D82343DCCC1EFF0D9D5572ECA49B3C134DB9807CA12302B99D153DF65E,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link3.STL,4209984,1785779835836369600,CA14D73B5D63F352051F440F4CABC3989567F25EE9D19E7DD749F2D6F0D0561D,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link4.STL,2579684,1785779835853411600,061909364F20BB387F9FF82CB80E506AF959142F9FBB4A39DC86FC8244EE768A,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link5.STL,2119384,1785779835868901400,3A32006227C1F9DBC70E77E07055C61E3F195F1054D4D2EB480262F0873BF001,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link6.STL,1248184,1785779835877413600,C586A7D0B8345D2CD32EAB7DFD2E334ABA56E83F582A6298D41BBF718F2EBEF1,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\model_specs_v0.json,36977,1786114526332698900,712F4B6411B241F37676EEE3F45813C981EE5699238017CB0BC4BB5FA50D4666,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\config\coupled_scene\coupled_model_v0.yaml,3396,1785779835952974800,67A532FB29C7EF66229CB41D6D3882946A8454FF37EDD9CF5933E4C91C2663EB,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\config\coupled_scene\scene_A2_capture.yaml,2784,1785779835957563300,4B979A1DFD183AD938D79D6EB05A8FB0D4164C0E075A5391B467CC50E173A707,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\config\geometry\capture_interface_v1.yaml,802,1785779835962562500,54DD2EF8EA0DDD682F1617A8788DBFF9A61055D4816B5F09E21C34BA86E5CE85,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\config\geometry\flexible_appendage_v1.yaml,1843,1785779835964562500,52FA88084C628CE8845E05DE0C0A892BCA5347B7146C8D1C6B99093927153786,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\config\geometry\frame_tree_v1.yaml,1653,1785779835965565000,958BFF23BF83434C773854FD0E78DA3B09BE4A3A213EB81A0741514750B3E55B,True,TRACKED_CHECK_WORKSPACE_DIFF
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806\03_native_cad\B601_ARM_B51_COPY\assembly\B51_B601_ARTICULATED_ENGINEERING_ARM.SLDASM,25720876,1786183904695730700,597C297526BC4111C3424535139B8A1C93906E7A799FF5346D030700FEF1A32F,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806\03_native_cad\B601_ARM_B51_COPY\inputs\vendor_link_parts\B51_REF_base_link_LINKLOCAL.SLDPRT,7421421,1786183904726018500,3693A96973CCBFE4C00B202C4D80027E44E0CB13BBEA73C6FAABD8A4D1E995B0,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806\03_native_cad\B601_ARM_B51_COPY\inputs\vendor_link_parts\B51_REF_gripper_detail_LINKLOCAL.SLDPRT,5277750,1786183904743109400,6758B99741FFACABC31C2D629C6191F25C461AC877442212B468B141805EEECC,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806\03_native_cad\B601_ARM_B51_COPY\inputs\vendor_link_parts\B51_REF_link1_LINKLOCAL.SLDPRT,817023,1786183904749735400,BDC68C8CC26AF2DB318F800384BBDE5659617B911FD2B64A7D10D1416AC4AEFB,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806\03_native_cad\B601_ARM_B51_COPY\inputs\vendor_link_parts\B51_REF_link2_LINKLOCAL.SLDPRT,9475930,1786183904781733800,DE6FD9A9E878585F0D7AB4476679E6A1F4CC49732D298AF4BA3AD8503381730E,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806\03_native_cad\B601_ARM_B51_COPY\inputs\vendor_link_parts\B51_REF_link3_LINKLOCAL.SLDPRT,7435199,1786183904802285500,1D8E82786F8F8D06BF75EDBCC1B0E8662D364BE08DE81E1BD3C4442811259F83,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806\03_native_cad\B601_ARM_B51_COPY\inputs\vendor_link_parts\B51_REF_link4_LINKLOCAL.SLDPRT,5720938,1786183904821795900,3E60226EAE9BBFC460C0B7DC1CF2138ABFD8B579CD962F545E2821A4DDBC0AE4,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806\03_native_cad\B601_ARM_B51_COPY\inputs\vendor_link_parts\B51_REF_link5_LINKLOCAL.SLDPRT,4420332,1786183904837186100,EE7F882445CD43603902FBA7E66FF7F0A5765BEC09EC962DC39546132274513A,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806\03_native_cad\B601_ARM_B51_COPY\inputs\vendor_link_parts\B51_REF_link6_LINKLOCAL.SLDPRT,8245526,1786183904864148300,863AEF31D7DEB964F6AF1B99DAC060EF5ED261340D2BE0F52419B1DEE775E68C,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806\03_native_cad\B601_ARM_B51_COPY\parts\B51_REV_DATUM_FEMALE.SLDPRT,86310,1786183904868069400,7AA2A808F289CECA4024FE989CFFF80131D34022B1A3D8C5A2740F6C6D55593C,True,LOCAL_ONLY_UNTRACKED
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806\03_native_cad\B601_ARM_B51_COPY\parts\B51_REV_DATUM_MALE.SLDPRT,73486,1786183904870212700,1D05F4F1F74037F3D028E1313C221ADBB48875F513CDF343E0BCA419F3D0385F,True,LOCAL_ONLY_UNTRACKED
