file,bytes,sha256
00_航天服务星机械设计现状总览.md,8368,075178354AAB8DFFBEF7EDB2687D04CA093C93770C4616BE1981E2FE947F4DB0
01_WORKSPACE_AND_SCOPE.md,4554,0CC22B4CCB42B2DFD76738E28423C763EE2EF98E89768A1B0B4BE1CF41DB4CBC
02_ASSET_INTEGRATION_VERIFICATION.csv,22623,C486ECB1DF4288BCC724B69D055BD7A41308B479391DC165B9B3ACC411ED3090
03_NATIVE_ASSEMBLY_AUDIT.md,15115,C394260531311FDE604938515EA5AE2AE0C9FDB54B682B95FEF24A17AC010BA2
04_A3_METHOD_AUDIT.md,23708,D8037635B64FB7E3D8E52F2DEE8053ABE2A6E417E1804A707B17588CEA5BA69D
05_AUTHORITY_AND_EMBODIED_HANDOFF.md,17222,956DE39AF25054C436D90E60BFC6E3C7881451D62390242CD084DB48B941730C
06_MASS_AND_COLLISION_CAPABILITY.md,7255,6D31C52CC3CA59EAFE55695BED263F875E9B8C64FCABA2DD0FE12FBE75AE76C7
07_REUSE_AND_REVALIDATION.md,4152,FA022F2F1CAAFC83F7CEBBEB713BBFA69541829CCD3E3689E6DF2FDBED0C0D5C
08_AUDIT_RECEIPT.json,5762,114500284D07F10DB58EC803E5DB0980F53FA991A7781E51F5CB368A11495513
09_SOURCE_SHA256.csv,130368,381AB48038C2C8937A61CFDDC3A76AA70A8C6D800265BD5F322F65C44FD546FD
a3_hardcoded_kinematics_recheck.csv,4477,207C4D40D587102BA85FB98B7010BA4F9F8901F4211FB967B791ADC32D705670
a3_joint_margin_recheck.csv,24288,BA80A5B1DD650082F2CC34C2FE1D4D4B6A99182B7E235B2B0A246EC755B91C23
a3_mesh_inputs.csv,1104,C566071F6725FC677B3834EE1EC60C9272477FDFB67005031C93BA8BC9F5E4C9
a3_numeric_recheck.json,3107,095722E496EC7E2F354FC21D3F916A7BD97959B4F56BCD812127CD4B7E7D9B9C
a3_readonly_recheck.py,14509,A27AA1909CDD8260D27B31C1AA83C447A2057C8B70434DD9EB7EA24EE0640D4A
a3_saved_pose_aabb_recheck.csv,6393,55376757E8140E8D9AC1FF56E7AE8CF36DF5FBEC48B0DABAB9F561A09CC03DA8
a3_sources.txt,9389,2221DD630A6C5497EFC64E51FBC1D35F612BEB617D22809B016BCDC2098020A1
a3_station_absolute_coordinate_recheck.csv,15573,467012CA3756BD5A7BA463E67D7CEBCD8B1850B4902527D393188B72C3B6D40D
assets_audit_counts.json,439,E7BBF060CB2C8F475EB3A749096F79CF73E2951BEBE5EF55B2ACCF7A0F224773
assets_fcstd_links.csv,2642,842ADD08BBFB4C0AF3DC9B2EC756735F7219797E3EAE609F6C5261FA12DD4779
assets_fcstd_objects.csv,223032,4FB8FE80A9A500A760C97305322234F87DB56656D315DAEF06848C089D44EA74
assets_fcstd_static_summary.json,3834,65450D8B0B37EB96DC4E4326A71E89EC6C2804D9C08CD5BB8E67DA43916E7923
assets_file_identity_audit.csv,509430,B70D90CB58EB0ED3C77B28B17846F03CA50740330B1D943E49A4FFC3815075B4
assets_sources.txt,54520,F7341D5E594DDFBFDB7ABF7DF9A61375635A9104B21EAF512436FF5B32AFA4C7
assets_static_audit.py,23036,AA5F85FB565BC2CD48DA9D8238E09FDC53F9C1D8285028FF97B8C4EB8660FC7C
assets_sw_reference_disk_audit.csv,306488,E604A770BBE3D08FAE7D881C178394B7293AD1F7D063F967C4C9CB991F026796
assets_v5_checkpoint_summary.json,3550,50E3FBEEACF7242982DAE62573CF741BE7F68974BF8136F0D4006EC08C0F8479
authority_collect.py,4943,E21F330A74833BB09B6B760211DF4743A53BF615B0FCA6B4C5681ADBC354A93E
authority_source_extract.json,251169,C08DF679D6BBB53DF6AA1C3EACDA00E56456D5F5E8D9B5FA966F34A2799F4849
authority_sources.txt,15610,F16DE6DEDC574FE4D8B0A37D5CBAB0F14A2C4EE67BBA8265D521F370CBDD9ED2
root_cad_process_snapshot.json,129,AA86FBB8FBFEEF9FA44552DE24E851003C2F3BE5C6C87830B9591C32CEFA5E67
root_collect.py,9579,0F34EFE876BF11852C9D470C4815591823306851266173D6041269D899398F6F
root_collision_capability.json,1568,F95BA9F4D762AA31314F68900B97808D2D925B600D3627DAAF32FBB7F0AB5E20
root_file_inventory.csv,14071665,A31AE5AA0673967FEE90E7D8770574E2DB6D28F1A98DB5F2E25B1FC263631917
root_inventory_coverage.json,1873,28E52E23ECF45540F11BB9DE07F609311856305E319AD4CF953DB464878FE3EF
root_mass_independent_readback.json,4245,98B95E33153774A5637587366390ADA17A6C6928D9A0F19B5585EDFFB98AED1A
root_mass_reference_hashes.csv,2376,B5D7A2A0D7E88CF9008BBCBBEA2673ADF8F30ABBF9284769B4CBFBF0507268EE
root_protected_after_check.json,153,04DAE3F776556891B06CFBD03F1F486D22203ED9082502EFDBA97A920F13B8AF
root_protected_before.csv,34184,7D6937B7B696961124D14B046845598F5289C0994CD46524BBCFD75E56FE69AA
root_report_link_check.json,18248,95AAEDF689ACA7D98AA0DB0E798FD90BEA98BA1966A66A655AED02CF061C5356
root_sources.txt,3708,0C4BB87DDFF832726A45F3FBBF8EC7C59426217034FFBA66EE207D06ED16FA4F
root_validate_report.py,4510,4F73FF4D5206E2BAA9B1BF472DCC7EE554CFDA2FEFC99D2A05B7FB01596F3D7F
root_workspace_after.json,12135,AFD214BE0EE74C270BDE52AAA370CDDE3B166DABB7672877F26BA1E78C7AEC9F
root_workspace_before.json,12247,C1960FD744C00EDF185781CD9452649E46AB84CBDBB79A0D79CF2789E9D4CDB2
