station_mm,Y_min,Y_max,Z_min,Z_max,width_Y,width_Z,Y_outside_fixed_box,Z_outside_fixed_box,any_outside_fixed_box
-195.0,-131.636,48.364,-33.808,-33.694,180.0,0.114,True,False,True
-194.0,-135.472,52.191,-33.845,-19.708,187.663,14.137,True,False,True
-192.0,-138.707,55.435,-33.947,-33.824,194.142,0.123,True,False,True
-191.0,-138.716,55.426,-19.961,-19.838,194.142,0.123,True,False,True
-189.0,-140.875,57.603,-34.097,-33.971,198.478,0.126,True,False,True
-188.0,-140.884,57.594,-20.112,-19.986,198.478,0.126,True,False,True
-185.0,-141.636,58.364,-34.273,-34.146,200.0,0.127,True,False,True
-184.0,-141.645,58.355,-20.288,-20.161,200.0,0.127,True,False,True
-167.0,-61.932,-21.446,47.17,47.697,40.486,0.526,False,False,False
-166.0,-61.835,-21.544,47.647,47.673,40.291,0.026,False,False,False
-165.0,-67.935,-15.443,47.083,47.116,52.492,0.033,False,False,False
-164.0,-67.744,-15.635,47.561,47.594,52.109,0.033,False,False,False
-162.0,-73.468,-9.911,46.944,46.984,63.556,0.04,False,False,False
-161.0,-73.19,-10.189,47.424,47.464,63.001,0.04,False,False,False
-160.0,-44.791,-38.595,47.659,49.065,6.196,1.406,False,False,False
-159.0,-46.333,-33.992,47.345,49.061,12.342,1.716,False,False,False
-158.0,-78.317,-5.062,46.758,47.319,73.255,0.561,False,False,False
-157.0,-77.964,-5.416,47.241,47.287,72.548,0.046,False,False,False
-156.0,-79.108,-4.28,47.203,52.236,74.828,5.033,False,False,False
-155.0,-80.321,-3.071,50.964,52.668,77.25,1.704,False,False,False
-153.0,-82.297,-1.083,46.533,47.071,81.214,0.538,False,False,False
-147.0,-85.254,1.874,46.277,46.823,87.128,0.546,False,False,False
-142.0,-80.337,-3.087,78.002,78.051,77.25,0.049,False,False,False
-141.0,-87.075,3.695,46.0,46.553,90.77,0.552,False,False,False
-139.0,-41.689,-41.689,41.294,41.294,0.0,0.0,False,False,False
-138.0,-45.805,-37.572,41.269,41.282,8.232,0.013,False,False,False
-137.0,-49.682,-33.695,41.199,41.209,15.986,0.01,False,False,False
-135.0,-87.69,4.309,45.714,46.271,92.0,0.557,False,False,False
-134.0,-53.094,-30.283,41.089,41.103,22.811,0.015,False,False,False
-131.0,-55.844,-27.533,40.944,40.963,28.311,0.018,False,False,False
-129.0,-79.12,-4.264,45.927,45.974,74.856,0.048,False,False,False
-128.0,-57.771,-25.606,40.775,40.795,32.165,0.02,False,False,False
-127.0,-79.693,-8.851,46.159,107.538,70.842,61.38,False,False,False
-126.0,-74.607,-8.848,93.039,111.248,65.759,18.208,False,False,False
-125.0,-74.596,-8.846,91.201,113.633,65.75,22.432,False,True,True
-124.0,-80.36,-3.11,46.066,115.927,77.25,69.861,False,True,True
-123.0,-80.16,-3.223,40.589,117.033,76.938,76.444,False,True,True
-122.0,-74.613,-8.863,86.184,118.447,65.75,32.263,False,True,True
-121.0,-80.364,-3.114,45.875,120.164,77.25,74.289,False,True,True
-120.0,-74.591,-8.841,83.525,121.138,65.75,37.613,False,True,True
-119.0,-74.615,-8.865,40.399,122.074,65.75,81.675,False,True,True
-118.0,-60.089,-3.316,45.782,80.901,56.773,35.119,False,False,False
-117.0,-80.366,-3.116,45.364,124.285,77.25,78.92,False,True,True
-116.0,-74.617,-8.838,79.257,125.103,65.779,45.846,False,True,True
-115.0,-60.117,-18.817,40.215,125.399,41.3,85.184,False,True,True
-114.0,-71.318,-66.918,126.383,126.386,4.4,0.003,False,True,True
-113.0,-74.587,-8.837,77.576,126.967,65.75,49.391,False,True,True
-112.0,-80.369,-3.119,40.048,127.533,77.25,87.486,False,True,True
-111.0,-78.383,-4.999,45.089,127.979,73.384,82.89,False,True,True
-109.0,-74.586,-8.836,39.907,128.786,65.75,88.879,False,True,True
-108.0,-71.285,-11.936,75.139,128.962,59.35,53.823,False,True,True
-107.0,-87.692,4.308,44.429,129.373,92.0,84.944,False,True,True
-106.0,-80.37,-3.12,39.801,129.729,77.25,89.928,False,True,True
-105.0,-76.203,-7.179,39.736,129.89,69.024,90.154,False,True,True
-104.0,-74.585,-8.835,33.844,130.213,65.75,96.368,False,True,True
-103.0,-74.62,-8.87,30.436,130.353,65.75,99.917,False,True,True
-102.0,-75.067,-8.307,29.08,130.463,66.76,101.383,False,True,True
-101.0,-87.077,3.693,26.634,130.594,90.77,103.96,False,True,True
-100.0,-80.371,-3.121,24.633,130.66,77.25,106.028,False,True,True
-99.0,-75.061,-8.3,22.722,73.687,66.761,50.966,False,False,False
-98.0,-75.077,-8.317,-27.12,130.691,66.76,157.811,False,True,True
-97.0,-75.058,-8.298,20.25,58.129,66.76,37.879,False,False,False
-96.0,-73.08,-10.32,19.189,58.942,62.76,39.753,False,False,False
-95.0,-85.256,1.872,-31.976,60.894,87.128,92.87,False,False,False
-94.0,-80.37,6.424,-41.946,130.318,86.794,172.265,False,True,True
-93.0,-75.055,41.727,-47.383,45.56,116.783,92.943,False,False,False
-92.0,-73.082,71.709,-49.378,63.199,144.791,112.577,False,False,False
-91.0,-61.603,59.053,-51.999,63.846,120.656,115.845,False,False,False
-90.0,-81.884,61.13,-54.76,64.181,143.014,118.94,False,False,False
-89.0,-82.299,61.14,-56.225,43.668,143.44,99.892,False,False,False
-88.0,-80.369,-3.119,13.78,128.707,77.25,114.927,False,True,True
-87.0,-73.43,5.587,-65.429,65.352,79.017,130.78,False,False,False
-86.0,-78.567,-4.817,-60.661,66.217,73.75,126.878,False,False,False
-85.0,-80.319,61.142,-59.655,49.458,141.461,109.113,False,False,False
-84.0,-69.67,-8.292,-41.512,43.873,61.378,85.385,False,False,False
-83.0,-80.368,58.135,-62.856,125.899,138.503,188.755,False,True,True
-82.0,-19.136,83.864,-47.288,67.351,103.0,114.639,False,False,False
-81.0,-75.084,83.885,-50.254,67.512,158.969,117.765,False,False,False
-80.0,-75.084,-8.267,-51.195,65.258,66.817,116.453,False,False,False
-79.0,-80.121,61.075,-62.513,12.264,141.196,74.777,False,False,False
-78.0,-80.365,54.955,-54.988,122.022,135.32,177.009,False,True,True
-77.0,-19.77,-11.216,-55.844,11.078,8.554,66.921,False,False,False
-76.0,-75.084,54.7,-17.733,67.796,129.785,85.529,False,False,False
-75.0,-66.37,70.981,-58.323,42.998,137.351,101.321,False,False,False
-74.0,-80.362,71.981,-16.072,117.249,152.343,133.321,False,True,True
-73.0,-45.124,82.785,-46.402,51.824,127.91,98.227,False,False,False
-72.0,-80.359,-3.109,-60.472,111.798,77.25,172.27,False,False,False
-71.0,-80.347,-3.097,-61.115,93.913,77.25,155.028,False,False,False
-70.0,-80.355,-3.101,67.349,105.913,77.254,38.564,False,False,False
-69.0,-78.721,-45.096,-18.044,0.702,33.625,18.746,False,False,False
-68.0,-19.183,-8.287,-62.807,-11.243,10.896,51.565,False,False,False
-67.0,-55.088,-7.858,-66.682,1.132,47.23,67.814,False,False,False
