t_s,q2_deg,q3_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_dev_angle_deg,base_pos_x_m,base_pos_y_m,base_pos_z_m,Hbm_qdot_lin_kgmps,Hbm_qdot_ang_kgm2ps
0.0000,0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0.0200,0.00001,-0.00001,0.000000,0.000002,-0.000000,0.000002,-0.0000000,0.0000000,0.0000000,0.0000086,0.0000050
0.0400,0.00007,-0.00005,0.000000,0.000015,-0.000000,0.000015,-0.0000000,0.0000000,0.0000000,0.0000341,0.0000197
0.0600,0.00025,-0.00017,0.000000,0.000052,-0.000000,0.000052,-0.0000000,0.0000000,0.0000000,0.0000764,0.0000442
0.0800,0.00059,-0.00039,0.000000,0.000122,-0.000000,0.000122,-0.0000001,0.0000000,0.0000000,0.0001352,0.0000781
0.1000,0.00115,-0.00077,0.000000,0.000238,-0.000000,0.000238,-0.0000002,0.0000000,0.0000001,0.0002102,0.0001215
0.1200,0.00198,-0.00132,0.000000,0.000409,-0.000000,0.000409,-0.0000003,0.0000000,0.0000001,0.0003011,0.0001740
0.1400,0.00313,-0.00209,0.000001,0.000647,-0.000000,0.000647,-0.0000005,0.0000000,0.0000002,0.0004078,0.0002357
0.1600,0.00466,-0.00310,0.000001,0.000962,-0.000001,0.000962,-0.0000007,0.0000000,0.0000003,0.0005299,0.0003063
0.1800,0.00661,-0.00440,0.000001,0.001364,-0.000001,0.001364,-0.0000010,0.0000000,0.0000004,0.0006673,0.0003857
0.2000,0.00903,-0.00602,0.000002,0.001865,-0.000001,0.001865,-0.0000014,0.0000000,0.0000005,0.0008197,0.0004737
0.2200,0.01197,-0.00798,0.000003,0.002472,-0.000001,0.002472,-0.0000018,0.0000000,0.0000007,0.0009868,0.0005703
0.2400,0.01548,-0.01032,0.000003,0.003198,-0.000002,0.003198,-0.0000024,0.0000000,0.0000009,0.0011684,0.0006753
0.2600,0.01961,-0.01307,0.000004,0.004050,-0.000002,0.004050,-0.0000030,0.0000000,0.0000011,0.0013643,0.0007886
0.2800,0.02439,-0.01626,0.000005,0.005040,-0.000003,0.005040,-0.0000037,0.0000000,0.0000014,0.0015742,0.0009100
0.3000,0.02989,-0.01993,0.000007,0.006175,-0.000004,0.006175,-0.0000046,0.0000000,0.0000017,0.0017980,0.0010394
0.3200,0.03613,-0.02409,0.000008,0.007466,-0.000004,0.007466,-0.0000055,0.0000000,0.0000021,0.0020354,0.0011767
0.3400,0.04317,-0.02878,0.000010,0.008922,-0.000005,0.008922,-0.0000066,0.0000000,0.0000025,0.0022861,0.0013218
0.3600,0.05105,-0.03403,0.000011,0.010551,-0.000006,0.010551,-0.0000078,0.0000000,0.0000030,0.0025500,0.0014745
0.3800,0.05981,-0.03987,0.000013,0.012362,-0.000007,0.012362,-0.0000092,0.0000000,0.0000035,0.0028268,0.0016348
0.4000,0.06949,-0.04632,0.000015,0.014364,-0.000008,0.014364,-0.0000106,0.0000000,0.0000040,0.0031164,0.0018024
0.4200,0.08013,-0.05342,0.000018,0.016566,-0.000010,0.016566,-0.0000123,0.0000000,0.0000046,0.0034185,0.0019774
0.4400,0.09177,-0.06118,0.000020,0.018976,-0.000011,0.018976,-0.0000141,0.0000000,0.0000053,0.0037329,0.0021596
0.4600,0.10445,-0.06964,0.000023,0.021602,-0.000012,0.021602,-0.0000160,0.0000000,0.0000061,0.0040594,0.0023488
0.4800,0.11822,-0.07881,0.000026,0.024453,-0.000014,0.024453,-0.0000181,0.0000000,0.0000068,0.0043978,0.0025451
0.5000,0.13309,-0.08873,0.000029,0.027536,-0.000016,0.027536,-0.0000204,0.0000000,0.0000077,0.0047480,0.0027482
0.5200,0.14913,-0.09942,0.000033,0.030859,-0.000018,0.030859,-0.0000228,0.0000000,0.0000086,0.0051097,0.0029581
0.5400,0.16635,-0.11090,0.000037,0.034430,-0.000020,0.034430,-0.0000255,0.0000000,0.0000096,0.0054827,0.0031747
0.5600,0.18480,-0.12320,0.000041,0.038257,-0.000022,0.038257,-0.0000283,0.0000000,0.0000107,0.0058669,0.0033979
0.5800,0.20450,-0.13634,0.000045,0.042347,-0.000024,0.042347,-0.0000313,0.0000000,0.0000118,0.0062621,0.0036276
0.6000,0.22550,-0.15034,0.000050,0.046708,-0.000027,0.046708,-0.0000345,0.0000000,0.0000130,0.0066681,0.0038637
0.6200,0.24783,-0.16522,0.000055,0.051347,-0.000029,0.051347,-0.0000379,0.0000000,0.0000143,0.0070847,0.0041062
0.6400,0.27152,-0.18101,0.000060,0.056272,-0.000032,0.056272,-0.0000415,0.0000000,0.0000157,0.0075118,0.0043549
0.6600,0.29659,-0.19773,0.000066,0.061488,-0.000035,0.061488,-0.0000453,0.0000000,0.0000171,0.0079491,0.0046098
0.6800,0.32309,-0.21539,0.000072,0.067005,-0.000038,0.067005,-0.0000493,0.0000000,0.0000186,0.0083966,0.0048708
0.7000,0.35104,-0.23403,0.000078,0.072827,-0.000042,0.072827,-0.0000536,0.0000000,0.0000202,0.0088541,0.0051378
0.7200,0.38048,-0.25365,0.000085,0.078963,-0.000045,0.078963,-0.0000581,0.0000001,0.0000219,0.0093214,0.0054108
0.7400,0.41142,-0.27428,0.000092,0.085418,-0.000049,0.085418,-0.0000628,0.0000001,0.0000236,0.0097984,0.0056897
0.7600,0.44391,-0.29594,0.000099,0.092200,-0.000053,0.092200,-0.0000677,0.0000001,0.0000255,0.0102849,0.0059744
0.7800,0.47796,-0.31864,0.000107,0.099315,-0.000057,0.099315,-0.0000729,0.0000001,0.0000274,0.0107808,0.0062648
0.8000,0.51360,-0.34240,0.000115,0.106770,-0.000061,0.106770,-0.0000783,0.0000001,0.0000294,0.0112859,0.0065610
0.8200,0.55086,-0.36724,0.000123,0.114570,-0.000065,0.114570,-0.0000839,0.0000001,0.0000315,0.0118001,0.0068628
0.8400,0.58977,-0.39318,0.000132,0.122723,-0.000070,0.122723,-0.0000898,0.0000001,0.0000337,0.0123233,0.0071702
0.8600,0.63035,-0.42024,0.000141,0.131234,-0.000075,0.131234,-0.0000959,0.0000001,0.0000360,0.0128553,0.0074831
0.8800,0.67263,-0.44842,0.000151,0.140110,-0.000080,0.140110,-0.0001023,0.0000001,0.0000384,0.0133960,0.0078015
0.9000,0.71662,-0.47775,0.000161,0.149356,-0.000085,0.149356,-0.0001089,0.0000001,0.0000408,0.0139453,0.0081254
0.9200,0.76236,-0.50824,0.000171,0.158979,-0.000090,0.158979,-0.0001158,0.0000001,0.0000434,0.0145030,0.0084546
0.9400,0.80985,-0.53990,0.000182,0.168985,-0.000096,0.168985,-0.0001230,0.0000001,0.0000460,0.0150691,0.0087892
0.9600,0.85913,-0.57276,0.000193,0.179379,-0.000101,0.179379,-0.0001304,0.0000001,0.0000488,0.0156434,0.0091290
0.9800,0.91022,-0.60681,0.000205,0.190167,-0.000107,0.190167,-0.0001380,0.0000001,0.0000516,0.0162258,0.0094741
1.0000,0.96313,-0.64209,0.000217,0.201355,-0.000114,0.201355,-0.0001459,0.0000001,0.0000545,0.0168162,0.0098245
1.0200,1.01789,-0.67860,0.000230,0.212949,-0.000120,0.212949,-0.0001541,0.0000001,0.0000575,0.0174146,0.0101800
1.0400,1.07452,-0.71635,0.000243,0.224954,-0.000127,0.224954,-0.0001626,0.0000001,0.0000606,0.0180207,0.0105407
1.0600,1.13302,-0.75535,0.000256,0.237375,-0.000133,0.237376,-0.0001713,0.0000002,0.0000638,0.0186345,0.0109064
1.0800,1.19343,-0.79562,0.000270,0.250220,-0.000140,0.250220,-0.0001803,0.0000002,0.0000671,0.0192559,0.0112773
1.1000,1.25576,-0.83717,0.000285,0.263491,-0.000148,0.263491,-0.0001896,0.0000002,0.0000705,0.0198849,0.0116532
1.1200,1.32002,-0.88001,0.000300,0.277196,-0.000155,0.277196,-0.0001991,0.0000002,0.0000740,0.0205212,0.0120341
1.1400,1.38623,-0.92415,0.000315,0.291339,-0.000163,0.291340,-0.0002089,0.0000002,0.0000776,0.0211648,0.0124200
1.1600,1.45440,-0.96960,0.000331,0.305926,-0.000171,0.305927,-0.0002190,0.0000002,0.0000812,0.0218157,0.0128109
1.1800,1.52456,-1.01637,0.000348,0.320962,-0.000179,0.320963,-0.0002293,0.0000002,0.0000850,0.0224738,0.0132067
1.2000,1.59671,-1.06447,0.000365,0.336452,-0.000187,0.336453,-0.0002400,0.0000002,0.0000888,0.0231389,0.0136074
1.2200,1.67087,-1.11391,0.000383,0.352402,-0.000196,0.352402,-0.0002509,0.0000002,0.0000928,0.0238110,0.0140130
1.2400,1.74705,-1.16470,0.000401,0.368815,-0.000204,0.368815,-0.0002620,0.0000002,0.0000968,0.0244901,0.0144235
1.2600,1.82527,-1.21684,0.000419,0.385698,-0.000213,0.385698,-0.0002735,0.0000002,0.0001009,0.0251759,0.0148388
1.2800,1.90552,-1.27035,0.000438,0.403055,-0.000223,0.403056,-0.0002852,0.0000003,0.0001051,0.0258686,0.0152589
1.3000,1.98784,-1.32523,0.000458,0.420892,-0.000232,0.420892,-0.0002972,0.0000003,0.0001094,0.0265679,0.0156838
1.3200,2.07222,-1.38148,0.000479,0.439212,-0.000242,0.439213,-0.0003095,0.0000003,0.0001138,0.0272739,0.0161135
1.3400,2.15868,-1.43912,0.000499,0.458022,-0.000252,0.458023,-0.0003220,0.0000003,0.0001183,0.0279864,0.0165480
1.3600,2.24723,-1.49815,0.000521,0.477326,-0.000262,0.477326,-0.0003348,0.0000003,0.0001228,0.0287055,0.0169872
1.3800,2.33787,-1.55858,0.000543,0.497128,-0.000272,0.497129,-0.0003479,0.0000003,0.0001274,0.0294309,0.0174311
1.4000,2.43061,-1.62041,0.000566,0.517434,-0.000283,0.517434,-0.0003612,0.0000003,0.0001322,0.0301628,0.0178797
1.4200,2.52547,-1.68364,0.000589,0.538247,-0.000293,0.538248,-0.0003748,0.0000003,0.0001370,0.0309010,0.0183330
1.4400,2.62244,-1.74829,0.000613,0.559574,-0.000304,0.559574,-0.0003887,0.0000004,0.0001418,0.0316454,0.0187910
1.4600,2.72154,-1.81436,0.000637,0.581417,-0.000315,0.581418,-0.0004028,0.0000004,0.0001468,0.0323960,0.0192536
1.4800,2.82277,-1.88185,0.000662,0.603783,-0.000327,0.603783,-0.0004172,0.0000004,0.0001518,0.0331528,0.0197208
1.5000,2.92614,-1.95076,0.000688,0.626674,-0.000338,0.626675,-0.0004318,0.0000004,0.0001569,0.0339157,0.0201926
1.5200,3.03165,-2.02110,0.000714,0.650097,-0.000350,0.650098,-0.0004467,0.0000004,0.0001621,0.0346846,0.0206690
1.5400,3.13931,-2.09287,0.000742,0.674055,-0.000362,0.674055,-0.0004618,0.0000004,0.0001674,0.0354595,0.0211499
1.5600,3.24912,-2.16608,0.000769,0.698552,-0.000375,0.698553,-0.0004772,0.0000004,0.0001727,0.0362404,0.0216354
1.5800,3.36108,-2.24072,0.000798,0.723594,-0.000387,0.723594,-0.0004929,0.0000005,0.0001781,0.0370272,0.0221253
1.6000,3.47520,-2.31680,0.000827,0.749183,-0.000400,0.749184,-0.0005088,0.0000005,0.0001836,0.0378197,0.0226198
1.6200,3.59148,-2.39432,0.000856,0.775325,-0.000413,0.775326,-0.0005249,0.0000005,0.0001891,0.0386181,0.0231187
1.6400,3.70992,-2.47328,0.000887,0.802024,-0.000426,0.802024,-0.0005412,0.0000005,0.0001947,0.0394223,0.0236221
1.6600,3.83053,-2.55369,0.000918,0.829283,-0.000439,0.829284,-0.0005578,0.0000005,0.0002004,0.0402321,0.0241299
1.6800,3.95330,-2.63553,0.000950,0.857108,-0.000452,0.857108,-0.0005746,0.0000005,0.0002061,0.0410476,0.0246420
1.7000,4.07823,-2.71882,0.000982,0.885501,-0.000466,0.885502,-0.0005917,0.0000006,0.0002118,0.0418687,0.0251585
1.7200,4.20533,-2.80356,0.001015,0.914467,-0.000480,0.914468,-0.0006089,0.0000006,0.0002177,0.0426954,0.0256793
1.7400,4.33460,-2.88973,0.001049,0.944010,-0.000494,0.944011,-0.0006264,0.0000006,0.0002235,0.0435276,0.0262044
1.7600,4.46603,-2.97735,0.001084,0.974134,-0.000508,0.974135,-0.0006440,0.0000006,0.0002295,0.0443652,0.0267338
1.7800,4.59962,-3.06641,0.001120,1.004843,-0.000523,1.004844,-0.0006619,0.0000006,0.0002355,0.0452083,0.0272674
1.8000,4.73537,-3.15691,0.001156,1.036140,-0.000537,1.036141,-0.0006800,0.0000006,0.0002415,0.0460567,0.0278051
1.8200,4.87328,-3.24885,0.001193,1.068029,-0.000552,1.068030,-0.0006983,0.0000007,0.0002476,0.0469105,0.0283470
1.8400,5.01334,-3.34223,0.001230,1.100513,-0.000567,1.100514,-0.0007167,0.0000007,0.0002537,0.0477696,0.0288930
1.8600,5.15555,-3.43704,0.001269,1.133598,-0.000582,1.133598,-0.0007354,0.0000007,0.0002598,0.0486339,0.0294431
1.8800,5.29992,-3.53328,0.001308,1.167285,-0.000598,1.167285,-0.0007542,0.0000007,0.0002660,0.0495035,0.0299972
1.9000,5.44642,-3.63095,0.001348,1.201578,-0.000613,1.201579,-0.0007732,0.0000007,0.0002722,0.0503781,0.0305552
1.9200,5.59507,-3.73005,0.001389,1.236481,-0.000629,1.236482,-0.0007923,0.0000008,0.0002785,0.0512579,0.0311171
1.9400,5.74585,-3.83057,0.001431,1.271997,-0.000645,1.271998,-0.0008116,0.0000008,0.0002848,0.0521426,0.0316829
