lane_id,sample_index,t_s,base_x_m,base_y_m,base_z_m,quat_w,quat_x,quat_y,quat_z,base_wx_rad_s,base_wy_rad_s,base_wz_rad_s,base_dev_deg,energy_J,joint_work_J,momentum_dP_norm,momentum_dL_norm,joint1_q_rad,joint2_q_rad,joint3_q_rad,joint4_q_rad,joint5_q_rad,joint6_q_rad
WP11_PHYSICAL_GEOMETRY_CONTEXT,0,0.000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4722592995215000e-05,-1.0482002296028701e+00,-1.3989828152470101e+00,-1.2200100679438799e+00,3.6732185948134402e-06,1.8395811591279000e-05
WP11_PHYSICAL_GEOMETRY_CONTEXT,1,1.000000000000e-02,-6.5239989292726642e-11,-3.0882450007527500e-10,-2.8878445810650042e-10,9.9999999999999956e-01,3.7122683184231208e-09,-2.7639598914412657e-08,-9.4724828538258373e-09,2.2248776434695734e-06,-1.6565267793357539e-05,-5.6771495983824209e-06,3.4150945850063755e-06,1.9110677463671063e-10,1.9098075318381792e-10,5.1392288775257082e-21,1.7415827646227629e-21,-1.4894395463690435e-05,-1.0482003440292684e+00,-1.3989827767709342e+00,-1.2200099345066253e+00,3.6159501303536476e-06,1.8395809579257412e-05
WP11_PHYSICAL_GEOMETRY_CONTEXT,2,2.000000000000e-02,-5.2016205032369410e-10,-2.4623460002204679e-09,-2.3025659253065045e-09,9.9999999999997247e-01,2.9599062896638058e-08,-2.2037889583160417e-07,-7.5526718246647519e-08,8.8599354631814413e-06,-6.5966313619637948e-05,-2.2607426909329094e-05,2.6890481652835361e-05,3.0305600652412709e-09,3.0304719251712520e-09,1.1011428314305904e-20,5.4131572975301006e-20,-1.6092428293007072e-05,-1.0482011419606536e+00,-1.3989825084651148e+00,-1.2200090040065394e+00,3.2165990551553589e-06,1.8395795548795930e-05
WP11_PHYSICAL_GEOMETRY_CONTEXT,3,3.000000000000e-02,-1.7495373306007408e-09,-8.2826159135993824e-09,-7.7452067862086052e-09,9.9999999999968814e-01,9.9563427536937219e-08,-7.4129483085682548e-07,-2.5404905673766659e-07,1.9846093735294035e-05,-1.4776272036915437e-04,-5.0639079886872766e-05,9.0500006502671303e-05,1.5205697395242861e-08,1.5205643631416498e-08,6.6566227845830917e-20,2.7714453352960678e-20,-1.9330342186722157e-05,-1.0482032985235255e+00,-1.3989817833170901e+00,-1.2200064891512847e+00,2.1372760489634807e-06,1.8395757628778171e-05
WP11_PHYSICAL_GEOMETRY_CONTEXT,4,4.000000000000e-02,-4.1325138535124515e-09,-1.9567004554524989e-08,-1.8297623510238537e-08,9.9999999999825884e-01,2.3521408215841426e-07,-1.7512683157764760e-06,-6.0016623317597787e-07,3.5124721506678694e-05,-2.6151656694553863e-04,-8.9619937809622816e-05,2.1383919558742723e-04,4.7628988509289642e-08,4.7628962685282097e-08,6.1455144451033457e-20,1.7911943196307358e-19,-2.5608120303572842e-05,-1.0482074797413246e+00,-1.3989803773753164e+00,-1.2200016132639686e+00,4.4647717358720302e-08,1.8395684108151772e-05
WP11_PHYSICAL_GEOMETRY_CONTEXT,5,5.000000000000e-02,-8.0421537953764652e-09,-3.8088186270496620e-08,-3.5617922800086030e-08,9.9999999999340217e-01,4.5786789350345864e-07,-3.4089974086967924e-06,-1.1682420132465805e-06,5.4637722421182966e-05,-4.0679267259414304e-04,-1.3939690071255155e-04,4.1626346802449454e-04,1.1524264353935684e-07,1.1524263646988920e-07,1.9416094141936835e-19,2.5006989149015095e-19,-3.5912139546914840e-05,-1.0482143425752541e+00,-1.3989780697354446e+00,-1.2199936102355406e+00,-3.3900838384031093e-06,1.8395563435210630e-05
WP11_PHYSICAL_GEOMETRY_CONTEXT,6,6.000000000000e-02,-1.3844791523321890e-08,-6.5594077318242242e-08,-6.1341548814826792e-08,9.9999999998043088e-01,7.8855275385879769e-07,-5.8710116010555961e-06,-2.0118713234902855e-06,7.8327616376531016e-05,-5.8315882900334965e-04,-1.9981545403470461e-04,7.1689131592682441e-04,2.3682732178252965e-07,2.3682732178413742e-07,5.3669547575840384e-19,3.4396213132376522e-20,-5.1215231854161091e-05,-1.0482245349651005e+00,-1.3989746425265916e+00,-1.2199817244771898e+00,-8.4912014515517839e-06,1.8395384216877121e-05
WP11_PHYSICAL_GEOMETRY_CONTEXT,7,7.000000000000e-02,-2.1899221248463216e-08,-1.0380772888884000e-07,-9.7081440995518116e-08,9.9999999995098499e-01,1.2480108490420402e-06,-9.2916871684023241e-06,-3.1838719912024119e-06,1.0613761715109254e-04,-7.9018602033934502e-04,-2.7071920792671886e-04,1.1345723426608946e-03,4.3481492990424505e-07,4.3481502547691886e-07,4.4082185729647005e-19,1.7146089410584832e-19,-7.2476745486220418e-05,-1.0482386958700542e+00,-1.3989698808976159e+00,-1.2199652108727408e+00,-1.5578493319963390e-05,1.8395135217984310e-05
WP11_PHYSICAL_GEOMETRY_CONTEXT,8,8.000000000000e-02,-3.2555724590147570e-08,-1.5442718160001395e-07,-1.4442820548164570e-07,9.9999999989151889e-01,1.8567023406553407e-06,-1.3823263866911598e-05,-4.7362743445222585e-06,1.3801170614986236e-04,-1.0274486313517450e-03,-3.5194946066185887e-04,1.6878921447966704e-03,7.3510549516547719e-07,7.3510564810371327e-07,4.4144639861171970e-19,3.8810010710656258e-19,-1.0064260631693613e-04,-1.0482574553095312e+00,-1.3989635730033909e+00,-1.2199433347310527e+00,-2.4967273436320979e-05,1.8394805360558198e-05
WP11_PHYSICAL_GEOMETRY_CONTEXT,9,9.000000000000e-02,-4.6154943668646251e-08,-2.1912527534730817e-07,-2.0495029215977275e-07,9.9999999978155663e-01,2.6348093503805922e-06,-1.9615862209956773e-05,-6.7203085289399815e-06,1.7389470242771702e-04,-1.2945246436668731e-03,-4.4334478559483693e-04,2.3951739760658406e-03,1.1668880963253333e-06,1.1668882745390372e-06,2.7240242454070943e-19,3.4312258170301871e-19,-1.3664537912252481e-04,-1.0482814344039926e+00,-1.3989555099910784e+00,-1.2199153717384141e+00,-3.6968402018275334e-05,1.8394383723099933e-05
