pair_index,object_a,category_a,object_b,category_b,pair_class,policy,status,reason
1,A::base_link,A,A::gripper_left,A,A-A,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
2,A::base_link,A,A::gripper_link,A,A-A,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
3,A::base_link,A,A::gripper_right,A,A-A,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
4,A::base_link,A,A::link1,A,A-A,EXCEPT_ADJACENT_JOINT,EXCEPTED,ONLY_LEGAL_PAIR_WIDE_EXCLUSION_FROM_PINNED_MECHANICAL_CONTRACT
5,A::base_link,A,A::link2,A,A-A,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
6,A::base_link,A,A::link3,A,A-A,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
7,A::base_link,A,A::link4,A,A-A,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
8,A::base_link,A,A::link5,A,A-A,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
9,A::base_link,A,A::link6,A,A-A,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
10,A::base_link,A,C::SEG-00_BUS_FEEDTHROUGH_AND_RISER,C,A-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
11,A::base_link,A,C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C,A-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
12,A::base_link,A,C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C,A-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
13,A::base_link,A,C::SEG-03_J3_CARRIER_HYBRID_WRAP,C,A-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
14,A::base_link,A,C::SEG-04_J4_CHAINLESS_TROMBONE_EXTERNAL_ANNULAR_FOLLOWER,C,A-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
15,A::base_link,A,C::SEG-05_J5_WRIST_WRAP,C,A-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
16,A::base_link,A,C::SEG-06_J6_HELICAL_WRAP_AND_WRIST_RUN,C,A-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
17,A::base_link,A,C::SEG-07A_WRIST_TAIL_DATA,C,A-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
18,A::base_link,A,C::SEG-07B_WRIST_TAIL_POWER,C,A-C,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
19,A::base_link,A,F::BUS,F,A-F,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
20,A::base_link,A,F::LOAD_BRIDGE,F,A-F,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
21,A::base_link,A,F::M3R_STAGE_A,F,A-F,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
22,A::base_link,A,F::M3R_STAGE_B,F,A-F,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
23,A::base_link,A,R::RC-BRK-BASE-COLLAR,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
24,A::base_link,A,R::RC-BRK-BUS-FLANGE,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
25,A::base_link,A,R::RC-BRK-J1-RISER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
26,A::base_link,A,R::RC-BRK-J4-ANN-MAIN-SPINE,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
27,A::base_link,A,R::RC-BRK-J4-ANN-ROOT-NECK,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
28,A::base_link,A,R::RC-BRK-J4-ANN-SPINE-HUB,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
29,A::base_link,A,R::RC-BRK-J4-ANN-SUPPORT-LOWER-ARM,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
30,A::base_link,A,R::RC-BRK-J4-ANN-SUPPORT-LOWER-POST,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
31,A::base_link,A,R::RC-BRK-J4-ANN-SUPPORT-LOWER-SADDLE,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
32,A::base_link,A,R::RC-BRK-J4-ANN-SUPPORT-MID-ARM,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
33,A::base_link,A,R::RC-BRK-J4-ANN-SUPPORT-MID-POST,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
34,A::base_link,A,R::RC-BRK-J4-ANN-SUPPORT-MID-SADDLE,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
35,A::base_link,A,R::RC-BRK-J4-ANN-SUPPORT-UPPER-ARM,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
36,A::base_link,A,R::RC-BRK-J4-ANN-SUPPORT-UPPER-POST,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
37,A::base_link,A,R::RC-BRK-J4-ANN-SUPPORT-UPPER-SADDLE,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
38,A::base_link,A,R::RC-BRK-J4-RAIL-PAD-1,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
39,A::base_link,A,R::RC-BRK-J4-RAIL-PAD-2,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
40,A::base_link,A,R::RC-BRK-J4-RAIL-PAD-3,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
41,A::base_link,A,R::RC-BRK-J4-RAIL-SPINE,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
42,A::base_link,A,R::RC-BRK-J6-GUIDE-A,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
43,A::base_link,A,R::RC-BRK-J6-GUIDE-B,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
44,A::base_link,A,R::RC-BRK-L1-01,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
45,A::base_link,A,R::RC-CAR-J3-CARRIAGE,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
46,A::base_link,A,R::RC-CAR-J4-FOLLOWER-TROLLEY,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
47,A::base_link,A,R::RC-CAR-J4-TROMBONE,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
48,A::base_link,A,R::RC-CHN-BUS-FT-BASE,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
49,A::base_link,A,R::RC-CHN-BUS-FT-LINER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
50,A::base_link,A,R::RC-CHN-BUS-FT-WALL-A,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
51,A::base_link,A,R::RC-CHN-BUS-FT-WALL-B,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
52,A::base_link,A,R::RC-CHN-E210-LINK-00,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
53,A::base_link,A,R::RC-CHN-E210-LINK-01,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
54,A::base_link,A,R::RC-CHN-E210-LINK-02,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
55,A::base_link,A,R::RC-CHN-E210-LINK-03,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
56,A::base_link,A,R::RC-CHN-E210-LINK-04,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
57,A::base_link,A,R::RC-CHN-E210-LINK-05,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
58,A::base_link,A,R::RC-CHN-L2-BASE,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
59,A::base_link,A,R::RC-CHN-L2-LINER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
60,A::base_link,A,R::RC-CHN-L2-WALL-A,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
61,A::base_link,A,R::RC-CHN-L2-WALL-B,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
62,A::base_link,A,R::RC-CHN-L3-BASE,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
63,A::base_link,A,R::RC-CHN-L3-LINER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
64,A::base_link,A,R::RC-CHN-L3-WALL-A,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
65,A::base_link,A,R::RC-CHN-L3-WALL-B,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
66,A::base_link,A,R::RC-CLP-BUS-HN01,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
67,A::base_link,A,R::RC-CLP-BUS-HN02,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
68,A::base_link,A,R::RC-CLP-BUS-HN03,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
69,A::base_link,A,R::RC-CLP-BUS-RISER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
70,A::base_link,A,R::RC-CLP-J1-MOV,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
71,A::base_link,A,R::RC-CLP-J1-RELIEF-A1,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
72,A::base_link,A,R::RC-CLP-J1-RELIEF-A2,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
73,A::base_link,A,R::RC-CLP-J1-RELIEF-B1,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
74,A::base_link,A,R::RC-CLP-J2-FIX,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
75,A::base_link,A,R::RC-CLP-J2-MOV,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
76,A::base_link,A,R::RC-CLP-J3-HOST-BOUNDARY,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
77,A::base_link,A,R::RC-CLP-J3-MOV,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
78,A::base_link,A,R::RC-CLP-J4-ANN-ENTRY,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
79,A::base_link,A,R::RC-CLP-J4-B,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
80,A::base_link,A,R::RC-CLP-J4-FIX,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
81,A::base_link,A,R::RC-CLP-J4-FOLLOWER,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
82,A::base_link,A,R::RC-CLP-J5-FIX,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
83,A::base_link,A,R::RC-CLP-J5-MOV,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
84,A::base_link,A,R::RC-CLP-J6-FIX,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
85,A::base_link,A,R::RC-CLP-J6-MOV,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
86,A::base_link,A,R::RC-CLP-L1-01,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
87,A::base_link,A,R::RC-CLP-L2-01,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
88,A::base_link,A,R::RC-CLP-L2-02,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
89,A::base_link,A,R::RC-CLP-L3-01,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
90,A::base_link,A,R::RC-CLP-L3-02,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
91,A::base_link,A,R::RC-CLP-L4-01,R,A-R,FORBID,UNASSESSED_FAIL_CLOSED,NO_COMPLETE_HASH_BOUND_PAIR_EVALUATION
