component,subsystem,configuration,frame,reference_point,mass_kg,x_m,y_m,z_m,Ixx_kgm2,Iyy_kgm2,Izz_kgm2,Ixy_kgm2,Ixz_kgm2,Iyz_kgm2,material,density_kg_m3,source,confidence,status,notes
servicer_structure,structure,baseline,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Stage1 placeholder not measured
front_task_bay,structure,baseline,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Stage1 placeholder not measured
middle_bus_bay,structure,baseline,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Stage1 placeholder not measured
rear_service_bay,structure,baseline,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Stage1 placeholder not measured
robot_arm_equivalent,robotics,baseline,M,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,reBot equivalent placeholder not measured
robot_mount_adapter,robotics,baseline,M,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Must output T_SB
camera_payload,payload,baseline,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Vision sensor placeholder
obc_cdh,avionics,baseline,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,OBC CDH placeholder
eps_pmad,power,baseline,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,EPS PMAD placeholder
battery_pack,power,baseline,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Battery placeholder
reaction_wheel_set,adcs,baseline,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Reaction wheel cluster placeholder
imu,adcs,baseline,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,IMU placeholder
communication_unit,communications,baseline,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Communication placeholder
propulsion_placeholder,propulsion,baseline,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Not a selected propulsion design
thermal_control_placeholder,thermal,baseline,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Thermal surface placeholder
solar_panel_left,power,stowed_deployed,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Left deployable envelope needed
solar_panel_right,power,stowed_deployed,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Right deployable envelope needed
antenna_placeholder,communications,stowed_deployed,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Antenna envelope needed
harness_placeholder,electrical,baseline,S,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Harness routing allowance
target_satellite,target_model,scenario,T,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Failed 6U or 12U satellite target
target_debris,target_model,scenario,D,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Cylindrical adapter or shell target
cooperative_interface_target,target_model,scenario,T,CoM,,,,,,,,,,,TBD,TBD,TBD,TBD,blocking_TBD,Cooperative grasp interface target
