ref,value,footprint,sheet,source_revision,MPN,manufacturer,datasheet,placement_scope,selection_scope
F201,1025HC30-RTR,WP10_PASSIVES:Fuse_Eaton_1025HC_20to30A_3p25x3p43_P9p35,/Power detail 1/,V35,,,,MAIN_INPUT_PCB,MPN field absent; value may contain part code or system module alias
J204,74651195R,WP10_TERMINALS:MP_Wurth_WP-THRSH_74651195R,/Power detail 1/,V35,74651195R,Wuerth Elektronik,https://www.we-online.com/components/products/datasheet/74651195R.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
J205,74651195R,WP10_TERMINALS:MP_Wurth_WP-THRSH_74651195R,/Power detail 1/,V35,74651195R,Wuerth Elektronik,https://www.we-online.com/components/products/datasheet/74651195R.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
J206,74651195R,WP10_TERMINALS:MP_Wurth_WP-THRSH_74651195R,/Power detail 1/,V35,74651195R,Wuerth Elektronik,https://www.we-online.com/components/products/datasheet/74651195R.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
J207,74651195R,WP10_TERMINALS:MP_Wurth_WP-THRSH_74651195R,/Power detail 1/,V35,74651195R,Wuerth Elektronik,https://www.we-online.com/components/products/datasheet/74651195R.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
Q201,IXTH75N10L2,WP10_INPUT:IXTH_TO247_G1D2S3_P5p45_Slots,/Power detail 1/,V35,IXTH75N10L2,Littelfuse IXYS,https://www.littelfuse.com/assetdocs/Littelfuse-Discrete-MOSFETs-N-Channel-Linear-IXT-75N10-Datasheet.PDF?assetguid=EA051E16-AAA9-4983-A975-8D0C07325D72,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
R201,WSLP27262L000FEA,WP10_INPUT:WSLP2726_KelvinSplit_TwoTerminals,/Power detail 1/,V35,WSLP27262L000FEA,Vishay,https://www.vishay.com/docs/30179/wslp2726.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
R202,WSLP2726L5000FEA,WP10_INPUT:WSLP2726_KelvinSplit_TwoTerminals,/Power detail 1/,V35,WSLP2726L5000FEA,Vishay,https://www.vishay.com/docs/30179/wslp2726.pdf,MAIN_INPUT_PCB,Explicit MPN field; suitability not certified
R203,TNPW060347K5BEEA,Resistor_SMD:R_0603_1608Metric,/Power detail 1/,V35,,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,MPN field absent; value may contain part code or system module alias
R204,TNPW06035K90BEEA,Resistor_SMD:R_0603_1608Metric,/Power detail 1/,V35,,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,MPN field absent; value may contain part code or system module alias
R205,TNPW0603120KBEEA,Resistor_SMD:R_0603_1608Metric,/Power detail 1/,V35,,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf,MAIN_INPUT_PCB,MPN field absent; value may contain part code or system module alias
