material_id,type,path,purpose_suggestion,status,data_sources,semantic_restrictions
fig_v01_system_assembly_isometric,figure_png,40_evidence/artifacts/visualization/figures/fig_v01_system_assembly_isometric.png,评审图1候选（系统总览）/报告书系统章节首图,可直接用,CAD STL + frame_tree_v1 + E1.5快照选定构型 + E0放置链,装配场景为22kg合作目标@捕获点——与E1.5碎片工况是两个声明场景，不得混同
fig_v02_system_assembly_top,figure_png,40_evidence/artifacts/visualization/figures/fig_v02_system_assembly_top.png,报告书布局章节（顶视投影）/图1备选视角,可直接用,同fig_v01,同fig_v01映射声明
fig_v03_system_assembly_side,figure_png,40_evidence/artifacts/visualization/figures/fig_v03_system_assembly_side.png,报告书布局章节（侧视投影）,可直接用,同fig_v01,同fig_v01映射声明
fig_v04_mount_and_frames,figure_png,40_evidence/artifacts/visualization/figures/fig_v04_mount_and_frames.png,报告书坐标系/接口定义章节（T_SM冻结值展示）,可直接用,frame_tree_v1.yaml + coordinate_frame_definition_v0.md §3.1 + arm_mount_v1,T_SM为nominal_frozen_v1设计名义值非实测
fig_v05_target_grasp_points,figure_png,40_evidence/artifacts/visualization/figures/fig_v05_target_grasp_points.png,评审图2候选（抓取候选定义）/答辩候选介绍页,可直接用,target_debris_v0 + e1_thin_slice.GRASP_POINTS + E1.5快照证据态,P1按选中工况精确拆分柔性UNKNOWN与物理超限；P2/P3橙色仅为几何IK_FAIL且同时缺新鲜证据——不得叙述为物理不安全；admissible 0/72
fig_v06_workspace_keepout,figure_png,40_evidence/artifacts/visualization/figures/fig_v06_workspace_keepout.png,报告书工作空间/安全走廊章节,可直接用,B601 URDF关节限位 + 禁入区定义 + E0放置链,工作空间云为粗采样几何包络非认证可达集
fig_v07_gate_reason_breakdown,figure_png,40_evidence/artifacts/visualization/figures/fig_v07_gate_reason_breakdown.png,网评附件（证据状态透明呈现）/答辩诚实边界页,可直接用,evidence_recount.csv（3/3/66/0重算）+ e15_gate_check.json,含REPEAT_E1_5语境——报告引用时保留；UNKNOWN≠不安全、证据缺失≠物理不安全的图注不得删
fig_v08_candidate_status_matrix,figure_png,40_evidence/artifacts/visualization/figures/fig_v08_candidate_status_matrix.png,网评附件（72工况全景）/报告书门禁章节,可直接用,evidence_recount.csv + e15_bottleneck_summary.csv（快照）,四类语义色非红绿安全二元——图例不得改成SAFE/UNSAFE
fig_v09_ancf_solver_attempt_timeline,figure_png,40_evidence/artifacts/visualization/figures/fig_v09_ancf_solver_attempt_timeline.png,报告书ANCF数值可靠性附录,需美化（信息密度高，评审展示前可精简）,e15_ancf_attempts.csv（快照15条真实记录）,DIAGNOSTIC语境：Line B REPEAT；失败记录必须保留不得只展示收敛例
fig_v10_binding_constraint_map,figure_png,40_evidence/artifacts/visualization/figures/fig_v10_binding_constraint_map.png,报告书M_PCS方法学附录,需美化（信息密度高）,e15_bottleneck_summary.csv（快照）binding_items,M_PCS为登记约束归一化裕度最小值非加权总分；阈值PROVISIONAL
anim_v01_target_tumble,video_mp4,40_evidence/artifacts/visualization/videos/anim_v01_target_tumble.mp4,答辩开场演示（问题设定：150kg翻滚碎片）,可直接用,mass_inertia_budget_v1.csv + rigid_body.propagate_torque_free + E1.5相位网格,翻滚轴为E1语境值（E1.5未重申）——画面内声明须保留
anim_v02_b601_approach,video_mp4,40_evidence/artifacts/visualization/videos/anim_v02_b601_approach.mp4,答辩演示（接近与构型选定）,可直接用,E1.5快照selected_q_json + adapters.approach_trajectory + collision.py,构型为几何选定——动力学可采纳性未建立（REPEAT_E1_5），画面声明须保留
anim_v03_base_reaction,video_mp4,40_evidence/artifacts/visualization/videos/anim_v03_base_reaction.mp4,答辩演示（自由漂浮基座反作用物理）,可直接用,sim_05_base_attitude.csv（纯CSV回放）,19.20°为臂模型口径且q2超URDF限位（动力学基准非飞行轨迹）——画面注记须保留
anim_v04_capture_impulse,video_mp4,40_evidence/artifacts/visualization/videos/anim_v04_capture_impulse.mp4,答辩演示（捕获冲量：捕获≠消旋）,可直接用,capture_impulse_matrix_v0.csv + capture_impulse单点重算 + 力矩自由传播,sim_06为遗留v0布局（双杆占位臂）——画面已声明；接近距离为展示压缩
anim_v05_flex_diagnostic,video_mp4,40_evidence/artifacts/visualization/videos/anim_v05_flex_diagnostic.mp4,答辩诚实边界页演示（既有柔性证据+失败呈现）,可直接用,task_response_summary.csv + tip_response_matrix.png + root_moment_and_energy.png + e15_ancf_legacy_retry_forensics.csv（快照）,只读证据卷；构建中ANCF执行数为0；未归档节点时序故不展示变形动画；每帧DIAGNOSTIC水印及两例FLEX_SOLVER_FAIL黑卡不得删；非门禁验证
anim_v06_gate_explanation,video_mp4,40_evidence/artifacts/visualization/videos/anim_v06_gate_explanation.mp4,网评附件/答辩门禁裁决讲解,可直接用,e15_bottleneck_summary.csv（快照，逐帧重算）+ e15_gate_check.json,结尾"无SAFE候选为证据状态陈述非物理结论"字幕不得裁剪
grasp_geometry_explorer_v0,html_interactive,40_evidence/artifacts/visualization/grasp_geometry_explorer_v0.html,网评附件交互演示（评委自助浏览72工况几何）,可直接用,E1.5快照（96 roll行/24组/72工况）+ plotly内联,双徽章（几何线/动力学线）永不合并；页脚admissible 0/72与REPEAT_E1_5声明不得删
project_visualization_v0,html_dashboard,40_evidence/artifacts/visualization/project_visualization_v0.html,评审总览入口/内部评审/材料打包索引,可直接用,asset_audit + frame_registry + evidence_recount + replay_keyframe_check + e15快照 + sim_05/06/08结果CSV + 六支MP4 + 交互浏览器,真正单文件：六支MP4与完整交互浏览器均内嵌；可直接file://打开且不依赖sidecar/网络；顶栏PROJECT_FROZEN_AT_REPEAT_E1_5横幅须保留
