grid_index,case_id,scenario_hash,grasp_point_id,t_c_s,v_app_mps,task_constraint_mode,e15_state_raw,binding_items,recount_class,matched_rule,M_PCS_e15,post_capture_rate_dps,limit__post_capture_rate_dps,margin__post_capture_rate_dps,threshold_registry_status,recount_git_commit,recount_source_file,e15_source_commit
0,P1_tc00_v5mm_pose_6d,4f37bd9aac1c8a59,P1,0,0.0050000000000000001,pose_6d,UNSAFE,post_capture_rate_dps;reason:MPCS_LIMIT_NOT_STRICTLY_POSITIVE,PHYSICAL_LIMIT_EXCEEDED,rule1_MPCS_LIMIT_NOT_STRICTLY_POSITIVE,-0.52972742114264038,3.0594548422852808,2,-0.52972742114264038,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
1,P1_tc00_v5mm_approach_5d,ddb562a5b3747e13,P1,0,0.0050000000000000001,approach_5d,UNKNOWN,reason:FLEX_SOLVER_FAIL;reason:FLEX_STATUS_UNKNOWN_INADMISSIBLE;reason:INVALID_OR_MISSING_E_flex_J,FLEX_SOLVER_UNKNOWN,rule2_FLEX_SOLVER_FAIL,,3.0594587366443897,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
2,P1_tc00_v10mm_pose_6d,4648e26f6240b367,P1,0,0.01,pose_6d,UNKNOWN,reason:FLEX_SOLVER_FAIL;reason:FLEX_STATUS_UNKNOWN_INADMISSIBLE;reason:INVALID_OR_MISSING_E_flex_J,FLEX_SOLVER_UNKNOWN,rule2_FLEX_SOLVER_FAIL,,3.0594548422852745,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
3,P1_tc00_v10mm_approach_5d,16df1cf8010d9f8e,P1,0,0.01,approach_5d,UNSAFE,post_capture_rate_dps;reason:MPCS_LIMIT_NOT_STRICTLY_POSITIVE,PHYSICAL_LIMIT_EXCEEDED,rule1_MPCS_LIMIT_NOT_STRICTLY_POSITIVE,-0.52972936832219486,3.0594587366443897,2,-0.52972936832219486,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
4,P1_tc00_v20mm_pose_6d,d7546acab4851cce,P1,0,0.02,pose_6d,UNSAFE,post_capture_rate_dps;reason:MPCS_LIMIT_NOT_STRICTLY_POSITIVE,PHYSICAL_LIMIT_EXCEEDED,rule1_MPCS_LIMIT_NOT_STRICTLY_POSITIVE,-0.52972742114263061,3.0594548422852612,2,-0.52972742114263061,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
5,P1_tc00_v20mm_approach_5d,8480b66a14211f83,P1,0,0.02,approach_5d,UNKNOWN,reason:FLEX_SOLVER_FAIL;reason:FLEX_STATUS_UNKNOWN_INADMISSIBLE;reason:INVALID_OR_MISSING_E_flex_J,FLEX_SOLVER_UNKNOWN,rule2_FLEX_SOLVER_FAIL,,3.0594587366443897,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
6,P1_tc30_v5mm_pose_6d,5696a464c3647347,P1,30,0.0050000000000000001,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
7,P1_tc30_v5mm_approach_5d,19eef41713d296ca,P1,30,0.0050000000000000001,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
8,P1_tc30_v10mm_pose_6d,8280f0139a5cb944,P1,30,0.01,pose_6d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
9,P1_tc30_v10mm_approach_5d,0700ec94dd864b10,P1,30,0.01,approach_5d,UNSAFE,reason:FLEX_STATUS_SKIPPED_DEFINITE_UNSAFE;reason:HARD_FLAG_MISSING_OR_INVALID_collision_margin_min_m;reason:HARD_FLAG_MISSING_OR_INVALID_condition_number_max;reason:HARD_FLAG_MISSING_OR_INVALID_joint_limit_margin_min_rad;reason:IK_FAIL;reason:IK_INFEASIBLE;reason:INVALID_OR_MISSING_E_flex_J;reason:INVALID_OR_MISSING_H_RW_Nms;reason:INVALID_OR_MISSING_J_thr_Ns;reason:INVALID_OR_MISSING_base_attitude_change_deg;reason:INVALID_OR_MISSING_post_capture_rate_dps,MISSING_FRESH_EVIDENCE,rule3_missing_or_invalid_chain,,,2,,PROVISIONAL,ae87f34,40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/tables__sim_09_grasp_evaluator__e15_mpcs__e15_bottleneck_summary.csv,7de78a2710e8
