video,frame_index,video_time_s,quantity,anim_value,csv_value,abs_diff,tolerance,match,source,note
anim_v06_gate_explanation,684,28.5,counter SAFE,0,0,0.0,0.0,True,e15_gate_check.json vs bottleneck CSV recount,
anim_v06_gate_explanation,684,28.5,counter UNKNOWN,3,3,0.0,0.0,True,e15_gate_check.json vs bottleneck CSV recount,
anim_v06_gate_explanation,684,28.5,counter UNSAFE,69,69,0.0,0.0,True,e15_gate_check.json vs bottleneck CSV recount,
anim_v06_gate_explanation,240,10.0,RED narration rate [deg/s],3.0594548422852808,3.0594548422852808,0.0,0.0,True,e15_bottleneck_summary.csv,
anim_v06_gate_explanation,240,10.0,RED narration limit [deg/s],2.0,2.0,0.0,0.0,True,e15_bottleneck_summary.csv,
anim_v06_gate_explanation,384,16.0,YELLOW cell count (recomputed rule),3,3,0.0,0.0,True,e15_bottleneck_summary.csv(binding_items),
anim_v06_gate_explanation,528,22.0,GREYBLUE cell count (recomputed rule),66,66,0.0,0.0,True,e15_bottleneck_summary.csv(binding_items),
anim_v06_gate_explanation,732,30.5,gate verdict (title),REPEAT_E1_5,REPEAT_E1_5,,0.0,True,e15_gate_check.json,
anim_v01_target_tumble,0,0.0,target mass [kg] (info box),150.0,150.0,0.0,0.0,True,mass_inertia_budget_v1.csv,
anim_v01_target_tumble,0,0.0,Ixx [kg m^2] (info box),74.805599,74.805599,0.0,0.0,True,mass_inertia_budget_v1.csv,
anim_v01_target_tumble,0,0.0,Izz [kg m^2] (info box),26.592617,26.592617,0.0,0.0,True,mass_inertia_budget_v1.csv,
anim_v01_target_tumble,0,0.0,|omega_0| [deg/s] (info box),3.0,3.0,0.0,0.0,True,capture_impulse_matrix_v0.csv,
anim_v01_target_tumble,0,0.0,|r_g(P1)| lever arm [m] (info box),1.2152142051918255,1.21521,4.2051918256458265e-06,5e-06,True,capture_impulse_matrix_v0.csv,recomputed from GRASP_POINTS+cg vs sim_06 CSV (5 dp)
anim_v01_target_tumble,180,7.5,t_c marker #2 [s] (timeline),30.0,30.0,0.0,0.0,True,e15_results_72cases.csv(t_c_s),
anim_v01_target_tumble,720,30.0,t_c grid (info box),0/30/60/90,0/30/60/90,,0.0,True,e15_results_72cases.csv(t_c_s),
anim_v03_base_reaction,200,8.0,q2 [deg] @ t=4.00 s (readout),30.0,30.0,0.0,0.0,True,sim_05_base_attitude.csv,
anim_v03_base_reaction,200,8.0,base deviation [deg] @ t=4.00 s,8.274343,8.274343,0.0,0.0,True,sim_05_base_attitude.csv,
anim_v03_base_reaction,216,8.64,|H_bm qdot| ang peak [kg m^2/s] (readout),0.089133,0.089133,0.0,0.0,True,sim_05_base_attitude.csv,
anim_v03_base_reaction,600,24.0,final base deviation [deg],19.199852,19.199852,0.0,0.0,True,sim_05_base_attitude.csv,
anim_v03_base_reaction,675,27.0,freeze card value 19.20 [deg] (2 dp display),19.2,19.2,0.0,0.0,True,sim_05_base_attitude.csv,display rounding 2 dp
anim_v03_base_reaction,600,24.0,final euler y [deg],19.199832,19.199832,0.0,0.0,True,sim_05_base_attitude.csv,
anim_v04_capture_impulse,276,11.5,omega_after [deg/s] (panel),3.0633304945807067,3.06333,4.945807066114583e-07,5e-06,True,capture_impulse_matrix_v0.csv,CSV printed 6 sig figs
anim_v04_capture_impulse,276,11.5,|J| contact impulse [N s] (panel),0.3384597133729326,0.33846,2.866270673584914e-07,5e-06,True,capture_impulse_matrix_v0.csv,
anim_v04_capture_impulse,276,11.5,|L_grasp| couple [N m s] (panel),0.1216933598829992,0.121693,3.5988299920686195e-07,5e-07,True,capture_impulse_matrix_v0.csv,
anim_v04_capture_impulse,276,11.5,dKE plastic loss [J] (panel),0.005274149862913816,0.00527415,1.3708618441798937e-10,5e-09,True,capture_impulse_matrix_v0.csv,
anim_v04_capture_impulse,276,11.5,w_after_x [rad/s] (recompute),0.045501184419975686,0.0455012,1.5580024312344953e-08,5e-08,True,capture_impulse_matrix_v0.csv,
anim_v04_capture_impulse,276,11.5,H_RW required [N m s] (panel),3.6509926355539597,3.65099,2.6355539595179778e-06,5e-06,True,actuator_budget_sweep.csv,
anim_v04_capture_impulse,276,11.5,thruster impulse [N s] (panel),21.476427267964468,21.4764,2.7267964465949035e-05,5e-05,True,actuator_budget_sweep.csv,
anim_v04_capture_impulse,276,11.5,sim_06 budget flag (panel),OVER_BUDGET,OVER_BUDGET,,0.0,True,capture_impulse_matrix_v0.csv,
anim_v02_b601_approach,479,19.958,cond(J_task) at q_c (readout),27.247243887585434,27.247243887585434,0.0,1e-09,True,e15_results_72cases.csv,"recomputed task-Jacobian conditioning, bit-level"
anim_v02_b601_approach,479,19.958,min collision margin [m] (readout),0.05465000000000002,0.05465000000000002,0.0,0.0,True,e15_results_72cases.csv,"evaluator 25-sample grid, exact"
anim_v02_b601_approach,479,19.958,collision t_at_min [s] (readout),0.0,0.0,0.0,0.0,True,e15_results_72cases.csv,
anim_v02_b601_approach,479,19.958,q_c joint2 [rad] (curve endpoint),-1.0482002296028672,-1.0482002296028672,0.0,0.0,True,e15_results_72cases.csv(selected_q_json),
anim_v02_b601_approach,479,19.958,q_c joint3 [rad] (curve endpoint),-1.3989828152470143,-1.3989828152470143,0.0,0.0,True,e15_results_72cases.csv(selected_q_json),
anim_v02_b601_approach,479,19.958,q_c joint4 [rad] (curve endpoint),-1.220010067943876,-1.220010067943876,0.0,0.0,True,e15_results_72cases.csv(selected_q_json),
anim_v02_b601_approach,0,0.0,scenario_hash (footer),4648e26f6240b367,4648e26f6240b367,,0.0,True,e15_results_72cases.csv,
anim_v05_flex_diagnostic,0,0.0,f1 [Hz] (summary panel),1.00021,1.00021,0.0,0.0,True,task_response_summary.csv,
anim_v05_flex_diagnostic,48,2.0,tip peak [mm] (summary panel),3.674004,3.674004,0.0,0.0,True,task_response_summary.csv,
anim_v05_flex_diagnostic,96,4.0,root moment peak [mN m] (summary panel),3.726863,3.726863,0.0,0.0,True,task_response_summary.csv,
anim_v05_flex_diagnostic,144,6.0,U max [J] (summary panel),2.3444e-05,2.3444e-05,0.0,0.0,True,task_response_summary.csv,
anim_v05_flex_diagnostic,192,8.0,dominant f [Hz] (summary panel),1.0002,1.0002,0.0,0.0,True,task_response_summary.csv,
anim_v05_flex_diagnostic,288,12.0,t5% [s] (extrapolated panel),45.67,45.67,0.0,0.0,True,task_response_summary.csv,fit_extrapolated; beyond the 15 s run window
anim_v05_flex_diagnostic,504,21.0,failure case 1 (card),P3_tc30_v10mm_approach_5d,P3_tc30_v10mm_approach_5d,,0.0,True,e15_ancf_legacy_retry_forensics.csv,
anim_v05_flex_diagnostic,588,24.5,failure case 2 (card),P3_tc60_v5mm_approach_5d,P3_tc60_v5mm_approach_5d,,0.0,True,e15_ancf_legacy_retry_forensics.csv,
