"input_id","owner_designated","authority_role","immutable","project_relative_path","absolute_path","exists","nonzero","bytes","sha256","expected_sha256","hash_match","status","comparison_basis"
"OWNER_V5_OPERATIONAL_MECHANICAL_GATE","true","OWNER_DESIGNATED_V5_OPERATIONAL_MECHANICAL_GATE","true","20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json","F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json","true","true","18040","E0369477D775182F40E38EE43AA6DED18D17A0F9FC83EA16034D14F022EB629E","E0369477D775182F40E38EE43AA6DED18D17A0F9FC83EA16034D14F022EB629E","true","PASS_HASH_MATCH","OWNER_DESIGNATED_IMMUTABLE_FILE_PINNED_AT_AUDIT"
"OWNER_NEUTRAL_PACKAGE_VALIDATION","true","OWNER_DESIGNATED_NEUTRAL_PACKAGE_VALIDATION","true","20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/06_pack_and_go/NEUTRAL_PACKAGE_VALIDATION.json","F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/06_pack_and_go/NEUTRAL_PACKAGE_VALIDATION.json","true","true","1666","CB6FD22F353241BF6F2D9F57C3D8D1A7D92A5C4782FFEFC8D946FD157B64AB29","CB6FD22F353241BF6F2D9F57C3D8D1A7D92A5C4782FFEFC8D946FD157B64AB29","true","PASS_HASH_MATCH","V5_GATE.output_hashes.neutral_package_validation"
"OWNER_GRIPPER_R1_GEOMETRY_VALIDATION","true","OWNER_DESIGNATED_GRIPPER_R1_VALIDATION","true","20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_GEOMETRY_VALIDATION.json","F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_GEOMETRY_VALIDATION.json","true","true","117402","7BC0DF784B36159624A8A89B67207C54C5C9C780B103CB38658DE2D6BA845F47","7BC0DF784B36159624A8A89B67207C54C5C9C780B103CB38658DE2D6BA845F47","true","PASS_HASH_MATCH","V5_GATE.output_hashes.gripper_r1_geometry_validation"
"OWNER_PRODUCTION_MECH_RL_INTERFACE","true","OWNER_DESIGNATED_PRODUCTION_MECHANICAL_RL_INTERFACE","true","20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/MECH_RL_INTERFACE_V1.yaml","F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/MECH_RL_INTERFACE_V1.yaml","true","true","14251","26E5A55570BE9E1DAF6683F76FB2A68D0265872EB5FB7C876E3324914DA36BB0","26E5A55570BE9E1DAF6683F76FB2A68D0265872EB5FB7C876E3324914DA36BB0","true","PASS_HASH_MATCH","V5_GATE.output_hashes.mechanical_rl_interface_AND_SIM13_GATE.manifest_sha256"
"OWNER_SIM13_ENVIRONMENT_BOOTSTRAP_GATE","true","OWNER_DESIGNATED_SIM13_BOOTSTRAP_GATE","true","30_simulation/sim_13_physics_gated_embodied_grasping/evidence/SIM13_ENVIRONMENT_BOOTSTRAP_GATE.json","F:/China Graduate Future Flight Vehicle Innovation Competition/30_simulation/sim_13_physics_gated_embodied_grasping/evidence/SIM13_ENVIRONMENT_BOOTSTRAP_GATE.json","true","true","4196","C224853EABBD00C9C14C812922E3B2A7E406AF43A81CF7CA6A307860A951466C","C224853EABBD00C9C14C812922E3B2A7E406AF43A81CF7CA6A307860A951466C","true","PASS_HASH_MATCH","V5_GATE.output_hashes.sim13_environment_bootstrap_gate"
"ACCEPTED_B601_URDF","false","ACCEPTED_KINEMATICS_MASS_INERTIA_AUTHORITY","true","20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf","F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf","true","true","11321","1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164","1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164","true","PASS_HASH_MATCH","V5_GATE.accepted_urdf.sha256"
"NEUTRAL_BASELINE_STEP","false","NEUTRAL_OPERATIONAL_GEOMETRY_STEP","true","20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.step","F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.step","true","true","125946155","A7549D0E913584FA4AF894A710F5CE9DF363722FD7F4F863B1C3B3FF2B4653C2","A7549D0E913584FA4AF894A710F5CE9DF363722FD7F4F863B1C3B3FF2B4653C2","true","PASS_HASH_MATCH","V5_GATE.neutral_geometry.step.sha256"
"NEUTRAL_BASELINE_FCSTD","false","NEUTRAL_OPERATIONAL_GEOMETRY_FCSTD","true","20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.FCStd","F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.FCStd","true","true","53841402","7D423A2F19E34A04238AF82629875FDB320D841EE89F78051B454E737B9AF53A","7D423A2F19E34A04238AF82629875FDB320D841EE89F78051B454E737B9AF53A","true","PASS_HASH_MATCH","V5_GATE.neutral_geometry.fcstd.sha256"
"NEUTRAL_VISUAL_MESH","false","SIM13_WHOLE_SYSTEM_VISUAL_MESH","true","20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_VISUAL_MESH.stl","F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_VISUAL_MESH.stl","true","true","46236784","3147B19B669639EF3915CEB8B577BA0E331EA812FDDB508C3E76DF5C3A253208","3147B19B669639EF3915CEB8B577BA0E331EA812FDDB508C3E76DF5C3A253208","true","PASS_HASH_MATCH","V5_GATE.neutral_geometry.visual_mesh.sha256"
"NEUTRAL_COLLISION_MESH","false","SIM13_BROAD_PHASE_COLLISION_MESH","true","20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_COLLISION_MESH.stl","F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_COLLISION_MESH.stl","true","true","23352384","7DBD3F2BA19B033243F898C64025CCFD1A7C41BBD5410285188CE0DE7F3F7D80","7DBD3F2BA19B033243F898C64025CCFD1A7C41BBD5410285188CE0DE7F3F7D80","true","PASS_HASH_MATCH","V5_GATE.neutral_geometry.collision_mesh.sha256"
