id,domain,gap,category,evidence_path,impact,next_minimum_action,external_input_required
"DYN-B01","dyn","sim_11 接触时长 T_c=20ms 名义为占位,待 B601 夹爪闭合时间实测;带宽扫掠显示收口指标随 T_c 单调变化(100ms 时 lockup 0.17%)","P1_FINAL_DEMO_BLOCKER","20_engineering/config/coupled_scene/scene_A2_capture.yaml L25-26; sim_11 gate $.gates.G4.bandwidth_sweep_diagnostic","决赛答辩接触模型物理依据被问时只能答'占位+扫掠';真实值可能移动收口指标","硬件组给出夹爪闭合实测 ms 值->替换 scene_A2 contact.T_c_ms_nominal->重跑带宽口径 Gate","yes"
"DYN-B02","dyn","帆板模态参数为占位(质量 0.348kg SSOT 占位 vs 真实面密度 2-5kg/m2 差 5-10 倍);sim_11'A1 柔性反馈可忽略'结论在真实参数下可能翻转(AGENTS.md 待办3,自评'论文最大硬伤')","P1_FINAL_DEMO_BLOCKER","20_engineering/config/coupled_scene/coupled_model_v0.yaml L5 status=PROVISIONAL_PARAMS; sim_11 gate $.provisional_fields","决赛展示柔性耦合结论必须带 PROVISIONAL 声明;真实参数下 A1 结论方向不确定","杨恒提供数值案例->替换 coupled_model_v0.yaml 占位字段->重跑 sim_11 全部场景与 Gate","yes"
"DYN-B03","dyn","sim_10 冻结哈希锁对当前树失效:REORG04(2026-07-22, commit 284c882)改写 assumptions.yaml/threshold_registry 路径字符串致 SHA 漂移,scan_v0.yaml 与 gate 未重钉;今日重跑 R 门必 FAIL(git diff 证实数值语义等价)","P1_FINAL_DEMO_BLOCKER","20_engineering/config/mission_feasibility/scan_v0.yaml frozen_inputs; 当前 sha256 006c6cc5.../75af082a... vs 钉住值 850f49da.../400bcedc...","不阻塞静态提交(历史裁决有效);阻塞任何决赛前重跑/现场复核;答辩可复现性受损","按 REORG04 规则5 重钉两文件哈希到 scan_v0.yaml 并重发 sim_10 gate(分钟级,内部可闭环)","no"
"E-COMP-02","dyn","Unified R2 守恒与状态连续性(PB-00..PB-03)无当前系统信用证据:PB-00 仅 PASS_DIAGNOSTIC_NO_CREDIT,PB-G1 HOLD(PB-G0-A 权威未过),G1-04/05 状态交接 NOT_EVALUATED,R2 8DOF DG2 独立全状态守恒未绑定","P1_FINAL_DEMO_BLOCKER","30_simulation/dynamics_control_prebind_r1/10_verification/PB_G1_GATE.json; 30_simulation/r2_dynamics_engineering_closure/results/R2_8DOF_CONSTRAINED_DYNAMICS_GATE_V1.json $.summary.failed","决赛无法展示统一系统级守恒/状态连续性证据;只能用诊断表征并明示 no-credit","关闭 PB-G0-A 权威缺口(Owner 重判)+绑定 DG1/DG2;禁止先跑 NMPC/RL/VLA","yes"
"DYN-B04","dyn","e15 legacy ANCF 线交叉求解 5.637%>5% 维持 REPEAT_ANCF_CERTIFICATION;现行线由 E23 G07/G11 交付(1.81e-05/0.2714%),legacy 重认证未执行也无计划","P2_FORMAL_RELEASE_BLOCKER","30_simulation/e15_ancf_certification/results/gate_summary.json $.overall; e23 gate $.authority_dispositions.e15_current","只影响正式工程 Release 的认证链完整性;比赛引用走 E23 口径即可","Owner 决定是否 resurrect legacy 线;否则维持冻结并在 Release 文档引用 E23","no"
"DYN-B05","dyn","e21 单一安装消费语义 UNRESOLVED + R2 工程门 DG1-DG5 全开 + harness R2_HRN_04 FAIL_REDESIGN_REQUIRED","P2_FORMAL_RELEASE_BLOCKER","30_simulation/e21_m7_r2_arm_placement_rigid_coupled_diagnostics/results/E21_DIAGNOSTIC_GATE_V1.json $.mandatory_holds; R2_DYNAMICS_ENGINEERING_GATE_V1.json summary.holds","只影响正式 Release 与任务放行;诊断证据已完备","Owner 裁定单一安装语义;逐条关闭 DG1-DG5;harness 重设计属机械域工作单","yes"
"DYN-B06","dyn","sim_13 正式 V2 15/20 NC + 5 dependency_hold(NC15/16/18/19/20),五个后端工作单已注册未落地;V4 证据全部 synthetic","P2_FORMAL_RELEASE_BLOCKER","30_simulation/sim_13_physics_gated_embodied_grasping/v4_runtime_guard_diagnostic/results/SIM13_V4_RUNTIME_GUARD_DIAGNOSTIC_GATE_V1.json technical_verdict","影响 Physics-Gated Embodied Grasping 正式化;不阻塞当前比赛脊柱","后端落地 SIM13_BACKEND_WORK_ORDERS_V1 五项+父 Gate 重发","yes"
"DYN-B07","dyn","sim_08 执行机构档全为 placeholder CLASS 值(轮组/推力器/Isp),COTS 选型未做","P2_FORMAL_RELEASE_BLOCKER","30_simulation/sim_08_detumble_actuator_budget/assumptions.yaml 头注; sim_10 gate provisional_notes[0]","比赛图表可带 CLASS 声明引用;正式报告冻结前必须替换","COTS RW/推力器数据手册选型->替换 CLASS 值->重跑预算","yes"
"DYN-B08","dyn","e23 18/18 PASS_WITH_DECLARED_PROVISIONAL_PHYSICS 但 review_status=PENDING_OWNER_REVIEW,next_stage_authorized=false,release_credit=false","P2_FORMAL_RELEASE_BLOCKER","30_simulation/e23_r2_full_flex_coupled_recert/results/E23_R2_FULL_FLEX_COUPLED_GATE_V1.json $.review_status","比赛可引用(带限定);正式 Release 信用需 Owner review","Owner review 签署","yes"
"DYN-B09","dyn","FINAL_RL_VLA_TRAINING 与 HIL/实时数字孪生为 DEFER;NMPC/RL/VLA 在 PB-G0 关闭前禁止启动","P3_POST_COMPETITION_RESEARCH","30_simulation/dynamics_control_prebind_r1/13_reports/CURRENT_STATE.md 末段; AGENTS.md L29-30","赛后研究线;与 9-01 提交无关","赛后按 PB-G0-A->DG2->控制链顺序推进","yes"
