clamp_id,host_link,type,frame,x_mm,y_mm,z_mm,fastener_interface,note
CF-BUS-00,bus,FIXED,S,-29.580,-63.440,-39.410,2xM3 on RC-CHN-BUS-FT,fixed clamp at HN-01 (passage mouth)
CF-BUS-01,bus,FIXED+STRAIN_RELIEF,S,-29.580,-63.440,-18.410,2xM3 on RC-CHN-BUS-FT,fixed clamp + strain relief at HN-02
CF-BUS-02,base_link,FIXED,base_link_frame,-25.600,-64.770,4.590,2xM3 on bracket arm,route clamp with bracket arm to CN-BASE-00 at HN-03 station (S 215,0,-45)
CF-BUS-03,base_link,FIXED,base_link_frame,-22.080,-65.940,15.730,2xM3 on bracket arm,riser clamp, bracket arm to collar ring at HN-04 station (S 220,0,-30)
CM-J1-M,link1,MOVING,link1_frame,-58.637,12.713,55.750,2xM3 on RC-BRK-L1-01,rotating clamp at annulus exit
CF-L1-01,link1,FIXED,link1_frame,-52.284,42.017,56.704,2xM3 on RC-BRK-L1-01,fixed clamp on link1 annulus exit stub
CF-J2-F,link1,FIXED,link1_frame,20.698,69.625,50.034,2xM3 on link1 derived pad,J2 loop fixed clamp (link1 side)
CM-J2-M,link2,MOVING,link2_frame,-70.896,-4.800,38.000,2xM3 on RC-CHN-L2,J2 loop moving clamp (link2 side)
CF-L2-01,link2,FIXED,link2_frame,-100.000,-4.800,38.000,2xM3 on RC-CHN-L2,link2 channel fixed clamp
CM-J3-M,link2,MOVING_CARRIER,link2_frame,-160.000,-4.800,38.000,carriage RC-CAR-J3-CARRIAGE,J3 carrier moving clamp, travel x -85..-195 (link2 frame)
CF-L2-02,link2,FIXED,link2_frame,-228.000,-4.800,38.000,2xM3 on RC-CHN-L2,link2 channel end clamp
CG-J3-S,link2,GUIDE_SADDLE,link2_frame,-275.000,-4.800,38.000,4xM3 saddle bracket,J3 guide saddle entry tangent
CF-L3-01,link3,FIXED,link3_frame,117.619,49.653,38.000,2xM3 on RC-CHN-L3,link3 channel fixed clamp
CF-L3-02,link3,FIXED,link3_frame,168.310,2.426,38.000,2xM3 on RC-CHN-L3,link3 channel fixed clamp
CF-J4-F,link3,FIXED,link3_frame,219.000,-44.800,38.000,2xM3 on RC-CHN-L3,J4 loop fixed clamp (link3 side)
CM-J4-M,link4,MOVING,link4_frame,-4.211,-0.900,39.625,2xM3 on RC-CHN-L4,J4 loop moving clamp (link4 side)
CF-L4-01,link4,FIXED,link4_frame,61.402,-9.006,39.625,2xM3 on RC-CHN-L4,link4 channel end clamp
CF-J5-F,link4,FIXED,link4_frame,116.400,-15.800,39.625,2xM3 on riser guide tube,J5 wrap entry fixed clamp
CM-J5-M,link5,MOVING,link5_frame,-49.781,4.677,21.700,2xM3 on link5 derived pad,J5 wrap exit moving clamp
CM-J6-F,link5,FIXED,link5_frame,93.092,50.000,40.000,2xM3 on link5 end pad,J6 helix entry fixed clamp
CM-J6-M,link6,MOVING,link6_frame,50.000,-0.000,104.400,2xM3 on link6 derived pad,J6 helix exit moving clamp
CF-WR-SR,link6,STRAIN_RELIEF,link6_frame,50.000,55.000,124.400,2xM3 on link6 wrist pad,wrist strain relief
CF-WR-PL,link6,FIXED,link6_frame,50.000,55.000,161.400,4xM3 on RC-PLT-WRIST-SPLIT,wrist connector split plate
