item_id,assembly_scope,component_name,quantity,representation,status,mass_authority,manufacturing_authority,source_or_run,notes
B50-SKEL-001,B601_Q0_REFERENCE,B50_B601_MASTER_SKELETON,1,SLDPRT_ZERO_SOLID,ACCEPTED_Q0_REFERENCE,EXCLUDED,NO_AUTHORITY,B50_NATIVE_20260727T2214Z,10 points 9 chain segments 8 nonzero joint axes
B50-G06-001,B601_Q0_REFERENCE,B50_REF_base_link_LINKLOCAL,1,SLDPRT_69_SOLIDS,DIRECT_GEOMETRY_REFERENCE,EXCLUDED_ACCEPTED_URDF_ONLY,NONE,B50_NATIVE_20260727T2214Z,G06
B50-G01-001,B601_Q0_REFERENCE,B50_REF_link1_LINKLOCAL,1,SLDPRT_30_SOLIDS,DIRECT_GEOMETRY_REFERENCE,EXCLUDED_ACCEPTED_URDF_ONLY,NONE,B50_NATIVE_20260727T2214Z,G01
B50-G02-001,B601_Q0_REFERENCE,B50_REF_link2_LINKLOCAL,1,SLDPRT_71_SOLIDS,DIRECT_GEOMETRY_REFERENCE,EXCLUDED_ACCEPTED_URDF_ONLY,NONE,B50_NATIVE_20260727T2214Z,G02
B50-G03-001,B601_Q0_REFERENCE,B50_REF_link3_LINKLOCAL,1,SLDPRT_80_SOLIDS,DIRECT_GEOMETRY_REFERENCE,EXCLUDED_ACCEPTED_URDF_ONLY,NONE,B50_NATIVE_20260727T2214Z,G03
B50-G04-001,B601_Q0_REFERENCE,B50_REF_link4_LINKLOCAL,1,SLDPRT_40_SOLIDS,DIRECT_GEOMETRY_REFERENCE,EXCLUDED_ACCEPTED_URDF_ONLY,NONE,B50_NATIVE_20260727T2214Z,G04
B50-G07-001,B601_Q0_REFERENCE,B50_REF_link5_LINKLOCAL,1,SLDPRT_21_SOLIDS,DIRECT_GEOMETRY_REFERENCE,EXCLUDED_ACCEPTED_URDF_ONLY,NONE,B50_NATIVE_20260727T2214Z,G07
B50-G05-001,B601_Q0_REFERENCE,B50_REF_link6_LINKLOCAL,1,SLDPRT_20_SOLIDS,CHAIN_DERIVED_HOLD,EXCLUDED_ACCEPTED_URDF_ONLY,NONE,B50_NATIVE_20260727T2214Z,G05 not released
B50-G08-001,B601_Q0_REFERENCE,B50_REF_gripper_detail_LINKLOCAL,1,SLDPRT_57_SOLIDS,CHAIN_DERIVED_HOLD,EXCLUDED_ACCEPTED_URDF_ONLY,NONE,B50_NATIVE_20260727T2214Z,G08 composite gripper geometry no retained 2P
B50-BASE-001,BASE_ADAPTER_REFERENCE,B50_BASE_ADAPTER_UPPER_FLANGE_ENVELOPE,1,SLDPRT_1_SOLID,DESIGN_PROPOSAL_REFERENCE_ENVELOPE,EXCLUDED_ACCEPTED_URDF_ONLY,NONE,B50_BASE_REF_20260728T0029Z,160x160x15 mm no holes
B50-BASE-002,BASE_ADAPTER_REFERENCE,B50_BASE_ADAPTER_SPREADER_PLATE_ENVELOPE,1,SLDPRT_1_SOLID,DESIGN_PROPOSAL_REFERENCE_ENVELOPE,EXCLUDED_ACCEPTED_URDF_ONLY,NONE,B50_BASE_REF_20260728T0029Z,160x160x12 mm no holes
B50-BASE-003,BASE_ADAPTER_REFERENCE,B50_BASE_ADAPTER_PRIMARY_BOSS_ENVELOPE,1,SLDPRT_1_SOLID,DESIGN_PROPOSAL_REFERENCE_ENVELOPE,EXCLUDED_ACCEPTED_URDF_ONLY,NONE,B50_BASE_REF_20260728T0029Z,diameter 100x15 mm no holes
