configuration,arm_joint_vector,gripper_prismatic_vector,solar_state,hdrm_state,rear_support_state,camera_visibility,minimum_clearance_mm,next_state_allowed,safe00_link,status,evidence_limit
Q0_FIXED_REFERENCE,"[0,0,0,0,0,0]","[0,0]",NOT_IN_ASSEMBLY,NOT_IN_ASSEMBLY,NOT_IN_ASSEMBLY,NOT_EVALUATED,UNKNOWN,NO,NOT_EVALUATED,PASS_REFERENCE_ONLY,"All 9 SolidWorks components fixed; no retained 6R or 2P DOF"
STOWED,TBD,TBD,TBD,TBD,TBD,TBD,UNKNOWN,NO,TBD,HOLD,"No approved stow joint vector or support contact frame"
DEPLOYED_NOMINAL,TBD,TBD,SOLAR_DEPLOYMENT_CONFIRMED,TBD,RELEASED,TBD,UNKNOWN,NO,TBD,HOLD,"q0 must not be silently treated as deployed nominal"
PARTIAL,TBD,TBD,TBD,TBD,TBD,TBD,UNKNOWN,NO,TBD,HOLD,"No unique joint vector"
SERVICE,TBD,TBD,TBD,TBD,TBD,TBD,UNKNOWN,NO,TBD,HOLD,"No unique joint vector"
SOLAR_DEPLOY_ARM_LOCKED,TBD,TBD,DEPLOYING_OR_CONFIRMING,LOCKED,TBD,TBD,UNKNOWN,NO,TBD,HOLD,"Static staging evidence only; full top-level sweep missing"
SOLAR_DEPLOYED_ARM_RELEASED,TBD,TBD,DEPLOYMENT_CONFIRMED,RELEASED,TBD,TBD,UNKNOWN,NO,TBD,HOLD,"Release-entry guard and first arm segment not verified"
DEPLOY_FAILED_BOTH,TBD,TBD,FAILED_BOTH,LOCKED,TBD,TBD,UNKNOWN,NO,TBD,HOLD_FAIL_SAFE,"Arm release must remain inhibited"
L_FAIL,TBD,TBD,LEFT_FAILED,LOCKED,TBD,TBD,UNKNOWN,NO,TBD,HOLD_FAIL_SAFE,"Arm release must remain inhibited pending state contract"
R_FAIL,TBD,TBD,RIGHT_FAILED,LOCKED,TBD,TBD,UNKNOWN,NO,TBD,HOLD_FAIL_SAFE,"Arm release must remain inhibited pending state contract"
