scenario_id,role,method,task_mode,trajectory,n_steps,sample_period_s,position_error_rms_m,position_error_p95_m,position_error_max_m,orientation_error_rms_rad,orientation_error_p95_rad,orientation_error_max_rad,base_attitude_peak_deg,base_omega_integral_deg,joint_speed_max_radps,joint_acceleration_max_radps2,joint_torque_max_Nm,joint_limit_margin_min_rad,task_sigma_min,task_condition_max,momentum_max_abs,energy_audit_relative,energy_audit_abs_J,energy_scale_J,ledger_integrator,ledger_rtol,ledger_atol,ledger_nfev_total,panel_tip_peak_mm,panel_modal_energy_peak_J,panel_modal_energy_final_J,panel_metrics_status,mean_step_wall_ms,max_step_wall_ms,runtime_s,real_time_ratio,analytic_position_bound_m,analytic_orientation_bound_rad,nullity_one_fraction,nullspace_active_fraction,nullspace_fade_fraction,nullspace_leakage_max,reaction_primary_peak,reaction_command_peak,reference_feedforward_peak,t3_collision_margin_min_m,t3_collision_static_margin_min_m,t3_collision_static_t_at_min_s,t3_collision_target_margin_min_m,t3_collision_target_t_at_min_s,t3_collision_combined_margin_min_m,t3_collision_combined_t_at_min_s,t3_collision_evaluation_status,t3_collision_plan_contract_status,t3_collision_static_evaluation_status,t3_collision_target_evaluation_status,t3_collision_combined_evaluation_status,t3_collision_not_evaluated_reason,t3_collision_time_samples,t3_collision_time_step_s,t3_collision_static_time_coverage,t3_collision_target_time_coverage,t3_collision_between_node_coverage,scenario_contract_sha256
C0_T1,MAIN,C0,pose_6d,T1,1201,0.01,0.059027930002428196,0.1053665799394266,0.10629630523244157,0.19269329896081125,0.35008540158352885,0.35360397092715923,19.005907822876726,19.006379271426034,0.2622304776697425,0.6194808002575382,0.02301833880250836,-1.0442967810645334,0.0001840043118886669,9955.982112611753,6.570265165262157e-17,1.8409095945314673e-13,9.355230946763328e-16,0.005081852457368686,per_interval_DOP853_reduced_momentum_FOH,1e-11,1e-13,32604,0.12864960811093729,3.234806181474171e-08,4.1742370538983596e-10,PROVISIONAL,100.1785648626042,230.36619999948016,120.3162543999997,0.09982175342315085,0.11,0.38,0.0,0.0,1.0,0.0,0.07284157181002093,0.07284157181002093,0.0,,,,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,0,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,38e68b8d83a3b3b1f148b8b4a92601c8600b64a15490c1ae752abb08a3221fd5
C0_T2,MAIN,C0,pose_6d,T2,3001,0.01,0.008564158750556633,0.013337087158633703,0.013887646387674327,0.048982225360341226,0.05293486480972171,0.05358991672099784,15.70505279197423,17.325747837076346,0.0956295018568401,0.08343164149579912,0.0006370692103404585,0.22242386572657624,0.06406909789163903,29.616159275232555,2.995108501491206e-17,2.7089915956029048e-14,3.5495693204467256e-18,0.00013102917433218336,per_interval_DOP853_reduced_momentum_FOH,1e-11,1e-13,44304,0.053534602696924324,8.210558380193354e-09,1.3920406289144195e-10,PROVISIONAL,55.40450033321258,198.72729999951844,166.27310250000028,0.18049075327560415,0.11,0.38,0.0,0.0,1.0,0.0,0.017700421216609113,0.017700421216609113,0.0,,,,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,0,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,aff07214ae55e27bfa3045d78e41132c31ce25a0ed8cd6c56c438f9de9d39937
C0_T3,MAIN,C0,pose_6d,T3,501,0.01,0.13676151404651746,0.2232708179021448,0.22501500928969925,0.10823412466779797,0.17368001514312825,0.17486209457666888,32.93374649181219,29.970745328581202,1.3383129516055312,7.502847395626238,0.28013754593789597,-1.4728426913978847,0.09558605642861306,19.915953313641555,3.2612801348363973e-16,3.841068663698217e-14,2.6708633893097534e-15,0.06953438282819503,per_interval_DOP853_reduced_momentum_FOH,1e-11,1e-13,20068,0.9573217542412943,1.6890918869124015e-06,5.281682419918056e-07,PROVISIONAL,133.2012159680566,221.25520000008692,66.73456259999966,0.07507438972928095,0.11,0.38,0.0,0.0,1.0,0.0,0.26564558348940653,0.26564558348940653,0.0,0.05465000000000002,0.05465000000000002,0.0,0.11475899847849909,1.67,0.05465000000000002,0.0,EVALUATED,MATCHED_T2_T15_TRIGGER_AND_CONST_OMEGA_CONTINUATION,EVALUATED,EVALUATED,EVALUATED,,501,0.01,ALL_FIXED_INTEGRATION_NODES,ALL_FIXED_INTEGRATION_NODES,NOT_GUARANTEED,0cf62824ee54dcd62ae2e23daaa196f17f95881c527a09381fadffee9d18aa12
C1_T1,MAIN,C1,pose_6d,T1,1201,0.01,0.043418148598885174,0.07909327565194792,0.07982734928899991,0.16036238806151543,0.2944096374809724,0.29742578558008625,19.04484426625387,19.05769288189236,0.22987842163044847,0.9520660013480459,0.0333596742296332,-1.045800811565142,0.00014612708338265323,10425.315449792064,8.391724815037804e-17,2.9442353726209373e-13,1.5619477004816797e-15,0.005305104731118168,per_interval_DOP853_reduced_momentum_FOH,1e-11,1e-13,32952,0.1445883291059551,4.8983908679272064e-08,4.850474149299163e-09,PROVISIONAL,94.63200649458065,221.25710000000254,113.65475370000058,0.10567249253636693,0.11,0.38,0.0,0.0,1.0,0.0,0.07770129509795624,0.07770129509795624,0.0,,,,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,0,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,5c21ab073ddf5da992e5f0b0509d24ea795707d3331b399e770b2de82d05deda
C1_T2,MAIN,C1,pose_6d,T2,3001,0.01,5.291248108887319e-06,1.076941263130001e-05,1.7669006355467015e-05,0.05104341782093579,0.05236469501031864,0.052366098943789,18.385467565096377,20.107605194116765,0.14331520951817944,0.0910855485510315,0.001449182980461071,0.2460868636257425,0.024197337480362992,60.863874809508204,4.112853178687981e-17,2.317077601494342e-14,5.876138870343999e-18,0.0002536012978829163,per_interval_DOP853_reduced_momentum_FOH,1e-11,1e-13,45144,0.07867491267431923,1.438800933605184e-08,3.2659395246252725e-10,PROVISIONAL,55.11553115629874,151.87040000000707,165.4059656999998,0.18143706120950948,0.11,0.38,0.0,0.0,1.0,0.0,0.023277333597358292,0.023277333597358292,0.0,,,,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,0,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,feb3616eff7ca12d20effa2ea53e191ac37810f8a67f210024a05698220f59e3
C1_T3,MAIN,C1,pose_6d,T3,501,0.01,0.10447592818079639,0.19020933129999656,0.19235180777571428,0.000463044438237151,0.0007810573701880773,0.0007974221805713807,41.81653271613665,37.863132661757014,1.3809149859825978,7.5011430133916495,0.33815519032453256,-0.9792175662479305,0.05787044572984562,25.77498390799899,4.718447854656915e-16,3.754007579024329e-14,3.950734990110889e-15,0.10524046387614618,per_interval_DOP853_reduced_momentum_FOH,1e-11,1e-13,20200,1.5590610977986386,6.696584062262955e-06,1.3233991899551887e-06,PROVISIONAL,136.74423972060652,230.45880000063335,68.50955489999978,0.07312922299638967,0.11,0.38,0.0,0.0,1.0,0.0,0.3839103547103565,0.3839103547103565,0.0,0.027460507368447157,0.027460507368447157,5.0,0.1366847821227587,1.6,0.027460507368447157,5.0,EVALUATED,MATCHED_T2_T15_TRIGGER_AND_CONST_OMEGA_CONTINUATION,EVALUATED,EVALUATED,EVALUATED,,501,0.01,ALL_FIXED_INTEGRATION_NODES,ALL_FIXED_INTEGRATION_NODES,NOT_GUARANTEED,ed3a909f97aebf6b43ebfc73cad5c3132ffb76e9ffc43da703ed9e4c678ecde0
C2_T1,MAIN,C2,pose_6d,T1,1201,0.01,0.0001866180412352783,0.0003250296613545302,0.0003331911289767263,0.000627898528401073,0.0010752336827837597,0.001100673483432856,19.206333891254296,19.214213269645736,0.24536080567155782,0.09498139895294383,0.017193121769741464,-1.0476050054654487,6.639830276911244e-05,22842.380273063136,1.1210650463500116e-16,2.0540405075171546e-15,1.2497842794495285e-17,0.006084516224853909,per_interval_DOP853_reduced_momentum_FOH,1e-11,1e-13,19488,0.1073425567170978,4.026935422601685e-08,6.901595868115986e-11,PROVISIONAL,59.1177439633781,153.13220000098227,71.00208360000033,0.16915395158168992,0.11,0.38,0.0,0.0,1.0,0.0,0.08384037315505925,0.08384037315505925,0.3444694193958448,,,,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,0,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,d01a32e603e2f23826f7f7844781a2af2b8f41513859222ff19d698061c113ab
C2_T2,MAIN,C2,pose_6d,T2,3001,0.01,7.524391957883286e-06,1.4889831822268207e-05,3.90232624557845e-05,5.124087308723878e-05,8.08955054419411e-05,0.00025932991958593755,19.88697372468327,21.678595112176993,0.2837035690196268,9.108554855103153,0.144918298046107,0.2460868209072562,0.012357482418534464,118.62277193628262,6.022743068156977e-17,5.235430902631726e-12,3.9278720885568374e-15,0.0007502481002246424,per_interval_DOP853_reduced_momentum_FOH,1e-11,1e-13,64716,0.3308458078355526,2.630429029005802e-07,5.751907030296959e-08,PROVISIONAL,75.32561449515295,231.84779999974126,226.0563469000008,0.1327569654362857,0.11,0.38,0.0,0.0,1.0,0.0,0.035717199927943345,0.035717199927943345,0.05235987755982992,,,,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,0,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,868e5172d54e79f67a927d5dd61e5adf2072f0a742ec7d2f3b231b7d97cf1b4f
C2_T3,MAIN,C2,pose_6d,T3,501,0.01,0.0013844231087428564,0.0023927964400144493,0.0024168968273780324,0.0007129411590562705,0.0012373203362472931,0.0012792685519690595,44.65303371277979,40.14687392345527,1.8364844446715105,7.234490987418789,0.35366532132567613,-0.9092928459507101,0.05934717372194172,25.173797730821324,7.077671781985373e-16,2.013948977825038e-14,4.0296995307395524e-15,0.20008945485259622,per_interval_DOP853_reduced_momentum_FOH,1e-11,1e-13,20128,3.667514571660405,3.58256764510774e-05,2.3587722070681754e-06,PROVISIONAL,133.07022015970813,222.12449999824457,66.66885460000049,0.075148293795548,0.11,0.38,0.0,0.0,1.0,0.0,0.5262593647484426,0.5262593647484426,0.31249999999999994,0.015515677731418043,0.015515677731418043,2.94,0.14078311515766878,0.98,0.015515677731418043,2.94,EVALUATED,MATCHED_T2_T15_TRIGGER_AND_CONST_OMEGA_CONTINUATION,EVALUATED,EVALUATED,EVALUATED,,501,0.01,ALL_FIXED_INTEGRATION_NODES,ALL_FIXED_INTEGRATION_NODES,NOT_GUARANTEED,445cd0214def1c78d056526e3349610105c03ef3d6ea619014dedbc517594e2d
C3_T1,MAIN,C3,approach_5d,T1,1201,0.01,0.0001866180411842392,0.0003250296611793567,0.00033319112886162654,0.0006278983734783641,0.0010752334907182537,0.0011006732260731963,19.206333835834563,19.214214940088166,0.24536080608881727,0.09498139879871026,0.017193122104068863,-1.047605005053306,0.00010230229745424484,14825.621065689482,6.461844948013606e-17,1.6916766545775308e-15,1.0293033067543081e-17,0.0060845156429220814,per_interval_DOP853_reduced_momentum_FOH,1e-11,1e-13,20940,0.10735782708465018,4.026979218284268e-08,6.917256804241336e-11,PROVISIONAL,62.862841049122416,191.86229999831994,75.49991450000016,0.15907648832138813,0.11,0.38,1.0,0.0,1.0,2.932329580273895e-15,0.08384037354918474,0.08384037354918474,0.34446933317956474,,,,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,0,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,477740ad1f6f16b48d1449e70373ae436ab9b96c22675b39e4cdfe2000f35bc4
