sha256,bytes,path,role
B10972A8FFB01CFA1A99DDEAA9A5A018038E87BE6E649749FDD31B490DF6C308,10529,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR-60_OPTION_A_M01_TRAJECTORY_SCOPE_TEMPLATE.yaml","owner option A scope; request only"
EF5E92A41AAEBF9EC6C3643B85B0ADC9B8E6567A0BEA5A692953FF148FF31EAE,12661,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_PREFLIGHT_V1/ODR60_OPTION_A_PREFLIGHT_INPUTS_V1.json","hash-pinned read-only preflight inputs rebound to V2 proxy"
595900AE2EC33708F81D0154FE094E1C86F0334D226726CC43D0F62DD04B38C9,13604,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_PREFLIGHT_V1/M01_COLLISION_SEMANTICS_DRAFT_V1.yaml","150-object 11175-pair fail-closed collision semantics; not an authorized ACM"
386C7590787014696915B285CF2C8A040AE1E70312D4247E19992F873EA77919,16512,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_PREFLIGHT_V1/validate_odr60_option_a_preflight.py","side-effect-free preflight validator; no path generation"
FAAA845913CE5C5CAD31DE6CAA30FC14739BDF4EE5CA376D243EDD93AF22F669,3041,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_PREFLIGHT_V1/test_odr60_option_a_preflight.py","validator regression tests"
664E7E8FF98839858D4234730F6BB78496006DF3D33F54FF1425D804D7D8436A,8344,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_PREFLIGHT_V1/ODR60_OPTION_A_PREFLIGHT_GATE_V1.json","machine-readable static preflight gate; proxy local PASS and pre-search HOLD"
5A72A393E2521AF4905F5142835E81E1342F46D22E56A24491BDE187AC6307B9,5422,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_PREFLIGHT_V1/README.md","preflight package explanation and reproduction"
81D9201F2A7F62C450C45A067E586BAD722688F300F4D3AC816427BF30C0D763,7336,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/ODR60_OPTION_A_COLLISION_AUTHORITY_GATE_V1.json","aggregate collision authority gate; proxy local PASS and registry system HOLD"
CAE2975117CB91C8BB4B6E82734022F60CA6895C2A1E04D0BDE11CBCFFA846A6,3302,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/ODR60_OPTION_A_COLLISION_AUTHORITY_SHA256_V1.csv","collision authority package manifest"
AC975D11CC4715277E34FCFF7ABF049BC57334FD8F03AAB223BBED0877B1694F,247325,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/system_registry/M01_SYSTEM_COLLISION_REGISTRY_V1.json","150-object active collision registry"
6B48C382D10E2C89EE56544707248B4D37DB55CB3BDABF5BAE39AF8AC470E47C,6036,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/system_registry/M01_LOCAL_CONTACT_WINDOWS_SOURCE_V1.json","registry-owned normalized candidate windows; breaks downstream hash cycle"
C1F64FB26D4E563EEF6BF798EE163645FE16766CC3C510552769DB7FDF97306C,1416771,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/system_registry/M01_PAIR_COVERAGE_V1.csv","all 11175 unordered active-object pairs"
F5E91371648756D43FF7CF6C03028FA95174428D088BAAC08254FAD8D5DCC3FF,2872,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/system_registry/M01_SYSTEM_COLLISION_REGISTRY_GATE_V1.json","system registry structural gate; 11166 unassessed"
D038C641D196B7B89318F120D64BB3A88C219E26699A4B2C33CFDC7225C3152E,4272720,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/base_link_proxy_v2/B601_BASE_LINK_OPERATIONAL_COLLISION_PROXY_V2.step","STEP-first base_link operational collision proxy V2"
5871D0AF4F9E31BF19240E4C8E885CB4715DA8936FF74BBB34F2367655BBACDA,7325,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/base_link_proxy_v2/BASE_LINK_OPERATIONAL_COLLISION_RECEIPT_V2.json","V2 local geometry receipt; no pair or path authority"
95B8C76F212E1A5F37A729A19AAC89BEC4A7C010A82B4BF3AE79CC65D637124C,3644,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/base_link_proxy_v2/BASE_LINK_OPERATIONAL_COLLISION_VALIDATION_V2.json","independent V2 geometry validation"
A0C5F9FAB58A748F2F89DC7CE398684B5A8C1205426C153C6752C56226250428,5398490,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/base_link_proxy_v2/BASE_LINK_OPERATIONAL_COLLISION_V2.npz","canonical V2 collision triangles and solid IDs"
70C233379398BCC39CE7357076510EB8FC66CD801DB79ECBD59058F620259FA9,10374584,"20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/base_link_proxy_v2/BASE_LINK_OPERATIONAL_COLLISION_V2.stl","binary V2 operational collision mesh"
