interface,dof_or_direction,allocation,preload_role,assembly_error_accommodation,release_requirement,physical_load_credit,status
B601_ROOT_BASE,Tx,PRIMARY_LOCATION,TBD,TBD,NONE,NONE,GEOMETRIC_CONTRACT_ONLY
B601_ROOT_BASE,Ty,PRIMARY_LOCATION,TBD,TBD,NONE,NONE,GEOMETRIC_CONTRACT_ONLY
B601_ROOT_BASE,Tz,PRIMARY_LOCATION,TBD,TBD,NONE,NONE,GEOMETRIC_CONTRACT_ONLY
B601_ROOT_BASE,Rx,PRIMARY_LOCATION,TBD,TBD,NONE,NONE,GEOMETRIC_CONTRACT_ONLY
B601_ROOT_BASE,Ry,PRIMARY_LOCATION,TBD,TBD,NONE,NONE,GEOMETRIC_CONTRACT_ONLY
B601_ROOT_BASE,Rz,PRIMARY_LOCATION,TBD,TBD,NONE,NONE,GEOMETRIC_CONTRACT_ONLY
G07,SPACECRAFT_X,CANDIDATE_ONE_DIRECTION_AXIAL_STOP,TBD,OPPOSITE_DIRECTION_FLOAT_OR_CLEARANCE_TBD,HDRM_RELEASE_MUST_CLEAR_STOP,NONE,HOLD_CONTACT_FRAME_UNAVAILABLE
G07,CONTACT_NORMAL,CANDIDATE_CONTACT_CLOSURE,CANDIDATE_PRELOAD_DIRECTION,TOLERANCE_PAD_OR_COMPLIANCE_TBD,SEPARATE_NORMAL_AFTER_RELEASE,NONE,HOLD_CONTACT_FRAME_UNAVAILABLE
G07,CONTACT_TANGENT_1,FREE_OR_CONTROLLED_SLIP,NONE,REQUIRED_TBD,NO_REMAINING_CAPTURE,NONE,HOLD_CONTACT_FRAME_UNAVAILABLE
G07,CONTACT_TANGENT_2,FREE_OR_CONTROLLED_SLIP,NONE,REQUIRED_TBD,NO_REMAINING_CAPTURE,NONE,HOLD_CONTACT_FRAME_UNAVAILABLE
G07,ROTATIONS,NOT_INDEPENDENTLY_DATUMED,NONE,CONTACT_PAIR_AND_CLEARANCE_TBD,NO_REMAINING_CAPTURE,NONE,HOLD_CONTACT_FRAME_UNAVAILABLE
G08,SPACECRAFT_X,REQUIRED_FLOAT_CANDIDATE,NONE,AXIAL_INSTALLATION_ERROR_ABSORPTION,RELEASE_WITHOUT_AXIAL_HOOK,NONE,HOLD_CONTACT_FRAME_UNAVAILABLE
G08,CONTACT_NORMAL,CANDIDATE_CONTACT_CLOSURE,CANDIDATE_PRELOAD_DIRECTION,TOLERANCE_PAD_OR_COMPLIANCE_TBD,SEPARATE_NORMAL_AFTER_RELEASE,NONE,HOLD_CONTACT_FRAME_UNAVAILABLE
G08,CONTACT_TANGENT_1,CANDIDATE_LATERAL_GUIDE_TBD,NONE,FLOAT_OR_SLOT_TBD,NO_REMAINING_CAPTURE,NONE,HOLD_CONTACT_FRAME_UNAVAILABLE
G08,CONTACT_TANGENT_2,FREE_OR_CONTROLLED_SLIP,NONE,REQUIRED_TBD,NO_REMAINING_CAPTURE,NONE,HOLD_CONTACT_FRAME_UNAVAILABLE
G08,ROTATIONS,NOT_INDEPENDENTLY_DATUMED,NONE,CONTACT_PAIR_AND_CLEARANCE_TBD,NO_REMAINING_CAPTURE,NONE,HOLD_CONTACT_FRAME_UNAVAILABLE
HDRM,RELEASE_DIRECTION,TBD,PRELOAD_ONLY_NOT_GEOMETRIC_DATUM,TBD,MUST_BE_DEFINED_WITH_POST_RELEASE_PROTRUSION,NONE,HOLD_HARDWARE_UNSELECTED
