component_id,shown_in_D01,geometry_in_FCStd,geometry_in_STEP,representation,release_hold
INST_BUS_12U_CORE,true,true,true,source_bound_block_proxy,internal_structure_and_load_bridge
INST_SOLAR_ARRAY_LEFT_DEPLOYED,true,true,true,deployed_plate_proxy,stowed_state_and_hinge_sweep
INST_SOLAR_ARRAY_RIGHT_DEPLOYED,true,true,true,deployed_plate_proxy,stowed_state_and_hinge_sweep
INST_B601_ARM_CORE_Q0,true,true,true,frame_axis_witness_not_arm_envelope,physical_B601_geometry
INST_M3R_INTERFACE_ASSEMBLY,true,true,true,working_parameterized_BRep,fitup_fasteners_tolerance
INST_GRIPPER_R1_PALM,true,true,true,palm_only_BRep,fingers_contact_and_clearance
SLOT_SPACECRAFT_LOAD_BRIDGE__UNRESOLVED,true,true,false,assembly_slot_no_shape,structural_load_path_continuity
SLOT_SENSOR_PACKAGE__UNRESOLVED,false,true,false,rejected_candidate_source_hidden,M3R_interference_and_selection
SLOT_ARM_HDRM__UNRESOLVED,false,true,false,nonphysical_skeleton_hidden,transform_and_function
SLOT_TARGET_INTERFACE__UNRESOLVED,false,true,false,scenario_sources_hidden,relative_pose_and_contact
SLOT_GRIPPER_R1_FINGERS__UNRESOLVED,false,true,false,assembly_slot_no_shape,separated_finger_BReps

