metric,label,alpha,n_blocks,median,median_change_vs_alpha0_pct
capture_impulse_linear_norm_Ns,Initial linear impulse [N s],0.0,6,0.06393030008216163,0.0
capture_impulse_linear_norm_Ns,Initial linear impulse [N s],0.8,6,0.025175673642775225,-60.62012283624498
capture_impulse_linear_norm_Ns,Initial linear impulse [N s],1.0,6,0.020652634697261536,-67.69507624597524
capture_impulse_angular_norm_Nms,Initial angular impulse [N m s],0.0,6,0.008930208263738656,0.0
capture_impulse_angular_norm_Nms,Initial angular impulse [N m s],0.8,6,0.0017777111142352558,-80.0932849298297
capture_impulse_angular_norm_Nms,Initial angular impulse [N m s],1.0,6,0.0008569162282522293,-90.40429738092716
capture_impulse_6d_norm,Initial 6D impulse norm [mixed units],0.0,6,0.06455100225055263,0.0
capture_impulse_6d_norm,Initial 6D impulse norm [mixed units],0.8,6,0.02523835970041309,-60.901676472115476
capture_impulse_6d_norm,Initial 6D impulse norm [mixed units],1.0,6,0.020670404577073653,-67.97818181529986
relative_twist_pre_norm,Pre-contact relative twist norm [mixed units],0.0,6,0.0662823797722509,0.0
relative_twist_pre_norm,Pre-contact relative twist norm [mixed units],0.8,6,0.01718490531216573,-74.07319204407898
relative_twist_pre_norm,Pre-contact relative twist norm [mixed units],1.0,6,0.010000000000000002,-84.91303415121722
terminal_joint_speed_max_radps,Terminal maximum joint speed [rad/s],0.0,6,0.06057607875954419,0.0
terminal_joint_speed_max_radps,Terminal maximum joint speed [rad/s],0.8,6,0.38518422940002334,535.8685429755303
terminal_joint_speed_max_radps,Terminal maximum joint speed [rad/s],1.0,6,0.48148397677837623,694.8417702796833
terminal_base_rate_dps,Terminal base rate [deg/s],0.0,6,0.11894668529352691,0.0
terminal_base_rate_dps,Terminal base rate [deg/s],0.8,6,2.2580495928511195,1798.3711797255123
terminal_base_rate_dps,Terminal base rate [deg/s],1.0,6,2.809261055878558,2261.781708288964
post_capture_omega_dps,Post-capture rigid rate [deg/s],0.0,6,3.059456789462363,0.0
post_capture_omega_dps,Post-capture rigid rate [deg/s],0.8,6,3.05945678946434,6.46220979182357e-11
post_capture_omega_dps,Post-capture rigid rate [deg/s],1.0,6,3.0594567894648352,8.080665298985135e-11
wheel_momentum_required_Nms,Wheel momentum demand [N m s],0.0,6,3.6776839106824157,0.0
wheel_momentum_required_Nms,Wheel momentum demand [N m s],0.8,6,3.677683910682644,6.206674075493803e-12
wheel_momentum_required_Nms,Wheel momentum demand [N m s],1.0,6,3.677683910682701,7.752304973671248e-12
propellant_required_g,Equivalent cold-gas propellant [g],0.0,6,36.766606960107154,0.0
propellant_required_g,Equivalent cold-gas propellant [g],0.8,6,36.76660696010944,6.2228957152070435e-12
propellant_required_g,Equivalent cold-gas propellant [g],1.0,6,36.76660696011001,7.768956762463452e-12
