owner,access,path,bytes,sha256,os_read_only
ACCEPTED_B601_PACKAGE,READ_ONLY,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\arm_b601_v1.urdf,11321,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,False
ACCEPTED_B601_PACKAGE,READ_ONLY,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\base_link.STL,3898684,22641C079014FE968702393F61E7F7F1A8F80C6C1DF45A61E31545F6EAFF3B65,False
ACCEPTED_B601_PACKAGE,READ_ONLY,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\gripper_left.STL,2119684,C4E0DE70F776B3573D975A6EAAA746CCCBE57C2D5BB12501DA8889979D3AF268,False
ACCEPTED_B601_PACKAGE,READ_ONLY,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\gripper_link.STL,2676384,A826E164D420A6922E8AD5EE27813F39FA809F6E4FDF39B42FD8A59E7D12E847,False
ACCEPTED_B601_PACKAGE,READ_ONLY,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\gripper_right.STL,2119684,615B119C0BB97A032BADD5882144E4A2A50C905A3E071AF1FA28B83BFE9B1B65,False
ACCEPTED_B601_PACKAGE,READ_ONLY,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link1.STL,499084,9DB637A63D37BC2C6398EA5B8BA32FB54122C637D5D77DC134C8782839B654CD,False
ACCEPTED_B601_PACKAGE,READ_ONLY,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link2.STL,5992184,DEF0D9D82343DCCC1EFF0D9D5572ECA49B3C134DB9807CA12302B99D153DF65E,False
ACCEPTED_B601_PACKAGE,READ_ONLY,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link3.STL,4209984,CA14D73B5D63F352051F440F4CABC3989567F25EE9D19E7DD749F2D6F0D0561D,False
ACCEPTED_B601_PACKAGE,READ_ONLY,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link4.STL,2579684,061909364F20BB387F9FF82CB80E506AF959142F9FBB4A39DC86FC8244EE768A,False
ACCEPTED_B601_PACKAGE,READ_ONLY,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link5.STL,2119384,3A32006227C1F9DBC70E77E07055C61E3F195F1054D4D2EB480262F0873BF001,False
ACCEPTED_B601_PACKAGE,READ_ONLY,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\meshes_b601_gripper\link6.STL,1248184,C586A7D0B8345D2CD32EAB7DFD2E334ABA56E83F582A6298D41BBF718F2EBEF1,False
ACCEPTED_B601_PACKAGE,READ_ONLY,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\README.md,859,D3DB8EDBBA3203F1AAF5FA579D361AB6FBDD107D3DD1F80ED9B0B860BF5723A8,False
VENDOR_STEP,READ_ONLY_GEOMETRY_ONLY,F:\Robotic arm\High_performance_robotics_arm\vendor\reBot-DevArm\hardware\reBot_B601_DM\reBot_B601_DM_v1.1_20260425.step,35114019,87A0537D1AFD50C04FC441FDE11DD4F2EBBB368FE27F6C10FDA8567BE696D968,False
V2_2_NATIVE_TREE,READ_ONLY_DONOR,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V2_2\00_Master_Skeleton\Master_Skeleton_V2_2.SLDPRT,160795,871743C63DF4AD0AF2B61F91DF16D1850A0A3EA24E3C6B8737C10C3AE5B82656,False
V2_2_NATIVE_TREE,READ_ONLY_DONOR,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V2_2\10_Primary_Structure\parts\DECK_MID1.SLDPRT,95013,578E06078F01DF1394CBC85E5CB4AE7AE6C7870E77E5FE37B3810F9C2D5DD8F3,False
V2_2_NATIVE_TREE,READ_ONLY_DONOR,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V2_2\10_Primary_Structure\parts\DECK_MID2.SLDPRT,94974,F2C34C6A0A055BB4E65E149182E53ED1CAED88193CDD9C827B2D49CB435E5BF8,False
V2_2_NATIVE_TREE,READ_ONLY_DONOR,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V2_2\10_Primary_Structure\parts\FRM_FRONT.SLDPRT,91902,98CF6DACAB77F51DDAD41E64C6371C4D2B1A9122CD23A759FC517E30CF4CE67E,False
V2_2_NATIVE_TREE,READ_ONLY_DONOR,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V2_2\10_Primary_Structure\parts\FRM_MID1.SLDPRT,90178,DEB669A5DEDB89BE509C99FA2B8B29F3726564622E190E26F6DBE9F17131ED83,False
V2_2_NATIVE_TREE,READ_ONLY_DONOR,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V2_2\10_Primary_Structure\parts\FRM_MID2.SLDPRT,90368,C1A1125B6831091985F2A0A3616BA45E883552C69B84B972E9A9937C3E4B4C4D,False
V2_2_NATIVE_TREE,READ_ONLY_DONOR,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V2_2\10_Primary_Structure\parts\FRM_REAR.SLDPRT,90893,D0FA4F0C0274B1B956197443DE101112D32348A75D29FEDEA7860B9AFCA6B786,False
V2_2_NATIVE_TREE,READ_ONLY_DONOR,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V2_2\10_Primary_Structure\parts\GUSSET_1.SLDPRT,77803,441FBB71C53815314B2A1DD503C87F254D790543AA6BC5F64EB6ADEF95B9BB65,False
V2_2_NATIVE_TREE,READ_ONLY_DONOR,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V2_2\10_Primary_Structure\parts\GUSSET_2.SLDPRT,78285,4F2FFC43B903E07D91DFD2303594B0C8551833870954218995CC59143B12D747,False
V2_2_NATIVE_TREE,READ_ONLY_DONOR,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V2_2\10_Primary_Structure\parts\GUSSET_3.SLDPRT,78155,90B661FEB8697F50071F923A56A2234B3F128476E0EB4056EC9CB1D432FD89F5,False
