metric,unit,better,G0,G1,G2,G2_vs_G1_rel_pct,note
case_id,-,-,P1_tc00_v10mm_pose_6d,P1_tc00_v10mm_pose_6d,P2_tc00_v10mm_pose_6d,,G2 = in-bucket pick (same phase/speed/mode as G0)
grasp_point_id,-,-,P1,P1,P2,,
scenario_hash,-,-,29ac905c553bf301,29ac905c553bf301,14f7703dcc7213aa,,
admissible,bool,-,0,0,1,,hard_constraints_v1.yaml screen
base_attitude_change_deg,deg,min,1.6293558036945828,1.6293558036945828,1.6293558036945828,0.0,
post_capture_rate_dps,deg/s,min,3.0550592621042534,3.0550592621042534,1.5670575362053447,-48.706,
Jt_norm_Ns,N s,min,0.3544613808722962,0.3544613808722962,0.9869440879593446,178.435,
E_flex_J,J,min,2.4900520357413217e-05,2.4900520357413217e-05,0.0001556075504643,524.917,
H_RW_Nms,N m s,min,3.6471383214246487,3.6471383214246487,3.9513114065651065,8.34,
m_prop_g,g,min,36.46123605225314,36.46123605225314,39.502120625481,8.34,
manip_sqrt_det_JJT,-,max,0.0065595901489389,0.0065595901489389,0.0065595901489389,0.0,
manip_sigma_min,-,max,0.0695193234457826,0.0695193234457826,0.0695193234457826,0.0,
cond_number,-,min,27.24724388758544,27.24724388758544,27.24724388758544,0.0,
collision_margin_min_m,m,max,0.05465,0.05465,0.05465,0.0,
joint_limit_margin_rad,rad,max,0.6499899320561247,0.6499899320561247,0.6499899320561247,0.0,
severity_proxy,N s eq (PROXY),min,0.4990192816536348,0.4990192816536348,1.8444696609426705,269.619,
mpcs_margin_H,-,max,0.3338560143516623,0.3338560143516623,0.2782992864721266,-16.641,
mpcs_margin_Jthr,-,max,0.3338560143516623,0.3338560143516623,0.2782992864721266,-16.641,
mpcs_margin_Eflex,-,max,0.9750994796425868,0.9750994796425868,0.8443924495356774,-13.404,
mpcs_margin_omega,-,max,-0.5275296310521267,-0.5275296310521267,0.2164712318973276,141.035,
mpcs_margin_theta,-,max,0.9185322098152708,0.9185322098152708,0.9185322098152708,0.0,
M_PCS,-,max,-0.5275296310521267,-0.5275296310521267,0.2164712318973276,141.035,
