file_path,file_type,size_bytes,modified_local,sha256,content_purpose,authority,is_authoritative_truth,is_donor,allowed_to_modify,associated_part_or_link,known_limitations
20_engineering/cad/Space_Embodied_Robot_CAD_V2_2/00_Master_Skeleton/Master_Skeleton_V2_2.SLDPRT,sldprt,160795,2026-07-26T02:09:29.091534+08:00,871743C63DF4AD0AF2B61F91DF16D1850A0A3EA24E3C6B8737C10C3AE5B82656,canonical V2.2 master skeleton,REFERENCE_ONLY,NO,YES,NO,spacecraft skeleton,no physical or load release authority
20_engineering/cad/Space_Embodied_Robot_CAD_V2_2/110_Layout_and_Deployment_01/arm_stow/arm_stow_layout.step,step,2694743,2026-07-26T22:06:15.278056+08:00,539DAE5B45E179A8AA5390F32B91FBB5CC7D2AF32DE11CE4965535AD35878362,stow analysis geometry,ANALYSIS_SCENARIO_ONLY,NO,YES,NO,stow study,not physical qualification
20_engineering/cad/Space_Embodied_Robot_CAD_V2_2/110_Layout_and_Deployment_01/design/state_policy.json,json,2895,2026-07-26T22:02:22.831593+08:00,D45E3693CC41F8988FA85A5454EACDABD6FFCBD7485B07F1FAC70DBE4F3098BF,seven-state policy,STATE_POLICY_REFERENCE,NO,YES,NO,seven named states,PARTIAL and SERVICE have no geometry binding
20_engineering/cad/Space_Embodied_Robot_CAD_V2_2/20_B601_Interface/SV22_B601_Interface.SLDASM,sldasm,78584,2026-07-26T15:20:17.808525+08:00,98BBBCF169B4503FE3413FFE79D1A6C780AADE705B9BC5880232A5376147387B,canonical B601 interface,REFERENCE_ONLY,NO,YES,NO,mount interface,no load-capacity authority
20_engineering/cad/Space_Embodied_Robot_CAD_V2_2/Assembly/Spacecraft_Service_Vehicle_V2_2.SLDASM,sldasm,237979,2026-07-26T16:05:27.139545+08:00,3B55EDB85B460ECBC23EEC55B99FF83506C33E0F4CECDB0375BABC7B0D50CFB9,canonical V2.2 functional-geometry top,FROZEN_REFERENCE_ONLY,NO,YES,NO,spacecraft top,untracked tree; top-only pinned hash; no final full-tree manifest
20_engineering/cad/Space_Embodied_Robot_CAD_V2_2_NATIVE/00_Master_Skeleton/00_Master_Skeleton_V2_2.SLDPRT,sldprt,280052,2026-07-27T16:52:39.498840+08:00,337C930EAB808695045FFE4FE99C45777823C007DE255C2D2C6837B225AFE6CA,native master skeleton,READ_ONLY_NATIVE_DESIGN_PROPOSAL,NO,YES,NO,native skeleton,no physical release authority
20_engineering/cad/Space_Embodied_Robot_CAD_V2_2_NATIVE/02_B601_Mount_and_Load_Path/02_B601_Mount_and_Load_Path.SLDASM,sldasm,93262,2026-07-27T15:26:06.980216+08:00,ADCAA1C11944341DBFC9FDD36D9725B824102B3872A8F4E31EF32F62CC567D15,mount and load-path proposal,READ_ONLY_NATIVE_DESIGN_PROPOSAL,NO,YES,NO,B601 mount,"loads, materials, joints and fasteners unknown"
20_engineering/cad/Space_Embodied_Robot_CAD_V2_2_NATIVE/04_ARM_STOW_SUPPORT/04_ARM_STOW_SUPPORT.SLDASM,sldasm,58587,2026-07-28T00:17:01.334257+08:00,1B64A0ED745C614BF4F74EE74738EF42E253EC16F6F3811348DF224A9AF18392,stow support proposal,READ_ONLY_NATIVE_DESIGN_PROPOSAL,NO,YES,NO,B601 stow support,"HDRM, contact and preload unknown"
20_engineering/cad/Space_Embodied_Robot_CAD_V2_2_NATIVE/Assembly/Space_Embodied_Service_Spacecraft_V2_2.SLDASM,sldasm,705386,2026-07-28T00:55:52.981758+08:00,30C09B50A0D2967EC1F48050CAAC34D12A43565C44978D54E3785595202DEF7A,native V2.2 detailed top,READ_ONLY_NATIVE_DESIGN_PROPOSAL,NO,YES,NO,native spacecraft top,PENDING_HUMAN_REVIEW; all-files manifest is stale
20_engineering/cad/Space_Embodied_Robot_CAD_V2_2_NATIVE/design/b601_stow_joint_vector_v3.json,json,14584,2026-07-27T23:49:56.472667+08:00,56D9CDBFD0EBB16AEFAA85549121F7F0E4534B2220E362873FE443E635ED31DF,stow pose candidate,CANDIDATE_HOLD,NO,YES,NO,accepted joint chain comparator,STOW_Z_LIMIT and interface tracks unresolved
20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,urdf,11321,2026-07-11T15:38:43.439448+08:00,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,accepted B601 kinematic and inertial model,KINEMATIC_AND_MASS_AUTHORITY,YES,NO,NO,10 links / 9 joints,read-only; model mass is not a physical weigh-in; no manufacturing authority
20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/base_link.STL,stl,3898684,2026-06-09T14:22:23.465048+08:00,22641C079014FE968702393F61E7F7F1A8F80C6C1DF45A61E31545F6EAFF3B65,accepted-URDF visual and collision mesh,GEOMETRY_ATTACHED_TO_ACCEPTED_URDF_NOT_KINEMATIC_OR_MASS,NO,NO,NO,base_link,triangulated; visual and collision are identical; no manufacturing authority
20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/gripper_left.STL,stl,2119684,2026-06-09T14:22:23.484562+08:00,C4E0DE70F776B3573D975A6EAAA746CCCBE57C2D5BB12501DA8889979D3AF268,accepted-URDF visual and collision mesh,GEOMETRY_ATTACHED_TO_ACCEPTED_URDF_NOT_KINEMATIC_OR_MASS,NO,NO,NO,gripper_left,triangulated; visual and collision are identical; no manufacturing authority
20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/gripper_link.STL,stl,2676384,2026-06-09T14:22:23.509631+08:00,A826E164D420A6922E8AD5EE27813F39FA809F6E4FDF39B42FD8A59E7D12E847,accepted-URDF visual and collision mesh,GEOMETRY_ATTACHED_TO_ACCEPTED_URDF_NOT_KINEMATIC_OR_MASS,NO,NO,NO,gripper_link,triangulated; visual and collision are identical; no manufacturing authority
20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/gripper_right.STL,stl,2119684,2026-06-09T14:22:23.531294+08:00,615B119C0BB97A032BADD5882144E4A2A50C905A3E071AF1FA28B83BFE9B1B65,accepted-URDF visual and collision mesh,GEOMETRY_ATTACHED_TO_ACCEPTED_URDF_NOT_KINEMATIC_OR_MASS,NO,NO,NO,gripper_right,triangulated; visual and collision are identical; no manufacturing authority
20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link1.STL,stl,499084,2026-06-09T14:22:23.538509+08:00,9DB637A63D37BC2C6398EA5B8BA32FB54122C637D5D77DC134C8782839B654CD,accepted-URDF visual and collision mesh,GEOMETRY_ATTACHED_TO_ACCEPTED_URDF_NOT_KINEMATIC_OR_MASS,NO,NO,NO,link1,triangulated; visual and collision are identical; no manufacturing authority
20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link2.STL,stl,5992184,2026-06-09T14:22:23.598096+08:00,DEF0D9D82343DCCC1EFF0D9D5572ECA49B3C134DB9807CA12302B99D153DF65E,accepted-URDF visual and collision mesh,GEOMETRY_ATTACHED_TO_ACCEPTED_URDF_NOT_KINEMATIC_OR_MASS,NO,NO,NO,link2,triangulated; visual and collision are identical; no manufacturing authority
20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link3.STL,stl,4209984,2026-06-09T14:22:23.635840+08:00,CA14D73B5D63F352051F440F4CABC3989567F25EE9D19E7DD749F2D6F0D0561D,accepted-URDF visual and collision mesh,GEOMETRY_ATTACHED_TO_ACCEPTED_URDF_NOT_KINEMATIC_OR_MASS,NO,NO,NO,link3,triangulated; visual and collision are identical; no manufacturing authority
20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link4.STL,stl,2579684,2026-06-09T14:22:23.662151+08:00,061909364F20BB387F9FF82CB80E506AF959142F9FBB4A39DC86FC8244EE768A,accepted-URDF visual and collision mesh,GEOMETRY_ATTACHED_TO_ACCEPTED_URDF_NOT_KINEMATIC_OR_MASS,NO,NO,NO,link4,triangulated; visual and collision are identical; no manufacturing authority
