owner,instance_count,numeric_coverage_unresolved,full_COM_and_inertia_unresolved_instances,action_ZH,full_physical_ready
B601_DM_COMPLETE,10,0,10,已有整臂 4.5 kg 参考仅计一次；逐 link 质量、COM、惯量需版本匹配厂家数据或辨识；当前运动树须独立绑定，不能平均分摊。,False
COMMUNICATIONS_ANTENNA,1,1,1,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
COVERS_AND_GSE_FRONT_PANEL,16,0,16,质量候选模型已有；可由绑定几何与同一材料模型抽取局部 COM/二阶矩并验证坐标转换，但本次未加载 CAD，完整惯量保持 null。,False
EQUIPMENT_ADCS_PROPULSION_ALLOCATION,3,3,3,将当前 MiPS 包络/支架与最终推进总成精确映射；取得供货型式、干/湿质量、COM/惯量、安装与推进剂状态，未绑定 C-POD 不替换为其质量。,False
EQUIPMENT_ARM_DRIVE,2,2,2,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
EQUIPMENT_BATTERY,2,2,2,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
EQUIPMENT_COMPUTE_COMMUNICATIONS,2,2,2,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
EQUIPMENT_DECKS_AND_ADAPTERS,15,0,15,质量候选模型已有；可由绑定几何与同一材料模型抽取局部 COM/二阶矩并验证坐标转换，但本次未加载 CAD，完整惯量保持 null。,False
EQUIPMENT_NAVIGATION_ELECTRONICS,2,2,2,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
EXTERNAL_EQUIPMENT_BRACKETS,2,0,2,质量候选模型已有；可由绑定几何与同一材料模型抽取局部 COM/二阶矩并验证坐标转换，但本次未加载 CAD，完整惯量保持 null。,False
GSE_POWER_GLAND_AND_NUT,2,2,2,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
GSE_RS422_GLAND_AND_NUT,2,2,2,先冻结实际器件/材料/连接归属，再取厂家质量与完整几何或称量/摆测；旧包络与预算均不得赋实心密度。,False
