sample_index,t_s,joint1_q_rad,joint2_q_rad,joint3_q_rad,joint4_q_rad,joint5_q_rad,joint6_q_rad,joint1_dq_rad_s,joint2_dq_rad_s,joint3_dq_rad_s,joint4_dq_rad_s,joint5_dq_rad_s,joint6_dq_rad_s,joint1_ddq_rad_s2,joint2_ddq_rad_s2,joint3_ddq_rad_s2,joint4_ddq_rad_s2,joint5_ddq_rad_s2,joint6_ddq_rad_s2,segment_id,candidate_state,authority_class,released_for_mission_gate
0,0,2.540711,-2.932153,-0.994838,-0.718081,-0.365716,-0.05236,-0,0,-0,-0,-0,0,-0,0,-0,-0,-0,0,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
1,0.01,2.540710973001423,-2.932152994498788,-0.9948380072203389,-0.7180810021611761,-0.3657160010367528,-0.0523599996561734,-8.09604930438095e-06,1.649645755957506e-06,-2.16515931627435e-06,-6.480707582183239e-07,-3.108905207563985e-07,1.031031058873028e-07,-0.001617800626880649,0.0003296420065864607,-0.000432654986089287,-0.0001295013455934962,-6.212398917812804e-05,2.060267459680132e-05,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
2,0.02,2.540710784293184,-2.932152956047719,-0.994838057687349,-0.7180810172668513,-0.3657160082832011,-0.05235999725297588,-3.23278523874497e-05,6.587102237793852e-06,-8.645568738563993e-06,-2.58777275441834e-06,-1.241398426048581e-06,4.11694872708928e-07,-0.003227153208712313,0.0006575626449923131,-0.0008630506772120503,-0.0002583264439515173,-0.0001239235711020622,4.109776342547313e-05,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
3,0.03,2.540710272939902,-2.932152851854706,-0.9948381944406322,-0.7180810581995454,-0.3657160279193078,-0.05235999074089701,-7.261100238795897e-05,1.47951707581993e-05,-1.941865499747343e-05,-5.812349406900658e-06,-2.78828246918177e-06,9.247003799418393e-07,-0.004828072463343509,0.0009837649141168268,-0.001291191009422239,-0.0003864764732051354,-0.0001853993109412349,6.148545391766722e-05,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
4,0.04,2.540709278849529,-2.932152649299496,-0.9948384602942543,-0.718081137774271,-0.3657160660926516,-0.05235997808116618,-0.0001288612396231467,2.625668261885683e-05,-3.446188418414668e-05,-1.031505591527661e-05,-4.948307055155515e-06,1.641046581379519e-06,-0.006420573108622756,0.001308251812859271,-0.001717079918773801,-0.0005139526114854229,-0.0002465517738650784,8.176593350503538e-05,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
5,0.05,2.540707642771877,-2.932152315933375,-0.9948388978371393,-0.7180812687386517,-0.3657161289184836,-0.05235995724573386,-0.000200994451588736,4.095449911044206e-05,-5.375276175026719e-05,-1.608915926046826e-05,-7.718242240663683e-06,2.559662305131967e-06,-0.008004669862398568,0.001631026340118915,-0.002140721341320684,-0.0006407560369234518,-0.0003073815250430252,0.0001019393896192294,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
6,0.06,2.540705206297149,-2.932151819478864,-0.9948395494334622,-0.7180814637730402,-0.3657162224797835,-0.05235992621725287,-0.000288926672958935,5.887151151262335e-05,-7.726883250805793e-05,-2.312793820470836e-05,-1.109486373409447e-05,3.679478253625699e-06,-0.009580377442519468,0.001952091494795029,-0.00256211921311684,-0.000766887927650295,-0.0003678891296445079,0.0001220060096919011,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
7,0.07000000000000001,2.540701811854463,-2.932151127829424,-0.994840457223043,-0.718081735490635,-0.3657163528273165,-0.05235988298905965,-0.0003925740855864374,7.999064109406179e-05,-0.0001049876806302814,-3.142468329154044e-05,-1.50749528955304e-05,4.999427003603756e-06,-0.01114771056683397,0.002271450275786882,-0.002981277470216215,-0.0008923494617970241,-0.0004280751528389586,0.0001419659811547023,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
8,0.08,2.540697302710386,-2.932150209049151,-0.9948416631217402,-0.7180820964375996,-0.3657165259796897,-0.0523598255651555,-0.0005118530185024214,0.000104294839112411,-0.0001368869296502395,-4.097269684581871e-05,-1.965529673674831e-05,6.518443006125683e-06,-0.01270668395319059,0.002589105681993741,-0.003398200048672757,-0.001017141817494711,-0.0004879401597958097,0.0001618194914392847,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
9,0.09,2.540691522967454,-2.93214903137248,-0.9948432088218443,-0.7180825590931792,-0.3657167479234085,-0.05235975196018781,-0.000646679947916551,0.0001317670868143175,-0.0001729442424617735,-5.176529297370808e-05,-2.483268792121936e-05,8.235462586567555e-06,-0.01425731231943784,0.002905060712314878,-0.003812890884540416,-0.001141266172874429,-0.0005474847156844936,0.0001815667279773001,M01,HELD_STOW_QSPACE_ONLY,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
