verification_id,gate_layer,object,method,entry_evidence,exit_criterion,current_state,fail_closed_action
RC-V01,DETAILED_DESIGN_START,Owner authority,inspection,hashed ODR-42 decision request,independent signed decision references request hash,HOLD,Do not create geometry
RC-V02,DETAILED_DESIGN_START,accepted URDF integrity,SHA-256 comparison,pinned accepted URDF,actual hash equals 1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,PLANNED,Reject candidate and restore separate namespace
RC-V03,DETAILED_DESIGN_START,Solar R2 integrity,SHA-256 comparison,pinned Solar R2 STEP,actual hash equals 21FF77B882DBFAB87B3E77DD56817EFC7F321C68E30AFEDCDDBB4D79B9915795,PLANNED,Reject candidate and restore separate namespace
RC-V04,DETAILED_DESIGN_START,minimum product/interface definition,document and source audit,electrical/mechanical input register,controlled bundle OD bend limit conductor/connector definition installation interfaces and life target with units and provenance,UNKNOWN,Remain HOLD before C2
RC-V05,C2_DESIGN,J1 storage mechanism,STEP inspection plus bounded isolated-joint screening,approved minimum inputs and CAD source,closed solids named datums controlled tangencies and a kinematically evaluable non-release candidate; exact coupled margins remain C4,NOT_AUTHORIZED,Return to C2 design
RC-V06,C2_DESIGN,J2/J3 guided motion,STEP inspection plus bounded isolated-joint screening,approved minimum inputs and CAD source,parent-child guide motion closes kinematically as a non-release candidate; exact clearance bend pinch and snag margins remain C4,NOT_AUTHORIZED,Return to C2 design
RC-V07,C2_DESIGN,J4 trade,weighted packaging and mechanism trade,packaging and product inputs,one architecture selected for candidate implementation with rationale; release evidence remains C4,UNKNOWN,Retain both as unselected concepts
RC-V08,C2_DESIGN,J5/J6 wrist wraps,STEP inspection plus bounded isolated-joint screening,approved minimum inputs and CAD source,closed fixed-curvature paths form kinematically evaluable non-release candidates; exact coupled margins remain C4,NOT_AUTHORIZED,Return to C2 design
RC-V09,DOWNSTREAM_RELEASE,mission trajectory authority,authority and continuity audit,eight named trajectory definitions,8/8 segments released continuous and hash pinned,UNKNOWN_0_OF_8,Do not claim mission coverage
RC-V10,DOWNSTREAM_RELEASE,coupled harness predicate,independent recomputation,8/8 released trajectories and controlled geometry,all samples SAFE with nonempty comparison sets and positive margins,NOT_AUTHORIZED,UNKNOWN or UNSAFE and return to C2/C3
RC-V11,DOWNSTREAM_RELEASE,full hardware range,exact coupled sweep,explicit Owner requirement plus mission-first PASS,all declared hardware range samples SAFE,NOT_REQUIRED_UNLESS_CLAIMED,Do not make full-range claim
RC-V12,DOWNSTREAM_RELEASE,mass CG inertia,metrology and uncertainty propagation,controlled BOM materials dimensions and correlations,released estimate unit uncertainty provenance and nine-configuration receipts,UNKNOWN,Do not update SSOT or dynamics
RC-V13,DOWNSTREAM_RELEASE,restoring torque,joint/load test plus uncertainty propagation,representative dress pack and temperature/rate matrix,curves and upper bounds satisfy joint load budgets,UNKNOWN,Do not authorize hardware motion or production dynamics
RC-V14,DOWNSTREAM_RELEASE,abrasion particulate and installation,inspection plus test planning,controlled materials routes and workmanship process,approved acceptance criteria and post-install inspection/electrical test,UNKNOWN,Remain HOLD
RC-V15,DOWNSTREAM_RELEASE,thermal-vacuum and flex life,qualification plan and test,controlled article environment cycles rates and loads,approved plan then successful evidence at required life margin,UNKNOWN,Remain HOLD
RC-V16,DOWNSTREAM_RELEASE,mechanical-to-embodied handoff,runtime consumer negative controls,all upstream release evidence and V2+ interface,runtime harness gate denies UNKNOWN/UNSAFE and all hashes bind current Route-C release,NOT_AUTHORIZED,Keep consumers on diagnostic-only or ABORT
RC-V17,DOWNSTREAM_RELEASE,independent validation,hash and semantic audit,complete candidate package,zero HIGH/CRITICAL open findings and reproducible manifest,PLANNED,Reject release
