chain_id,row_kind,item,unit,nominal,allocated_value,allocation_class,standard_or_basis,requirement_limit,wc_value,wc_margin,wc_pass,rss_standard_uncertainty,rss_k3_bound,rss_k3_pass,status
M7-TC-01,FUNCTIONAL_CHECK,minimum_radial_clearance,mm,,,INTERFACE_PASS_THROUGH_DESIGN_FLOOR,four HM4-75 axes must pass Stage A holes and counterbores at WC; 0.05 mm design assembly guard (burr/coating/insertion),0.05,0.101015357,0.051015357,True,0.062320606,0.118038182,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-01,FUNCTIONAL_CHECK,mounting_tilt,rad,,,DESIGN_ALLOCATED_REQUIREMENT,keeps flange face contact within flatness budget over 64 mm pattern span,0.0015,0.00078125,0.00071875,True,0.000451055,0.001353165,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-01,FEATURE_ALLOCATION,STAGE_A_CLEARANCE_HOLE_4P6,mm,4.6,ISO286_H7,CANDIDATE_FIT_ISO286_H7,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-01,FEATURE_ALLOCATION,M4_FASTENER_MAJOR_DIAMETER_PROXY,mm,4.0,ISO286_h6_ON_4P000_MAJOR,CANDIDATE_FIT_ISO286_H6_THREAD_MAJOR_PROXY,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-01,FEATURE_ALLOCATION,B601_AXIS_POSITION,mm,,0.05,PROCESS_CAP_ASSUMED,as-built axis verification bound,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-01,FEATURE_ALLOCATION,STAGE_A_HOLE_POSITION,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-01,FEATURE_ALLOCATION,DATUM_SHIFT,mm,,0.02,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-01,FEATURE_ALLOCATION,PATTERN_CLOCKING,deg,,0.1,PROCESS_CAP_ASSUMED,arc 0.078984643 mm at measured PCD radius 45.254820886 mm,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-01,FEATURE_ALLOCATION,MOUNT_FACE_FLATNESS,mm,,0.05,PROCESS_CAP_ASSUMED,over 64 mm pattern span,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-02,FUNCTIONAL_CHECK,spigot_minimum_radial_clearance_after_coaxiality,mm,,,INTERFACE_PASS_THROUGH_DESIGN_FLOOR,central radial location without galling during Stage A/B assembly; 0.10 mm anti-fretting design floor,0.1,0.181,0.081,True,0.005966923,0.177349232,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-02,FUNCTIONAL_CHECK,axial_seating_gap,mm,,,DESIGN_ALLOCATED_REQUIREMENT,"annular face preload-seat window; negative gap = controlled axial interference (preload seat), positive = residual gap; both bounded",0.2,0.16,0.04,True,0.045460606,0.136381817,True,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-02,FEATURE_ALLOCATION,STAGE_B_RECEIVING_BORE_100P0,mm,100.0,ISO286_H7,CANDIDATE_FIT_ISO286_H7,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-02,FEATURE_ALLOCATION,STAGE_A_SPIGOT_99P6,mm,99.6,ISO286_g6,CANDIDATE_FIT_ISO286_G6,ISO 286-2,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-02,FEATURE_ALLOCATION,SPIGOT_COAXIALITY,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
M7-TC-02,FEATURE_ALLOCATION,STAGE_A_RECESS_DEPTH_5P595,mm,,0.05,PROCESS_CAP_ASSUMED,,,,,,,,,FUNCTIONALLY_CLOSED_ANALYTIC
