solid,assigned_body,volume_mm3,faces,s_on_jaw_axis_mm,u_min_mm,u_max_mm,urdf_enclosure_best,urdf_enclosure_score
B51_REF_gripper_detail_LINKLOCAL057,gripper_link,151639.467,2362,-0.0074,-133.1061,133.0913,gripper_left,"{""gripper_link"": 0, ""gripper_left"": 1, ""gripper_right"": 1}"
B51_REF_gripper_detail_LINKLOCAL054,gripper_link,43335.706,87,-0.0072,-103.5329,103.5185,,"{""gripper_link"": 0, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL055,gripper_left,22535.34,76,15.6538,-24.8586,56.1662,,"{""gripper_link"": 0, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL056,gripper_right,22535.34,76,-15.6687,-56.1811,24.8437,,"{""gripper_link"": 0, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL048,gripper_right,10223.294,26,-18.2573,-38.1753,1.6607,gripper_link,"{""gripper_link"": 1, ""gripper_left"": 0, ""gripper_right"": 1}"
B51_REF_gripper_detail_LINKLOCAL052,gripper_left,10223.294,26,18.2427,-1.6753,38.1606,gripper_left,"{""gripper_link"": 0, ""gripper_left"": 1, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL012,gripper_link,8226.43,65,-0.0073,-87.497,87.4824,gripper_link,"{""gripper_link"": 4, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL050,gripper_link,8187.262,84,-0.0072,-89.299,89.2846,gripper_link,"{""gripper_link"": 1, ""gripper_left"": 0, ""gripper_right"": 0}"
B51_REF_gripper_detail_LINKLOCAL049,gripper_left,5588.088,230,13.6425,-33.6553,60.9404,gripper_link,"{""gripper_link"": 2, ""gripper_left"": 0, ""gripper_right"": 1}"
B51_REF_gripper_detail_LINKLOCAL053,gripper_right,5588.088,230,-13.657,-60.9549,33.6408,gripper_left,"{""gripper_link"": 0, ""gripper_left"": 1, ""gripper_right"": 0}"
