case_id,grasp_point_id,capture_phase_s,closure_speed_mps,task_mode,alpha,initial_linear_impulse_Ns,initial_angular_impulse_Nms,post_capture_rate_dps,post_capture_rate_limit_dps,wheel_momentum_required_Nms,propellant_required_g,terminal_joint_speed_max_radps,terminal_base_rate_dps,core_margin,classification,binding_constraint,flex_state,safe_claim_permitted,campaign_pareto_layer,campaign_rank,normalized_initial_impulse_objective,strict_low_impulse_pareto,source_id
P1_tc00_v05mm_pose_6d_a1p0,P1,0.0,0.005,pose_6d,1.0,0.010326314858069695,0.00042838878796312013,3.0594548422852808,2.0,3.6776839106826817,36.76660696010982,0.48150854145159533,2.783439682280978,-0.5297274211426404,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,1,1,0.1191462118857515,true,sync_cases
P1_tc00_v05mm_pose_6d_a0p8,P1,0.0,0.005,pose_6d,0.8,0.0166097054148255,0.0017513849730412185,3.0594548422842913,2.0,3.6776839106825676,36.766606960108675,0.38520474272577415,2.2318431825223297,-0.5297274211421457,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,1,2,0.2301923401544852,false,sync_cases
P1_tc00_v05mm_pose_6d_a0p0,P1,0.0,0.005,pose_6d,0.0,0.059808770098926406,0.009025690375601941,3.0594548422803376,2.0,3.6776839106821124,36.76660696010412,0.03028807152810185,0.059480035253912544,-0.5297274211401688,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,1,3,0.9739330916505067,false,sync_cases
P1_tc00_v10mm_pose_6d_a0p0,P1,0.0,0.01,pose_6d,0.0,0.06393107900083668,0.008928476772660253,3.0594548422803314,2.0,3.6776839106820747,36.76660696010374,0.0605761430562037,0.11896007050782509,-0.5297274211401657,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,1,4,1.0,false,sync_cases
P1_tc00_v20mm_pose_6d_a0p0,P1,0.0,0.02,pose_6d,0.0,0.0758100738452954,0.008793635235171467,3.059454842280319,2.0,3.6776839106819974,36.766606960102976,0.1211522861124074,0.23792014101565018,-0.5297274211401595,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,1,5,1.0899924700733115,false,sync_cases
P1_tc00_v05mm_approach_5d_a1p0,P1,0.0,0.005,approach_5d,1.0,0.010326319839191831,0.00042852744028910433,3.0594587366443897,2.0,3.67768391068272,36.7666069601102,0.48148889681617235,2.7834036858045588,-0.5297293683221949,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,1,6,0.11914939196325193,false,sync_cases
P1_tc00_v05mm_approach_5d_a0p8,P1,0.0,0.005,approach_5d,0.8,0.016609435903875223,0.001752136673095548,3.0594587366443893,2.0,3.67768391068272,36.7666069601102,0.38518914943781946,2.2318129823569843,-0.5297293683221946,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,1,7,0.23022583802719684,false,sync_cases
P1_tc00_v05mm_approach_5d_a0p0,P1,0.0,0.005,approach_5d,0.0,0.05980717698209429,0.009029068746914705,3.0594587366443884,2.0,3.677683910682719,36.766606960110195,0.03028800723144234,0.05946665003961436,-0.5297293683221942,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,1,8,0.9741175123481091,false,sync_cases
P1_tc00_v10mm_approach_5d_a0p0,P1,0.0,0.01,approach_5d,0.0,0.06392952116348657,0.00893193975481706,3.0594587366443884,2.0,3.677683910682719,36.766606960110195,0.06057601446288468,0.11893330007922873,-0.5297293683221942,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,1,9,1.0001817665692554,false,sync_cases
P1_tc00_v20mm_approach_5d_a0p0,P1,0.0,0.02,approach_5d,0.0,0.07580865042968811,0.008797288961976004,3.0594587366443893,2.0,3.67768391068272,36.7666069601102,0.12115202892576936,0.23786660015845745,-0.5297293683221946,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,1,10,1.090165266570866,false,sync_cases
P1_tc00_v10mm_pose_6d_a1p0,P1,0.0,0.01,pose_6d,1.0,0.020652629716139407,0.0008567775759262481,3.0594548422852745,2.0,3.677683910682644,36.766606960109435,0.4814980892740852,2.8092826410539997,-0.5297274211426373,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,2,11,0.2382924237715034,false,sync_cases
P1_tc00_v10mm_pose_6d_a0p8,P1,0.0,0.01,pose_6d,0.8,0.025175777222867603,0.0017772766124890763,3.059454842284286,2.0,3.6776839106825308,36.766606960108305,0.38519429054826415,2.258068358148711,-0.529727421142143,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,2,12,0.31200856975338664,false,sync_cases
P1_tc00_v10mm_approach_5d_a1p0,P1,0.0,0.01,approach_5d,1.0,0.02065263967838367,0.0008570548805782106,3.0594587366443897,2.0,3.67768391068272,36.7666069601102,0.4814790567405801,2.809239470703116,-0.5297293683221949,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,2,13,0.238298783926504,false,sync_cases
P1_tc00_v10mm_approach_5d_a0p8,P1,0.0,0.01,approach_5d,0.8,0.025175570062682846,0.0017781456159814352,3.0594587366443897,2.0,3.67768391068272,36.7666069601102,0.3851793093622272,2.258030827553528,-0.5297293683221949,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,2,14,0.31203757852332614,false,sync_cases
P1_tc00_v20mm_pose_6d_a1p0,P1,0.0,0.02,pose_6d,1.0,0.04130525943227881,0.0017135551518525,3.059454842285261,2.0,3.677683910682567,36.766606960108675,0.481477184919065,2.8639764645946366,-0.5297274211426306,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,3,15,0.4765848475430068,false,sync_cases
P1_tc00_v20mm_pose_6d_a0p8,P1,0.0,0.02,pose_6d,0.8,0.04460371419153071,0.002107733272078768,3.0594548422842727,2.0,3.6776839106824526,36.766606960107524,0.385173386193244,2.314216367377362,-0.5297274211421363,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,3,16,0.5208127635795923,false,sync_cases
P1_tc00_v20mm_approach_5d_a1p0,P1,0.0,0.02,approach_5d,1.0,0.04130527935676732,0.0017141097611564134,3.0594587366443897,2.0,3.67768391068272,36.7666069601102,0.48145937658939547,2.863917727479224,-0.5297293683221949,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,3,17,0.4765975678530076,false,sync_cases
P1_tc00_v20mm_approach_5d_a0p8,P1,0.0,0.02,approach_5d,0.8,0.04460357104964803,0.002108851406565599,3.0594587366443893,2.0,3.67768391068272,36.7666069601102,0.3851596292110426,2.3141626937001343,-0.5297293683221946,CORE_UNSAFE,POST_CAPTURE_RATE_EXCEED,UNKNOWN_NOT_RUN,false,3,18,0.5208396527461483,false,sync_cases
