t_s,q1_deg,q2_deg,base_theta_deg,base_omega_dps,H_reaction_kgm2ps,ee_x_m,ee_z_m,clearance_min_m
0.0000,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.73525,0.00000,0.56525
0.0120,0.00000,-0.00000,-0.00000,-0.00012,-0.00000,0.73525,-0.00000,0.56525
0.0240,0.00002,-0.00001,-0.00001,-0.00046,-0.00000,0.73525,0.00000,0.56525
0.0360,0.00005,-0.00004,-0.00002,-0.00104,-0.00001,0.73525,0.00000,0.56525
0.0480,0.00013,-0.00009,-0.00004,-0.00184,-0.00001,0.73525,0.00000,0.56525
0.0600,0.00025,-0.00017,-0.00008,-0.00287,-0.00002,0.73525,0.00000,0.56525
0.0720,0.00043,-0.00029,-0.00013,-0.00411,-0.00003,0.73525,0.00000,0.56525
0.0840,0.00068,-0.00046,-0.00019,-0.00558,-0.00004,0.73525,0.00000,0.56525
0.0960,0.00102,-0.00068,-0.00028,-0.00727,-0.00005,0.73525,0.00000,0.56525
0.1081,0.00145,-0.00097,-0.00039,-0.00917,-0.00006,0.73525,0.00000,0.56525
0.1201,0.00198,-0.00132,-0.00053,-0.01129,-0.00007,0.73525,0.00001,0.56525
0.1321,0.00263,-0.00176,-0.00069,-0.01362,-0.00009,0.73525,0.00001,0.56525
0.1441,0.00341,-0.00227,-0.00088,-0.01616,-0.00010,0.73525,0.00001,0.56525
0.1561,0.00433,-0.00288,-0.00111,-0.01890,-0.00012,0.73525,0.00001,0.56525
0.1681,0.00539,-0.00359,-0.00137,-0.02186,-0.00014,0.73525,0.00002,0.56525
0.1801,0.00662,-0.00441,-0.00167,-0.02501,-0.00016,0.73525,0.00002,0.56525
0.1921,0.00801,-0.00534,-0.00201,-0.02837,-0.00018,0.73525,0.00003,0.56525
0.2041,0.00959,-0.00639,-0.00240,-0.03193,-0.00020,0.73525,0.00003,0.56525
0.2161,0.01135,-0.00757,-0.00282,-0.03569,-0.00023,0.73525,0.00004,0.56525
0.2281,0.01332,-0.00888,-0.00330,-0.03964,-0.00025,0.73525,0.00005,0.56525
0.2401,0.01550,-0.01034,-0.00383,-0.04379,-0.00028,0.73525,0.00005,0.56525
0.2521,0.01790,-0.01194,-0.00440,-0.04812,-0.00031,0.73525,0.00006,0.56525
0.2641,0.02054,-0.01369,-0.00504,-0.05265,-0.00034,0.73525,0.00007,0.56525
0.2761,0.02342,-0.01561,-0.00573,-0.05737,-0.00037,0.73525,0.00008,0.56525
0.2881,0.02654,-0.01770,-0.00647,-0.06227,-0.00040,0.73525,0.00009,0.56525
0.3002,0.02993,-0.01995,-0.00728,-0.06736,-0.00043,0.73525,0.00011,0.56525
0.3122,0.03359,-0.02239,-0.00815,-0.07263,-0.00046,0.73525,0.00012,0.56525
