part,kind,qty,material,volume_mm3,mass_g,dimensions_mm,note,dimension_source
G07_PRIMARY_SUPPORT_V2,support body,1,Al7075-T6,42309.16,118.889,"{""head_width_x_mm"": 54.0, ""head_width_y_mm"": 54.0, ""head_height_mm"": 12.0, ""head_top_z_mm"": 252.5016, ""head_bottom_z_mm"": 240.5016, ""flare_height_mm"": 26.0, ""flare_bottom_z_mm"": 214.5016, ""foot_x_mm"": 20.0, ""foot_y_mm"": 60.0, ""foot_station_unchanged"": true, ""ribs"": ""2 triangular ribs per flared side, 5 mm thick, full flare height"", ""pad_carrier_top_z_mm"": 258.5016, ""pad_face_z_mm"": 261.5016, ""spring_stack_height_mm"": 6.0}",wide head + flared transition + twin ribs onto the existing 20 mm tower foot,counter-face search + P5B pad size
G07_PAD_CARRIER,pad carrier,1,Al6061-T6,6998.4,18.896,"{""x"": 54.0, ""y"": 54.0, ""t"": 4.0, ""lip_mm"": 2.0}",removable carrier holding the pad; lip provides anti-slip retention,pad size + lip rule
G07_DISC_SPRING_PAIR,disc spring,2,spring steel,2185.18,34.307,"{""D"": 50.0, ""d"": 25.4, ""t"": 1.5, ""arrangement"": ""paired, facing""}",P5B ratified; nominal 10 N/mm after 50 N preload,F3_P5B_PAD_COMPETITION_SPECIFICATION.md
G07_PTFE_PAD,contact pad,1,PTFE 25% GF,7500.0,16.5,"{""x"": 50, ""y"": 50, ""t"": 3, ""Ra"": 0.8}",P5B ratified,P5B
G07_LOCATING_PIN,dowel pin,2,Ti-6Al-4V,70.69,0.626,"{""d"": 3.0, ""l"": 10.0}",repeatable station on the deck,standard 3 mm dowel
G07_SCREW_M3x12,socket cap screw,4,A2-70 steel,84.82,2.663,"{""thread"": ""M3x0.5"", ""l"": 12.0, ""torque_Nm"": 1.3}",head to tower foot,P5D fastening convention
G08_PRIMARY_SUPPORT_V2,support body,1,Al7075-T6,20667.56,58.076,"{""head_width_x_mm"": 34.0, ""head_width_y_mm"": 34.0, ""head_height_mm"": 12.0, ""head_top_z_mm"": 206.4929, ""head_bottom_z_mm"": 194.4929, ""flare_height_mm"": 26.0, ""flare_bottom_z_mm"": 168.4929, ""foot_x_mm"": 20.0, ""foot_y_mm"": 60.0, ""foot_station_unchanged"": true, ""ribs"": ""2 triangular ribs per flared side, 5 mm thick, full flare height"", ""pad_carrier_top_z_mm"": 206.4929, ""pad_face_z_mm"": 208.4929, ""spring_stack_height_mm"": 0.0}",wide head + flared transition + twin ribs onto the existing 20 mm tower foot,counter-face search + P5B pad size
G08_PAD_CARRIER,pad carrier,1,Al6061-T6,2774.4,7.491,"{""x"": 34.0, ""y"": 34.0, ""t"": 4.0, ""lip_mm"": 2.0}",removable carrier holding the pad; lip provides anti-slip retention,pad size + lip rule
G08_VMQ_PAD,contact pad,1,VMQ 60A,1800.0,2.25,"{""x"": 30, ""y"": 30, ""t"": 2, ""Ra"": 0.8}",P5B ratified,P5B
G08_LOCATING_PIN,dowel pin,2,Ti-6Al-4V,70.69,0.626,"{""d"": 3.0, ""l"": 10.0}",repeatable station on the deck,standard 3 mm dowel
G08_SCREW_M3x12,socket cap screw,4,A2-70 steel,84.82,2.663,"{""thread"": ""M3x0.5"", ""l"": 12.0, ""torque_Nm"": 1.3}",head to tower foot,P5D fastening convention
MID_BACKUP_SUPPORT_V2,support body,1,Al7075-T6,20808.49,58.472,"{""head_width_x_mm"": 34.0, ""head_width_y_mm"": 34.41, ""head_height_mm"": 12.0, ""head_top_z_mm"": 209.9189, ""head_bottom_z_mm"": 197.9189, ""flare_height_mm"": 26.0, ""flare_bottom_z_mm"": 171.9189, ""foot_x_mm"": 20.0, ""foot_y_mm"": 60.0, ""foot_station_unchanged"": true, ""ribs"": ""2 triangular ribs per flared side, 5 mm thick, full flare height"", ""pad_carrier_top_z_mm"": 209.9189, ""pad_face_z_mm"": 212.9189, ""spring_stack_height_mm"": 0.0}",wide head + flared transition + twin ribs onto the existing 20 mm tower foot,counter-face search + P5B pad size
MID_PAD_CARRIER,pad carrier,1,Al6061-T6,2774.4,7.491,"{""x"": 34.0, ""y"": 34.41, ""t"": 4.0, ""lip_mm"": 2.0}",removable carrier holding the pad; lip provides anti-slip retention,pad size + lip rule
MID_VESPEL_PAD,backup pad,1,Vespel SP-1,2700.0,3.861,"{""x"": 30, ""y"": 30, ""t"": 3}","backup only, no nominal contact",F3R2 G3-D
MID_LOCATING_PIN,dowel pin,2,Ti-6Al-4V,70.69,0.626,"{""d"": 3.0, ""l"": 10.0}",repeatable station on the deck,standard 3 mm dowel
MID_SCREW_M3x12,socket cap screw,4,A2-70 steel,84.82,2.663,"{""thread"": ""M3x0.5"", ""l"": 12.0, ""torque_Nm"": 1.3}",head to tower foot,P5D fastening convention
