pair_id,layer,A_part,B_part,hole_axis_S,axis_point_S_mm,datum,units,diameter_mm,stackup_sequence_mm,nominal_grip_mm,measured_grip_mm,coaxial_deviation_mm,parallelism_deviation,fastener_instance,fastener_candidate,direction,consistency_ok
DA_lower_s-1_x-150,deck_to_angle,lower_equipment_deck,lower_deck_angle_-1_0,0/0/1,"[-150, -92.65, ""through""]",S (bus_geometric_center),mm,3.4,lower_deck_angle_-1_0:2.995 + lower_equipment_deck:2.995,6,5.99,0.0,0.0,lower_deck_fastener_-1_-150,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_lower_s-1_x-50,deck_to_angle,lower_equipment_deck,lower_deck_angle_-1_0,0/0/1,"[-50, -92.65, ""through""]",S (bus_geometric_center),mm,3.4,lower_deck_angle_-1_0:2.995 + lower_equipment_deck:2.995,6,5.99,0.0,0.0,lower_deck_fastener_-1_-50,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_lower_s-1_x50,deck_to_angle,lower_equipment_deck,lower_deck_angle_-1_1,0/0/1,"[50, -92.65, ""through""]",S (bus_geometric_center),mm,3.4,lower_deck_angle_-1_1:2.995 + lower_equipment_deck:3.0,6,5.995,0.0,0.0,lower_deck_fastener_-1_50,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_lower_s-1_x140,deck_to_angle,lower_equipment_deck,lower_deck_angle_-1_1,0/0/1,"[140, -92.65, ""through""]",S (bus_geometric_center),mm,3.4,lower_deck_angle_-1_1:2.995 + lower_equipment_deck:3.0,6,5.995,0.0,0.0,lower_deck_fastener_-1_140,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_lower_s+1_x-150,deck_to_angle,lower_equipment_deck,lower_deck_angle_1_0,0/0/1,"[-150, 92.65, ""through""]",S (bus_geometric_center),mm,3.4,lower_deck_angle_1_0:2.995 + lower_equipment_deck:3.0,6,5.995,0.0,0.0,lower_deck_fastener_1_-150,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_lower_s+1_x-50,deck_to_angle,lower_equipment_deck,lower_deck_angle_1_0,0/0/1,"[-50, 92.65, ""through""]",S (bus_geometric_center),mm,3.4,lower_deck_angle_1_0:2.995 + lower_equipment_deck:3.0,6,5.995,0.0,0.0,lower_deck_fastener_1_-50,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_lower_s+1_x50,deck_to_angle,lower_equipment_deck,lower_deck_angle_1_1,0/0/1,"[50, 92.65, ""through""]",S (bus_geometric_center),mm,3.4,lower_deck_angle_1_1:2.995 + lower_equipment_deck:3.0,6,5.995,0.0,0.0,lower_deck_fastener_1_50,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_lower_s+1_x140,deck_to_angle,lower_equipment_deck,lower_deck_angle_1_1,0/0/1,"[140, 92.65, ""through""]",S (bus_geometric_center),mm,3.4,lower_deck_angle_1_1:2.995 + lower_equipment_deck:3.0,6,5.995,0.0,0.0,lower_deck_fastener_1_140,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_upper_s-1_x-150,deck_to_angle,upper_equipment_deck,upper_deck_angle_-1_0,0/0/1,"[-150, -92.65, ""through""]",S (bus_geometric_center),mm,3.4,upper_deck_angle_-1_0:2.995 + upper_equipment_deck:2.995,6,5.99,0.0,0.0,upper_deck_fastener_-1_-150,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_upper_s-1_x-50,deck_to_angle,upper_equipment_deck,upper_deck_angle_-1_0,0/0/1,"[-50, -92.65, ""through""]",S (bus_geometric_center),mm,3.4,upper_deck_angle_-1_0:2.995 + upper_equipment_deck:2.995,6,5.99,0.0,0.0,upper_deck_fastener_-1_-50,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_upper_s-1_x50,deck_to_angle,upper_equipment_deck,upper_deck_angle_-1_1,0/0/1,"[50, -92.65, ""through""]",S (bus_geometric_center),mm,3.4,upper_deck_angle_-1_1:2.995 + upper_equipment_deck:2.995,6,5.99,0.0,0.0,upper_deck_fastener_-1_50,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_upper_s-1_x140,deck_to_angle,upper_equipment_deck,upper_deck_angle_-1_1,0/0/1,"[140, -92.65, ""through""]",S (bus_geometric_center),mm,3.4,upper_deck_angle_-1_1:2.995 + upper_equipment_deck:2.995,6,5.99,0.0,0.0,upper_deck_fastener_-1_140,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_upper_s+1_x-150,deck_to_angle,upper_equipment_deck,upper_deck_angle_1_0,0/0/1,"[-150, 92.65, ""through""]",S (bus_geometric_center),mm,3.4,upper_deck_angle_1_0:2.995 + upper_equipment_deck:2.995,6,5.99,0.0,0.0,upper_deck_fastener_1_-150,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_upper_s+1_x-50,deck_to_angle,upper_equipment_deck,upper_deck_angle_1_0,0/0/1,"[-50, 92.65, ""through""]",S (bus_geometric_center),mm,3.4,upper_deck_angle_1_0:2.995 + upper_equipment_deck:2.995,6,5.99,0.0,0.0,upper_deck_fastener_1_-50,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_upper_s+1_x50,deck_to_angle,upper_equipment_deck,upper_deck_angle_1_1,0/0/1,"[50, 92.65, ""through""]",S (bus_geometric_center),mm,3.4,upper_deck_angle_1_1:2.995 + upper_equipment_deck:2.995,6,5.99,0.0,0.0,upper_deck_fastener_1_50,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
DA_upper_s+1_x140,deck_to_angle,upper_equipment_deck,upper_deck_angle_1_1,0/0/1,"[140, 92.65, ""through""]",S (bus_geometric_center),mm,3.4,upper_deck_angle_1_1:2.995 + upper_equipment_deck:2.995,6,5.99,0.0,0.0,upper_deck_fastener_1_140,M3x12_THREADLESS_ENVELOPE_NOT_SELECTED,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,True
AW_lower_s-1_seg0_x-130,angle_to_shear_web,lower_deck_angle_-1_0,shear_web_-1,0/1/0,"[-130, ""through"", -94.15]",S (bus_geometric_center),mm,3.4,lower_deck_angle_-1_0:2.995 + shear_web_-1:2.0,5,4.995,0.0,0.0,lower_angle_web_fastener_-1_0_-130,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
AW_lower_s-1_seg0_x-70,angle_to_shear_web,lower_deck_angle_-1_0,shear_web_-1,0/1/0,"[-70, ""through"", -94.15]",S (bus_geometric_center),mm,3.4,lower_deck_angle_-1_0:2.995 + shear_web_-1:2.0,5,4.995,0.0,0.0,lower_angle_web_fastener_-1_0_-70,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
AW_lower_s-1_seg1_x60,angle_to_shear_web,lower_deck_angle_-1_1,shear_web_-1,0/1/0,"[60, ""through"", -94.15]",S (bus_geometric_center),mm,3.4,lower_deck_angle_-1_1:2.995 + shear_web_-1:2.0,5,4.995,0.0,0.0,lower_angle_web_fastener_-1_1_60,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
AW_lower_s-1_seg1_x130,angle_to_shear_web,lower_deck_angle_-1_1,shear_web_-1,0/1/0,"[130, ""through"", -94.15]",S (bus_geometric_center),mm,3.4,lower_deck_angle_-1_1:2.995 + shear_web_-1:2.0,5,4.995,0.0,0.0,lower_angle_web_fastener_-1_1_130,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
AW_lower_s+1_seg0_x-130,angle_to_shear_web,lower_deck_angle_1_0,shear_web_1,0/1/0,"[-130, ""through"", -94.15]",S (bus_geometric_center),mm,3.4,lower_deck_angle_1_0:2.995 + shear_web_1:1.995,5,4.99,0.0,0.0,lower_angle_web_fastener_1_0_-130,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
AW_lower_s+1_seg0_x-70,angle_to_shear_web,lower_deck_angle_1_0,shear_web_1,0/1/0,"[-70, ""through"", -94.15]",S (bus_geometric_center),mm,3.4,lower_deck_angle_1_0:2.995 + shear_web_1:1.995,5,4.99,0.0,0.0,lower_angle_web_fastener_1_0_-70,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
AW_lower_s+1_seg1_x60,angle_to_shear_web,lower_deck_angle_1_1,shear_web_1,0/1/0,"[60, ""through"", -94.15]",S (bus_geometric_center),mm,3.4,lower_deck_angle_1_1:2.995 + shear_web_1:2.0,5,4.995,0.0,0.0,lower_angle_web_fastener_1_1_60,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
AW_lower_s+1_seg1_x130,angle_to_shear_web,lower_deck_angle_1_1,shear_web_1,0/1/0,"[130, ""through"", -94.15]",S (bus_geometric_center),mm,3.4,lower_deck_angle_1_1:2.995 + shear_web_1:2.0,5,4.995,0.0,0.0,lower_angle_web_fastener_1_1_130,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
AW_upper_s-1_seg0_x-130,angle_to_shear_web,upper_deck_angle_-1_0,shear_web_-1,0/1/0,"[-130, ""through"", -18.5]",S (bus_geometric_center),mm,3.4,upper_deck_angle_-1_0:2.995 + shear_web_-1:1.995,5,4.99,0.0,0.0,upper_angle_web_fastener_-1_0_-130,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
AW_upper_s-1_seg0_x-70,angle_to_shear_web,upper_deck_angle_-1_0,shear_web_-1,0/1/0,"[-70, ""through"", -18.5]",S (bus_geometric_center),mm,3.4,upper_deck_angle_-1_0:2.995 + shear_web_-1:2.0,5,4.995,0.0,0.0,upper_angle_web_fastener_-1_0_-70,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
AW_upper_s-1_seg1_x60,angle_to_shear_web,upper_deck_angle_-1_1,shear_web_-1,0/1/0,"[60, ""through"", -18.5]",S (bus_geometric_center),mm,3.4,upper_deck_angle_-1_1:2.995 + shear_web_-1:2.0,5,4.995,0.0,0.0,upper_angle_web_fastener_-1_1_60,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
AW_upper_s-1_seg1_x130,angle_to_shear_web,upper_deck_angle_-1_1,shear_web_-1,0/1/0,"[130, ""through"", -18.5]",S (bus_geometric_center),mm,3.4,upper_deck_angle_-1_1:2.995 + shear_web_-1:2.0,5,4.995,0.0,0.0,upper_angle_web_fastener_-1_1_130,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
AW_upper_s+1_seg0_x-130,angle_to_shear_web,upper_deck_angle_1_0,shear_web_1,0/1/0,"[-130, ""through"", -18.5]",S (bus_geometric_center),mm,3.4,upper_deck_angle_1_0:2.995 + shear_web_1:1.995,5,4.99,0.0,0.0,upper_angle_web_fastener_1_0_-130,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
AW_upper_s+1_seg0_x-70,angle_to_shear_web,upper_deck_angle_1_0,shear_web_1,0/1/0,"[-70, ""through"", -18.5]",S (bus_geometric_center),mm,3.4,upper_deck_angle_1_0:2.995 + shear_web_1:1.995,5,4.99,0.0,0.0,upper_angle_web_fastener_1_0_-70,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
AW_upper_s+1_seg1_x60,angle_to_shear_web,upper_deck_angle_1_1,shear_web_1,0/1/0,"[60, ""through"", -18.5]",S (bus_geometric_center),mm,3.4,upper_deck_angle_1_1:2.995 + shear_web_1:2.0,5,4.995,0.0,0.0,upper_angle_web_fastener_1_1_60,M3x10_THREADLESS_ENVELOPE_NOT_SELECTED,从剪力板外侧向内，侧盖安装前,True
