fastener_instance,pair_id,layer,thread_candidate,underhead_length_mm,nominal_grip_mm,head_diameter_mm,washer_outer_diameter_max_mm,stack_from_head,direction,material_grade,effective_thread_engagement,preload,locking,identity
lower_deck_fastener_-1_-150,DA_lower_s-1_x-150,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(lower_deck_angle_-1_0:2.995+lower_equipment_deck:2.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_deck_fastener_-1_-50,DA_lower_s-1_x-50,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(lower_deck_angle_-1_0:2.995+lower_equipment_deck:2.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_deck_fastener_-1_50,DA_lower_s-1_x50,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(lower_deck_angle_-1_1:2.995+lower_equipment_deck:3.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_deck_fastener_-1_140,DA_lower_s-1_x140,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(lower_deck_angle_-1_1:2.995+lower_equipment_deck:3.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_deck_fastener_1_-150,DA_lower_s+1_x-150,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(lower_deck_angle_1_0:2.995+lower_equipment_deck:3.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_deck_fastener_1_-50,DA_lower_s+1_x-50,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(lower_deck_angle_1_0:2.995+lower_equipment_deck:3.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_deck_fastener_1_50,DA_lower_s+1_x50,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(lower_deck_angle_1_1:2.995+lower_equipment_deck:3.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
lower_deck_fastener_1_140,DA_lower_s+1_x140,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(lower_deck_angle_1_1:2.995+lower_equipment_deck:3.0) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_deck_fastener_-1_-150,DA_upper_s-1_x-150,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(upper_deck_angle_-1_0:2.995+upper_equipment_deck:2.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
upper_deck_fastener_-1_-50,DA_upper_s-1_x-50,deck_to_angle,M3_UNSELECTED,12,6,5.5,6,head_D5.5x3 > washer_D6x0.5_maxOD6 > grip_6mm(upper_deck_angle_-1_0:2.995+upper_equipment_deck:2.995) > washer_D6x0.5_maxOD6 > nut_envelope_D6x2.4,头位于甲板+Z，螺母在角材水平腿下；设备装入前装配,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CANDIDATE_NOMINAL_GEOMETRY_NOT_SELECTED_HARDWARE
