t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_R1,eta_R2,eta_R3,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.202118,0.039065,19.202079,0.010801,1.593742,0.451319,1.834427,-0.050542,0.043183,-1.83099602e-05,-6.76858802e-06,-3.37480839e-06,1.49359739e-05,4.14019733e-06,1.94870748e-06,6.32108316e-01,9.33653938e-02,1.93102050e-02,3.00005113e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0100,19.206679,0.061394,19.206575,0.030230,1.593784,0.450978,1.834462,-0.147798,0.118459,-5.64431621e-05,-1.92010578e-05,-6.37676640e-06,4.30695548e-05,1.18172236e-05,3.70768147e-06,6.32104154e-01,9.33620576e-02,1.93494538e-02,3.00002061e+00,2.44465976e-08,5.048e-16,6.661e-16
0.0200,19.211267,0.083725,19.211059,0.049663,1.593819,0.450635,1.834502,-0.230502,0.185684,-9.42799571e-05,-2.86224900e-05,-2.36921506e-06,7.10726935e-05,1.76886660e-05,1.41584188e-06,6.32097855e-01,9.33582054e-02,1.93999192e-02,2.99998191e+00,4.60928578e-08,2.064e-16,1.332e-15
0.0300,19.215883,0.106059,19.215534,0.069098,1.593862,0.450297,1.834536,-0.318072,0.256129,-1.31671623e-04,-3.36052132e-05,4.19576939e-06,9.88345818e-05,2.08641722e-05,-2.38047190e-06,6.32094418e-01,9.33550071e-02,1.94362566e-02,2.99995333e+00,6.75856369e-08,3.539e-16,8.882e-16
0.0400,19.220525,0.128396,19.219997,0.088536,1.593916,0.449965,1.834564,-0.436913,0.345129,-1.68472214e-04,-3.34059284e-05,6.12272093e-06,1.26244911e-04,2.08685393e-05,-3.52057538e-06,6.32093797e-01,9.33524567e-02,1.94585764e-02,2.99993481e+00,8.21273018e-08,6.401e-16,2.665e-15
0.0500,19.225194,0.150736,19.224451,0.107976,1.593964,0.449632,1.834595,-0.593319,0.456394,-2.04537271e-04,-2.80756730e-05,1.35872037e-06,1.53195416e-04,1.77133867e-05,-7.89032552e-07,6.32091895e-01,9.33496027e-02,1.94875048e-02,2.99991149e+00,1.00137368e-07,5.846e-16,4.441e-16
0.0600,19.229891,0.173079,19.228893,0.127419,1.593998,0.449291,1.834635,-0.766108,0.577644,-2.39723878e-04,-1.84486399e-05,-4.82167575e-06,1.79580598e-04,1.18936551e-05,2.78984312e-06,6.32086033e-01,9.33458223e-02,1.95365505e-02,2.99987366e+00,1.23051424e-07,9.801e-16,8.882e-16
0.0700,19.234614,0.195424,19.233326,0.146865,1.594027,0.448948,1.834677,-0.926849,0.692209,-2.73892588e-04,-6.01230896e-06,-5.65544134e-06,2.05297324e-04,4.30956461e-06,3.29988440e-06,6.32078723e-01,9.33417044e-02,1.95929593e-02,2.99983055e+00,1.43674743e-07,4.025e-16,8.882e-16
0.0800,19.239364,0.217772,19.237747,0.166314,1.594071,0.448613,1.834711,-1.065729,0.794022,-3.06909659e-04,7.32158223e-06,-2.91110754e-07,2.30244225e-04,-3.87316865e-06,2.17832328e-07,6.32075524e-01,9.33385487e-02,1.96285073e-02,2.99980249e+00,1.68511563e-07,7.685e-16,3.109e-15
0.0900,19.244141,0.240123,19.242158,0.185766,1.594140,0.448289,1.834730,-1.195469,0.890039,-3.38647661e-04,1.95108090e-05,5.34648073e-06,2.54322048e-04,-1.14025426e-05,-3.05264174e-06,6.32079282e-01,9.33370219e-02,1.96287030e-02,2.99979990e+00,1.91439724e-07,4.909e-16,1.221e-15
0.1000,19.248946,0.262477,19.246559,0.205220,1.594222,0.447971,1.834740,-1.330223,0.988149,-3.68984260e-04,2.86961130e-05,5.09916400e-06,2.77435060e-04,-1.71313037e-05,-2.93948395e-06,6.32087042e-01,9.33364337e-02,1.96085516e-02,2.99981197e+00,2.05908524e-07,7.997e-16,1.776e-15
0.1100,19.253777,0.284833,19.250950,0.224676,1.594299,0.447651,1.834754,-1.463740,1.084561,-3.97800967e-04,3.34854698e-05,-6.98618313e-07,2.99492436e-04,-2.01912216e-05,3.96590427e-07,6.32092970e-01,9.33354193e-02,1.95976934e-02,2.99981736e+00,2.20619579e-07,1.544e-16,1.332e-15
0.1200,19.258635,0.307193,19.255330,0.244135,1.594358,0.447322,1.834779,-1.571558,1.164973,-4.24983648e-04,3.31649526e-05,-5.65614282e-06,3.20408572e-04,-2.01246928e-05,3.27847727e-06,6.32094098e-01,9.33332808e-02,1.96112575e-02,2.99980514e+00,2.32021021e-07,6.054e-16,8.882e-16
0.1300,19.263520,0.329555,19.259699,0.263596,1.594407,0.446990,1.834809,-1.635240,1.218542,-4.50424636e-04,2.78043278e-05,-4.37007943e-06,3.40102425e-04,-1.69536732e-05,2.56524445e-06,6.32092686e-01,9.33305417e-02,1.96378823e-02,2.99978347e+00,2.40989401e-07,1.478e-15,4.441e-16
0.1400,19.268433,0.351921,19.264058,0.283060,1.594461,0.446661,1.834836,-1.662283,1.249463,-4.74024573e-04,1.82426018e-05,1.68709644e-06,3.58496992e-04,-1.11749587e-05,-9.25043723e-07,6.32092800e-01,9.33281484e-02,1.96570269e-02,2.99976711e+00,2.57034184e-07,1.665e-16,1.776e-15
0.1500,19.273372,0.374289,19.268407,0.302527,1.594523,0.446337,1.834859,-1.679968,1.273533,-4.95692427e-04,5.95697065e-06,5.85012490e-06,3.75519837e-04,-3.68226033e-06,-3.35175769e-06,6.32095041e-01,9.33262402e-02,1.96656728e-02,2.99975824e+00,2.72883348e-07,4.441e-16,2.220e-15
0.1600,19.278337,0.396660,19.272745,0.321996,1.594577,0.446010,1.834887,-1.709736,1.303364,-5.15344169e-04,-7.16458051e-06,3.59488369e-06,3.91104387e-04,4.37255183e-06,-2.07736709e-06,6.32095334e-01,9.33238644e-02,1.96845013e-02,2.99974197e+00,2.87435891e-07,7.268e-16,2.220e-15
0.1700,19.283330,0.419033,19.277073,0.341468,1.594607,0.445673,1.834928,-1.749551,1.338082,-5.32902035e-04,-1.91128729e-05,-2.54578720e-06,4.05190818e-04,1.17568769e-05,1.46654704e-06,6.32089145e-01,9.33199606e-02,1.97365317e-02,2.99970171e+00,3.03975092e-07,1.691e-15,6.661e-16
0.1800,19.288349,0.441409,19.281390,0.360942,1.594613,0.445326,1.834984,-1.782487,1.368124,-5.48295653e-04,-2.80654556e-05,-5.82482291e-06,4.17725800e-04,1.73457569e-05,3.38662520e-06,6.32076502e-01,9.33145364e-02,1.98216376e-02,2.99963762e+00,3.12921471e-07,7.338e-16,8.882e-16
0.1900,19.293395,0.463788,19.285696,0.380420,1.594614,0.444977,1.835044,-1.800911,1.389156,-5.61464220e-04,-3.26653212e-05,-2.69348732e-06,4.28661583e-04,2.02926671e-05,1.60476959e-06,6.32062341e-01,9.33087471e-02,1.99147612e-02,2.99956776e+00,3.17906504e-07,1.603e-15,1.332e-15
0.2000,19.298468,0.486169,19.289992,0.399900,1.594627,0.444635,1.835096,-1.818798,1.409254,-5.72357727e-04,-3.22269433e-05,3.35925339e-06,4.37955611e-04,2.01574240e-05,-1.89327849e-06,6.32051764e-01,9.33037901e-02,1.99898453e-02,2.99951087e+00,3.24731250e-07,1.665e-16,4.441e-16
0.2100,19.303567,0.508552,19.294277,0.419383,1.594655,0.444300,1.835139,-1.858218,1.441186,-5.80936236e-04,-2.68379354e-05,5.69309380e-06,4.45571235e-04,1.69721966e-05,-3.27017518e-06,6.32045363e-01,9.32998095e-02,2.00437155e-02,2.99946923e+00,3.28498202e-07,4.285e-16,2.665e-15
0.2200,19.308693,0.530938,19.298552,0.438869,1.594685,0.443966,1.835180,-1.924701,1.488178,-5.87168264e-04,-1.73417379e-05,1.80070103e-06,4.51478912e-04,1.12353856e-05,-1.04619451e-06,6.32039565e-01,9.32959749e-02,2.00944389e-02,2.99942990e+00,3.36412662e-07,2.220e-16,5.551e-16
0.2300,19.313846,0.553326,19.302816,0.458358,1.594707,0.443627,1.835227,-1.998565,1.538790,-5.91030214e-04,-5.20541229e-06,-4.00015203e-06,4.55656705e-04,3.83387596e-06,2.31133100e-06,6.32031436e-01,9.32916028e-02,2.01569092e-02,2.99938220e+00,3.49589738e-07,1.278e-15,2.220e-16
0.2400,19.319025,0.575717,19.307070,0.477849,1.594727,0.443286,1.835274,-2.051914,1.576654,-5.92507541e-04,7.70645629e-06,-5.35547736e-06,4.58089719e-04,-4.09442176e-06,3.12469123e-06,6.32022518e-01,9.32870548e-02,2.02232533e-02,2.99933180e+00,3.59482885e-07,2.776e-16,1.332e-15
0.2500,19.324230,0.598111,19.311313,0.497343,1.594760,0.442952,1.835314,-2.073189,1.594715,-5.91596362e-04,1.94174734e-05,-8.34524895e-07,4.58769221e-04,-1.13360258e-05,5.33752540e-07,6.32017435e-01,9.32834126e-02,2.02698705e-02,2.99929561e+00,3.70206329e-07,2.220e-16,8.882e-16
0.2600,19.329463,0.620507,19.315545,0.516839,1.594817,0.442628,1.835339,-2.073307,1.598934,-5.88303700e-04,2.81417829e-05,4.56218762e-06,4.57692531e-04,-1.67877018e-05,-2.59597142e-06,6.32018797e-01,9.32812873e-02,2.02834126e-02,2.99928315e+00,3.78902997e-07,1.939e-15,2.220e-15
0.2700,19.334722,0.642906,19.319767,0.536338,1.594888,0.442310,1.835356,-2.067841,1.598126,-5.82645992e-04,3.25569514e-05,4.93290316e-06,4.54863894e-04,-1.96240860e-05,-2.84219932e-06,6.32024023e-01,9.32800743e-02,2.02770833e-02,2.99928496e+00,3.80895563e-07,2.862e-16,4.441e-16
0.2800,19.340007,0.665307,19.323979,0.555840,1.594953,0.441988,1.835376,-2.055827,1.591702,-5.74647389e-04,3.20050500e-05,-7.20572016e-08,4.50295410e-04,-1.94221248e-05,3.21958763e-08,6.32027581e-01,9.32784767e-02,2.02791786e-02,2.99928078e+00,3.85377258e-07,1.396e-15,1.332e-15
0.2900,19.345320,0.687712,19.328180,0.575344,1.595000,0.441659,1.835407,-2.019013,1.569124,-5.64339558e-04,2.65906304e-05,-4.92941225e-06,4.44007030e-04,-1.62241131e-05,2.85526078e-06,6.32026250e-01,9.32757367e-02,2.03062152e-02,2.99925875e+00,3.91590802e-07,1.110e-16,4.441e-16
0.3000,19.350658,0.710119,19.332371,0.594850,1.595036,0.441324,1.835444,-1.942441,1.521737,-5.51763046e-04,1.71610029e-05,-4.33754219e-06,4.36025579e-04,-1.05299533e-05,2.54590344e-06,6.32021753e-01,9.32722532e-02,2.03494962e-02,2.99922506e+00,3.98376419e-07,8.500e-16,4.441e-16
0.3100,19.356024,0.732528,19.336551,0.614359,1.595075,0.440991,1.835481,-1.833614,1.453895,-5.36968552e-04,5.17311323e-06,9.97733626e-07,4.26383795e-04,-3.21949197e-06,-5.23730376e-07,6.32018053e-01,9.32689509e-02,2.03888552e-02,2.99919416e+00,4.12369060e-07,2.776e-16,1.776e-15
0.3200,19.361416,0.754941,19.340720,0.633870,1.595121,0.440662,1.835512,-1.718888,1.380993,-5.20016596e-04,-7.53143051e-06,5.19962570e-06,4.15120296e-04,4.58348141e-06,-2.97237500e-06,6.32016444e-01,9.32661326e-02,2.04176833e-02,2.99917077e+00,4.26573351e-07,1.117e-15,3.109e-15
0.3300,19.366834,0.777356,19.344880,0.653385,1.595163,0.440332,1.835546,-1.620585,1.316266,-5.00975814e-04,-1.90085626e-05,3.69321702e-06,4.02280292e-04,1.16844663e-05,-2.13371420e-06,6.32013913e-01,9.32630946e-02,2.04513399e-02,2.99914390e+00,4.37874342e-07,7.459e-16,8.882e-16
0.3400,19.372279,0.799773,19.349028,0.672901,1.595188,0.439994,1.835590,-1.539104,1.260335,-4.79921614e-04,-2.75087060e-05,-1.81405100e-06,3.87916046e-04,1.70014630e-05,1.04083024e-06,6.32006564e-01,9.32589265e-02,2.05096963e-02,2.99909936e+00,4.50465601e-07,2.411e-16,6.661e-16
0.3500,19.377750,0.822193,19.353166,0.692420,1.595195,0.439647,1.835645,-1.458566,1.204296,-4.56936452e-04,-3.17436635e-05,-5.26546316e-06,3.72086314e-04,1.97296586e-05,3.06033335e-06,6.31994304e-01,9.32536080e-02,2.05932228e-02,2.99903684e+00,4.58531165e-07,1.124e-15,8.882e-16
0.3600,19.383247,0.844615,19.357293,0.711943,1.595200,0.439299,1.835701,-1.368725,1.142317,-4.32111200e-04,-3.10825056e-05,-2.91534773e-06,3.54855109e-04,1.94627057e-05,1.73295969e-06,6.31981596e-01,9.32481866e-02,2.06790625e-02,2.99897273e+00,4.65602669e-07,6.436e-16,2.220e-15
0.3700,19.388770,0.867039,19.361410,0.731467,1.595222,0.438959,1.835747,-1.278421,1.079485,-4.05545777e-04,-2.56459035e-05,2.60681998e-06,3.36290867e-04,1.62528878e-05,-1.45563240e-06,6.31973398e-01,9.32438277e-02,2.07417060e-02,2.99892525e+00,4.78360937e-07,2.567e-16,5.551e-16
0.3800,19.394320,0.889466,19.365516,0.750995,1.595264,0.438628,1.835781,-1.205684,1.026214,-3.77348014e-04,-1.62843632e-05,5.23715309e-06,3.16466619e-04,1.06016030e-05,-3.00438062e-06,6.31970653e-01,9.32407575e-02,2.07761712e-02,2.99889795e+00,4.91980958e-07,5.551e-17,1.776e-15
0.3900,19.399896,0.911896,19.369612,0.770524,1.595314,0.438299,1.835810,-1.155620,0.985478,-3.47631561e-04,-4.44455340e-06,2.13546035e-06,2.95460685e-04,3.38158923e-06,-1.24073492e-06,6.31970114e-01,9.32382200e-02,2.07989918e-02,2.99887905e+00,5.09612094e-07,5.794e-16,6.661e-16
0.4000,19.405498,0.934328,19.373697,0.790057,1.595361,0.437968,1.835841,-1.110781,0.947154,-3.16514619e-04,8.05451727e-06,-3.24923070e-06,2.73356828e-04,-4.29760858e-06,1.87361572e-06,6.31968537e-01,9.32354566e-02,2.08267679e-02,2.99885672e+00,5.31530108e-07,3.591e-16,3.109e-15
0.4100,19.411127,0.956762,19.377771,0.809591,1.595407,0.437634,1.835872,-1.045099,0.895988,-2.84120299e-04,1.93005175e-05,-5.01320422e-06,2.50243416e-04,-1.12604368e-05,2.92402636e-06,6.31966520e-01,9.32326064e-02,2.08564540e-02,2.99883311e+00,5.49266998e-07,3.070e-16,1.332e-15
0.4200,19.416782,0.979200,19.381835,0.829128,1.595465,0.437306,1.835895,-0.946814,0.824888,-2.50577578e-04,2.75796674e-05,-1.27050120e-06,2.26212204e-04,-1.64457698e-05,7.86342848e-07,6.31967764e-01,9.32305352e-02,2.08690949e-02,2.99882173e+00,5.66071190e-07,5.846e-16,6.661e-16
0.4300,19.422463,1.001640,19.385888,0.848668,1.595544,0.436986,1.835907,-0.826183,0.739538,-2.16021150e-04,3.16376648e-05,3.83212765e-06,2.01357748e-04,-1.90687508e-05,-2.17104070e-06,6.31974627e-01,9.32297940e-02,2.08526310e-02,2.99883118e+00,5.82359854e-07,1.056e-15,2.665e-15
0.4400,19.428171,1.024083,19.389932,0.868209,1.595635,0.436671,1.835910,-0.700556,0.649916,-1.80589703e-04,3.08701548e-05,4.70874607e-06,1.75777748e-04,-1.87392024e-05,-2.71084542e-06,6.31984924e-01,9.32298690e-02,2.08183432e-02,2.99885341e+00,5.95042319e-07,1.561e-15,3.553e-15
0.4500,19.433905,1.046529,19.393964,0.887753,1.595721,0.436353,1.835917,-0.573957,0.558485,-1.44423857e-04,2.54132833e-05,4.48632069e-07,1.49573539e-04,-1.55191498e-05,-2.70307762e-07,6.31993548e-01,9.32295612e-02,2.07924738e-02,2.99886969e+00,6.12061697e-07,6.661e-16,3.109e-15
0.4600,19.439665,1.068977,19.397986,0.907299,1.595789,0.436026,1.835935,-0.433804,0.458163,-1.07665411e-04,1.61200793e-05,-4.24070016e-06,1.22849799e-04,-9.91149582e-06,2.45381442e-06,6.31997234e-01,9.32281008e-02,2.07918406e-02,2.99886797e+00,6.33067446e-07,2.116e-16,1.332e-15
0.4700,19.445452,1.091429,19.401998,0.926847,1.595844,0.435692,1.835960,-0.268089,0.342161,-7.04581059e-05,4.42661875e-06,-4.23470302e-06,9.57133467e-05,-2.78192601e-06,2.48480207e-06,6.31997337e-01,9.32258016e-02,2.08095714e-02,2.99885314e+00,6.54218868e-07,5.326e-16,1.332e-15
0.4800,19.451264,1.113883,19.405999,0.946398,1.595900,0.435360,1.835985,-0.083590,0.214540,-3.29484865e-05,-7.87043820e-06,4.08736192e-07,6.82718754e-05,4.77428375e-06,-1.81524576e-07,6.31997753e-01,9.32235749e-02,2.08257408e-02,2.99883941e+00,6.79251412e-07,2.325e-16,4.441e-16
