t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_R1,eta_R2,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.199845,0.027909,19.199825,0.001089,1.593661,0.451618,1.834383,0.003278,0.003485,9.61597175e-07,-5.85527439e-09,1.02257993e-06,-5.86348685e-09,6.32128565e-01,9.33693860e-02,1.93281957e-02,3.00000614e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0100,19.204394,0.050235,19.204327,0.020517,1.593726,0.451286,1.834405,-0.081199,0.071187,-3.72635368e-05,-1.32997884e-05,2.91845747e-05,8.17545598e-06,6.32130303e-01,9.33674343e-02,1.93374026e-02,2.99999740e+00,2.37691235e-08,9.333e-16,1.332e-15
0.0200,19.208970,0.072565,19.208819,0.039947,1.593778,0.450951,1.834434,-0.172090,0.142871,-7.52700017e-05,-2.44821438e-05,5.72697256e-05,1.51049781e-05,6.32129142e-01,9.33647889e-02,1.93616597e-02,2.99997767e+00,4.46617504e-08,6.817e-16,1.776e-15
0.0300,19.213574,0.094898,19.213300,0.059381,1.593823,0.450613,1.834468,-0.274648,0.221733,-1.12907160e-04,-3.18520191e-05,8.51675767e-05,1.97289246e-05,6.32125667e-01,9.33615880e-02,1.93979765e-02,2.99994916e+00,6.15274536e-08,1.145e-15,8.882e-16
0.0400,19.218204,0.117233,19.217770,0.078817,1.593861,0.450273,1.834505,-0.392134,0.309763,-1.50026166e-04,-3.42979186e-05,1.12768355e-04,2.13499037e-05,6.32120733e-01,9.33580350e-02,1.94419569e-02,2.99991504e+00,7.54374893e-08,5.551e-17,4.441e-16
0.0500,19.222861,0.139571,19.222230,0.098255,1.593897,0.449933,1.834544,-0.525254,0.407392,-1.86480614e-04,-3.14653221e-05,1.39963371e-04,1.97320610e-05,6.32115341e-01,9.33543668e-02,1.94884671e-02,2.99987907e+00,8.89786286e-08,5.187e-16,3.109e-15
0.0600,19.227545,0.161911,19.226679,0.117697,1.593935,0.449595,1.834581,-0.671986,0.513377,-2.22127136e-04,-2.38078923e-05,1.66645439e-04,1.51353000e-05,6.32110477e-01,9.33508184e-02,1.95324139e-02,2.99984493e+00,1.04666503e-07,7.164e-16,1.776e-15
0.0700,19.232257,0.184255,19.231118,0.137141,1.593977,0.449259,1.834616,-0.827824,0.624942,-2.56825937e-04,-1.25149584e-05,1.92709318e-04,8.27362901e-06,6.32106970e-01,9.33475867e-02,1.95695167e-02,2.99981574e+00,1.23417235e-07,2.776e-16,1.332e-15
0.0800,19.236995,0.206601,19.235547,0.156588,1.594027,0.448926,1.834647,-0.986413,0.738156,-2.90441265e-04,6.73159833e-07,2.18052161e-04,2.04289915e-07,6.32105364e-01,9.33448014e-02,1.95969532e-02,2.99979352e+00,1.43974501e-07,1.058e-15,6.661e-16
0.0900,19.241760,0.228950,19.239964,0.176038,1.594083,0.448596,1.834673,-1.140452,0.848487,-3.22841839e-04,1.37333177e-05,2.42573983e-04,-7.83511654e-06,6.32105839e-01,9.33425059e-02,1.96137775e-02,2.99977896e+00,1.63621437e-07,1.110e-16,1.332e-15
0.1000,19.246552,0.251302,19.244372,0.195490,1.594147,0.448270,1.834694,-1.282752,0.951445,-3.53901244e-04,2.46698837e-05,2.66178112e-04,-1.46164220e-05,6.32108186e-01,9.33406514e-02,1.96210470e-02,2.99977130e+00,1.79750235e-07,3.920e-16,8.882e-16
