t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_R1,eta_R2,eta_R3,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.199845,0.027909,19.199825,0.001089,1.593679,0.451626,1.834373,0.003278,0.003485,9.61593378e-07,-5.85870496e-09,-5.60422506e-11,1.02257475e-06,-5.86694914e-09,-5.93638831e-11,6.32133428e-01,9.33705210e-02,1.93036315e-02,3.00002389e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0100,19.204394,0.050235,19.204327,0.020517,1.593733,0.451290,1.834401,-0.101194,0.082780,-3.72649560e-05,-1.33004879e-05,-5.90041064e-06,2.91837343e-05,8.17494322e-06,3.42158862e-06,6.32132460e-01,9.33679382e-02,1.93264994e-02,3.00000528e+00,2.91243891e-08,1.055e-15,1.332e-15
0.0200,19.208970,0.072565,19.208819,0.039947,1.593768,0.450946,1.834440,-0.189982,0.153328,-7.52712511e-05,-2.44826376e-05,-5.27964250e-06,5.72689932e-05,1.51046192e-05,3.08642828e-06,6.32126268e-01,9.33641184e-02,1.93761848e-02,2.99996719e+00,5.08088003e-08,9.871e-16,8.882e-16
0.0300,19.213574,0.094898,19.213300,0.059381,1.593806,0.450605,1.834478,-0.270876,0.219705,-1.12906848e-04,-3.18515378e-05,1.11317457e-06,8.51677738e-05,1.97292827e-05,-5.98351568e-07,6.32120955e-01,9.33604880e-02,1.94218116e-02,2.99993195e+00,7.37894224e-08,2.220e-16,4.441e-16
0.0400,19.218204,0.117233,19.217770,0.078817,1.593856,0.450271,1.834508,-0.371005,0.297654,-1.50024612e-04,-3.42967000e-05,6.23532266e-06,1.12769285e-04,2.13508015e-05,-3.57356084e-06,6.32119348e-01,9.33577110e-02,1.94489738e-02,2.99990998e+00,9.18989100e-08,1.475e-16,3.109e-15
0.0500,19.222861,0.139571,19.222230,0.098255,1.593909,0.449939,1.834536,-0.509977,0.398585,-1.86479482e-04,-3.14643859e-05,4.50854166e-06,1.39964046e-04,1.97327478e-05,-2.59915308e-06,6.32118757e-01,9.33551640e-02,1.94711745e-02,2.99989154e+00,1.06546197e-07,1.193e-15,1.776e-15
0.0600,19.227545,0.161911,19.226679,0.117697,1.593951,0.449602,1.834572,-0.679126,0.517503,-2.22127603e-04,-2.38079676e-05,-2.10681168e-06,1.66645166e-04,1.51352424e-05,1.21785323e-06,6.32114912e-01,9.33518541e-02,1.95099452e-02,2.99986113e+00,1.28711168e-07,1.244e-15,4.441e-16
0.0700,19.232257,0.184255,19.231118,0.137141,1.593980,0.449260,1.834615,-0.849291,0.637409,-2.56827412e-04,-1.25157347e-05,-6.33471796e-06,1.92708452e-04,8.27305774e-06,3.67948662e-06,6.32107571e-01,9.33477276e-02,1.95664649e-02,2.99981794e+00,1.50535122e-07,6.523e-16,1.221e-15
0.0800,19.236995,0.206601,19.235547,0.156588,1.594013,0.448919,1.834655,-0.998563,0.745317,-2.90442056e-04,6.72649332e-07,-3.58558625e-06,2.18051707e-04,2.03915454e-07,2.11331783e-06,6.32101518e-01,9.33439035e-02,1.96164558e-02,2.99977948e+00,1.72775279e-07,2.776e-16,1.332e-15
0.0900,19.241760,0.228950,19.239964,0.176038,1.594069,0.448589,1.834681,-1.130074,0.842636,-3.22841012e-04,1.37336163e-05,3.06242345e-06,2.42574490e-04,-7.83489720e-06,-1.72697068e-06,6.32101794e-01,9.33415610e-02,1.96342972e-02,2.99976419e+00,1.98937770e-07,1.426e-15,6.661e-16
0.1000,19.246552,0.251302,19.244372,0.195490,1.594148,0.448270,1.834694,-1.261374,0.939166,-3.53899635e-04,2.46705250e-05,6.30820727e-06,2.66179078e-04,-1.46159535e-05,-3.62444731e-06,6.32108361e-01,9.33406916e-02,1.96201683e-02,2.99977193e+00,2.17147608e-07,5.794e-16,2.665e-15
