t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_R1,eta_R2,eta_R3,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.199845,0.027909,19.199825,0.001089,1.593679,0.451626,1.834373,0.003278,0.003485,9.61593584e-07,-5.85270000e-09,-6.27181146e-11,1.02257496e-06,-5.86093552e-09,-6.59989531e-11,6.32133428e-01,9.33705210e-02,1.93036315e-02,3.00002389e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0100,19.204394,0.050235,19.204327,0.020517,1.593733,0.451290,1.834401,-0.101194,0.082780,-3.72649558e-05,-1.33004848e-05,-5.90041864e-06,2.91837345e-05,8.17494637e-06,3.42158052e-06,6.32132460e-01,9.33679382e-02,1.93264994e-02,3.00000528e+00,2.91243909e-08,2.030e-16,2.665e-15
0.0200,19.208970,0.072565,19.208819,0.039947,1.593768,0.450946,1.834440,-0.189982,0.153328,-7.52712508e-05,-2.44826379e-05,-5.27964416e-06,5.72689935e-05,1.51046190e-05,3.08642821e-06,6.32126268e-01,9.33641184e-02,1.93761848e-02,2.99996719e+00,5.08088019e-08,1.048e-15,1.776e-15
0.0300,19.213574,0.094898,19.213300,0.059381,1.593806,0.450605,1.834478,-0.270876,0.219705,-1.12906848e-04,-3.18515414e-05,1.11318176e-06,8.51677742e-05,1.97292792e-05,-5.98344067e-07,6.32120955e-01,9.33604880e-02,1.94218116e-02,2.99993195e+00,7.37894271e-08,1.298e-15,2.665e-15
0.0400,19.218204,0.117233,19.217770,0.078817,1.593856,0.450271,1.834508,-0.371005,0.297654,-1.50024612e-04,-3.42967064e-05,6.23533132e-06,1.12769286e-04,2.13507952e-05,-3.57355436e-06,6.32119348e-01,9.33577110e-02,1.94489738e-02,2.99990998e+00,9.18989215e-08,6.332e-16,1.776e-15
0.0500,19.222861,0.139571,19.222230,0.098255,1.593909,0.449939,1.834536,-0.509977,0.398585,-1.86479481e-04,-3.14643940e-05,4.50854297e-06,1.39964047e-04,1.97327398e-05,-2.59915508e-06,6.32118757e-01,9.33551641e-02,1.94711744e-02,2.99989154e+00,1.06546206e-07,1.067e-15,4.441e-16
0.0600,19.227545,0.161911,19.226679,0.117697,1.593951,0.449602,1.834572,-0.679126,0.517503,-2.22127602e-04,-2.38079763e-05,-2.10681890e-06,1.66645166e-04,1.51352338e-05,1.21784494e-06,6.32114912e-01,9.33518541e-02,1.95099452e-02,2.99986113e+00,1.28711175e-07,6.609e-16,7.772e-16
0.0700,19.232257,0.184255,19.231118,0.137141,1.593980,0.449260,1.834615,-0.849291,0.637409,-2.56827412e-04,-1.25157426e-05,-6.33472693e-06,1.92708452e-04,8.27304994e-06,3.67948185e-06,6.32107571e-01,9.33477276e-02,1.95664649e-02,2.99981794e+00,1.50535138e-07,4.909e-16,4.885e-15
0.0800,19.236995,0.206601,19.235547,0.156588,1.594013,0.448919,1.834655,-0.998563,0.745317,-2.90442055e-04,6.72643472e-07,-3.58558763e-06,2.18051708e-04,2.03909603e-07,2.11332203e-06,6.32101518e-01,9.33439035e-02,1.96164559e-02,2.99977948e+00,1.72775294e-07,3.331e-16,3.109e-15
0.0900,19.241760,0.228950,19.239964,0.176038,1.594069,0.448589,1.834681,-1.130074,0.842636,-3.22841012e-04,1.37336134e-05,3.06243205e-06,2.42574491e-04,-7.83490022e-06,-1.72696274e-06,6.32101794e-01,9.33415610e-02,1.96342972e-02,2.99976419e+00,1.98937796e-07,3.747e-16,1.776e-15
0.1000,19.246552,0.251302,19.244372,0.195490,1.594148,0.448270,1.834694,-1.261374,0.939166,-3.53899634e-04,2.46705253e-05,6.30821690e-06,2.66179078e-04,-1.46159533e-05,-3.62444466e-06,6.32108361e-01,9.33406916e-02,1.96201683e-02,2.99977193e+00,2.17147644e-07,2.238e-16,1.332e-15
0.1100,19.251371,0.273656,19.248769,0.214945,1.594230,0.447952,1.834704,-1.398299,1.038042,-3.83497587e-04,3.18197048e-05,2.64525590e-06,2.88772063e-04,-1.91084606e-05,-1.52920840e-06,6.32116004e-01,9.33400764e-02,1.96005660e-02,2.99978363e+00,2.31190308e-07,2.481e-16,1.332e-15
0.1200,19.256217,0.296014,19.253155,0.234402,1.594298,0.447628,1.834724,-1.522999,1.128771,-4.11518312e-04,3.41038696e-05,-3.85161941e-06,3.10265298e-04,-2.06346555e-05,2.22769797e-06,6.32119557e-01,9.33385053e-02,1.96017447e-02,2.99978036e+00,2.45683083e-07,6.054e-16,1.110e-15
0.1300,19.261090,0.318375,19.257532,0.253861,1.594350,0.447296,1.834752,-1.609839,1.196360,-4.37850533e-04,3.11939253e-05,-6.05818863e-06,3.30575609e-04,-1.89723681e-05,3.52692642e-06,6.32118773e-01,9.33359163e-02,1.96250401e-02,2.99976112e+00,2.54504536e-07,1.258e-15,8.882e-16
0.1400,19.265990,0.340738,19.261897,0.273324,1.594400,0.446965,1.834782,-1.652044,1.236730,-4.62390557e-04,2.35553776e-05,-1.61235774e-06,3.49624010e-04,-1.43878743e-05,9.77201765e-07,6.32117648e-01,9.33332383e-02,1.96502921e-02,2.99974042e+00,2.67025059e-07,1.303e-15,2.220e-15
0.1500,19.270917,0.363105,19.266253,0.292789,1.594459,0.446639,1.834807,-1.670001,1.261615,-4.85043310e-04,1.23737590e-05,4.55918218e-06,3.67335650e-04,-7.59351250e-06,-2.59585173e-06,6.32119132e-01,9.33311587e-02,1.96625841e-02,2.99972897e+00,2.84675356e-07,1.988e-15,1.776e-15
0.1600,19.275871,0.385474,19.270597,0.312256,1.594519,0.446315,1.834830,-1.692145,1.287583,-5.05721450e-04,-6.28738600e-07,5.69973865e-06,3.83640855e-04,3.63391449e-07,-3.28046699e-06,6.32121205e-01,9.33292043e-02,1.96721906e-02,2.99971939e+00,2.99005277e-07,1.129e-15,2.665e-15
0.1700,19.280852,0.407845,19.274932,0.331726,1.594563,0.445984,1.834864,-1.728990,1.320979,-5.24344036e-04,-1.34577092e-05,6.19475151e-07,3.98476404e-04,8.26250716e-06,-3.60825720e-07,6.32118686e-01,9.33261637e-02,1.97054080e-02,2.99969273e+00,3.15538627e-07,1.655e-15,3.553e-15
