t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_R1,eta_R2,eta_R3,eta_R4,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.204397,0.050178,19.204330,0.020503,1.593794,0.451007,1.834487,-0.096327,0.078249,-3.74613579e-05,-1.30791206e-05,-5.23535110e-06,-1.18927556e-06,2.87399468e-05,8.00312186e-06,3.01913877e-06,6.62710600e-07,6.32080344e-01,9.33595933e-02,1.93314590e-02,3.00006771e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0100,19.208970,0.072509,19.208819,0.039934,1.593832,0.450664,1.834525,-0.194364,0.153960,-7.54551246e-05,-2.41003547e-05,-4.69814948e-06,1.30866199e-06,5.68147096e-05,1.48411998e-05,2.74924659e-06,-7.14435096e-07,6.32075040e-01,9.33559822e-02,1.93767381e-02,3.00003277e+00,2.31463769e-08,2.776e-16,8.882e-16
0.0200,19.213570,0.094842,19.213297,0.059369,1.593877,0.450327,1.834558,-0.272646,0.219027,-1.13078380e-04,-3.13678458e-05,9.76961740e-07,-2.69225698e-07,8.47042288e-05,1.94145349e-05,-5.03059831e-07,1.46459253e-07,6.32071902e-01,9.33528564e-02,1.94115456e-02,3.00000529e+00,4.59304366e-08,5.551e-16,4.441e-15
0.0300,19.218198,0.117178,19.217764,0.078806,1.593918,0.449988,1.834594,-0.372327,0.296704,-1.50182968e-04,-3.37858297e-05,5.53802358e-06,-9.76501498e-07,1.12298420e-04,2.10330891e-05,-3.15453596e-06,5.46274284e-07,6.32067714e-01,9.33494843e-02,1.94517187e-02,2.99997394e+00,6.40189919e-08,5.222e-16,2.665e-15
0.0400,19.222852,0.139517,19.222222,0.098245,1.593972,0.449657,1.834622,-0.518249,0.401344,-1.86623360e-04,-3.10041678e-05,4.01773620e-06,1.34629364e-06,1.39488146e-04,1.94608929e-05,-2.31726180e-06,-7.36492706e-07,6.32067414e-01,9.33470045e-02,1.94725797e-02,2.99995642e+00,8.00422026e-08,3.175e-16,4.441e-16
0.0500,19.227534,0.161859,19.226668,0.117688,1.594019,0.449323,1.834654,-0.678111,0.514994,-2.22257094e-04,-2.34688590e-05,-1.85773893e-06,-5.19108636e-07,1.66165698e-04,1.49503563e-05,1.05623854e-06,2.84500717e-07,6.32065041e-01,9.33440371e-02,1.95040374e-02,2.99993125e+00,1.02025494e-07,7.772e-16,5.329e-15
0.0600,19.232242,0.184203,19.231104,0.137133,1.594042,0.448976,1.834700,-0.845340,0.633171,-2.56941798e-04,-1.23489693e-05,-5.62574091e-06,-7.38114921e-07,1.92227458e-04,8.20314005e-06,3.25571326e-06,4.15929759e-07,6.32055870e-01,9.33394915e-02,1.95697577e-02,2.99988144e+00,1.23737766e-07,6.106e-16,2.665e-15
0.0700,19.236977,0.206550,19.235530,0.156581,1.594081,0.448639,1.834737,-1.001976,0.745221,-2.90540684e-04,6.42370343e-07,-3.19569336e-06,1.32859929e-06,2.17571226e-04,2.59281801e-07,1.89294156e-06,-7.27898226e-07,6.32051451e-01,9.33360471e-02,1.96116191e-02,2.99984879e+00,1.46738183e-07,9.819e-16,4.441e-16
0.0800,19.241740,0.228900,19.239945,0.176031,1.594141,0.448311,1.834761,-1.128311,0.839819,-3.22924349e-04,1.35112681e-05,2.71086308e-06,-7.32898046e-07,2.42095882e-04,-7.66352578e-06,-1.50576669e-06,4.02607311e-07,6.32052784e-01,9.33339496e-02,1.96242589e-02,2.99983720e+00,1.72634013e-07,7.216e-16,3.553e-15
0.0900,19.246529,0.251253,19.244349,0.195484,1.594209,0.447987,1.834780,-1.261045,0.937146,-3.53966847e-04,2.42910990e-05,5.60726105e-06,-4.85842173e-07,2.65704545e-04,-1.43550274e-05,-3.20789377e-06,2.77149158e-07,6.32056586e-01,9.33324409e-02,1.96241343e-02,2.99983486e+00,1.90927144e-07,5.551e-16,4.441e-15
0.1000,19.251345,0.273609,19.248743,0.214940,1.594295,0.447671,1.834788,-1.402071,1.038271,-3.83547958e-04,3.13420282e-05,2.36410488e-06,1.25937621e-06,2.88303751e-04,-1.87980384e-05,-1.37410703e-06,-6.91205949e-07,6.32065170e-01,9.33320426e-02,1.95999431e-02,2.99984981e+00,2.05534382e-07,4.996e-16,1.332e-15
0.1100,19.256189,0.295967,19.253127,0.234398,1.594365,0.447348,1.834806,-1.516853,1.123541,-4.11552247e-04,3.36010242e-05,-3.41078808e-06,-9.03962053e-07,3.09804668e-04,-2.03226003e-05,1.95476950e-06,4.97715698e-07,6.32069330e-01,9.33306143e-02,1.95981453e-02,2.99984865e+00,2.20115868e-07,5.551e-16,3.553e-15
0.1200,19.261059,0.318329,19.257501,0.253858,1.594411,0.447013,1.834838,-1.605308,1.192118,-4.37867477e-04,3.07430707e-05,-5.38444096e-06,-2.29644704e-07,3.30124755e-04,-1.87062039e-05,3.12871013e-06,1.36608378e-07,6.32066890e-01,9.33276456e-02,1.96297934e-02,2.99982340e+00,2.29363284e-07,2.776e-16,3.109e-15
0.1300,19.265956,0.340693,19.261864,0.273321,1.594468,0.446685,1.834864,-1.654234,1.236469,-4.62390482e-04,2.32251928e-05,-1.44379314e-06,1.14505973e-06,3.49184691e-04,-1.42081042e-05,8.89802467e-07,-6.29276331e-07,6.32067781e-01,9.33254355e-02,1.96450102e-02,2.99980987e+00,2.42016699e-07,6.661e-16,3.553e-15
