t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_R1,eta_R2,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.204399,0.050212,19.204332,0.020510,1.593790,0.451006,1.834490,-0.082771,0.070405,-3.75306114e-05,-1.31027528e-05,2.87996682e-05,8.02152121e-06,6.32079210e-01,9.33593237e-02,1.93373088e-02,3.00006345e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0100,19.208972,0.072542,19.208821,0.039942,1.593843,0.450671,1.834518,-0.174176,0.142371,-7.55247013e-05,-2.41210466e-05,5.68737912e-05,1.48567706e-05,6.32078119e-01,9.33566967e-02,1.93612803e-02,3.00004391e+00,2.06869952e-08,4.146e-16,8.882e-16
0.0200,19.213573,0.094876,19.213299,0.059376,1.593887,0.450333,1.834552,-0.277056,0.221390,-1.13148506e-04,-3.13826955e-05,8.47621749e-05,1.94247386e-05,6.32074740e-01,9.33535204e-02,1.93971779e-02,3.00001567e+00,3.74577231e-08,1.081e-15,8.882e-16
0.0300,19.218200,0.117212,19.217767,0.078813,1.593926,0.449993,1.834589,-0.394616,0.309424,-1.50253241e-04,-3.37925269e-05,1.12355078e-04,2.10364347e-05,6.32069917e-01,9.33499951e-02,1.94406703e-02,2.99998189e+00,5.13466400e-08,5.013e-16,2.665e-15
0.0400,19.222855,0.139551,19.222224,0.098252,1.593963,0.449653,1.834627,-0.527545,0.406902,-1.86692560e-04,-3.10012499e-05,1.39543839e-04,1.94572373e-05,6.32064634e-01,9.33463543e-02,1.94866987e-02,2.99994624e+00,6.48611486e-08,3.643e-16,3.997e-15
0.0500,19.227536,0.161892,19.226670,0.117695,1.594001,0.449315,1.834665,-0.673842,0.512599,-2.22323157e-04,-2.34559088e-05,1.66221295e-04,1.49409565e-05,6.32059865e-01,9.33428296e-02,1.95302438e-02,2.99991236e+00,8.04418856e-08,2.776e-16,2.220e-15
0.0600,19.232244,0.184237,19.231106,0.137140,1.594043,0.448979,1.834699,-0.829064,0.623782,-2.57005291e-04,-1.23284233e-05,1.92282223e-04,8.18913894e-06,6.32056426e-01,9.33396152e-02,1.95670863e-02,2.99988333e+00,9.89783615e-08,2.220e-16,5.329e-15
0.0700,19.236980,0.206584,19.235532,0.156588,1.594093,0.448646,1.834730,-0.986939,0.736577,-2.90603269e-04,6.66384219e-07,2.17623793e-04,2.42126556e-07,6.32054852e-01,9.33368389e-02,1.95944431e-02,2.99986114e+00,1.19251290e-07,9.021e-17,3.109e-15
0.0800,19.241742,0.228934,19.239947,0.176038,1.594150,0.448316,1.834755,-1.140269,0.846515,-3.22985868e-04,1.35350247e-05,2.42146028e-04,-7.68121856e-06,6.32055322e-01,9.33345436e-02,1.96113798e-02,2.99984647e+00,1.38622291e-07,5.551e-16,4.885e-15
0.0900,19.246531,0.251286,19.244352,0.195491,1.594213,0.447989,1.834777,-1.281961,0.949169,-3.54026732e-04,2.43111321e-05,2.65752260e-04,-1.43704353e-05,6.32057631e-01,9.33326814e-02,1.96189356e-02,2.99983858e+00,1.54557140e-07,5.204e-16,4.441e-16
