t_s,q2_deg,q3_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_dev_angle_deg,base_pos_x_m,base_pos_y_m,base_pos_z_m,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_R1,eta_R2,eta_R3,W_joint_J,E_damp_J,abs_dP,abs_dL
0.0000,0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0200,0.00001,-0.00001,0.000000,0.000002,-0.000000,0.000002,-0.0000000,0.0000000,0.0000000,-0.000003,-0.000003,-1.17013478e-09,-6.27074026e-10,-2.95909194e-10,-1.16051992e-09,-6.23979060e-10,-2.94602544e-10,5.84421433e-11,5.84504949e-17,3.371e-16,2.233e-16
0.0400,0.00007,-0.00005,0.000000,0.000015,-0.000000,0.000015,-0.0000000,0.0000000,0.0000000,-0.000020,-0.000020,-9.28659550e-09,-4.53506710e-09,-1.12184209e-09,-9.21037483e-09,-4.51271133e-09,-1.11689869e-09,9.25801423e-10,1.26306794e-15,1.557e-16,9.164e-17
0.0600,0.00025,-0.00017,0.000000,0.000052,-0.000000,0.000052,-0.0000000,0.0000000,0.0000000,-0.000066,-0.000065,-3.10452485e-08,-1.29872416e-08,-1.30206665e-09,-3.07907756e-08,-1.29233230e-08,-1.29635620e-09,4.64015639e-09,7.22992741e-15,9.434e-16,5.250e-16
0.0800,0.00059,-0.00039,0.000000,0.000123,-0.000000,0.000123,-0.0000001,0.0000000,0.0000000,-0.000169,-0.000168,-7.27920652e-08,-2.45045491e-08,-1.69425279e-09,-7.21962136e-08,-2.43841869e-08,-1.68684301e-09,1.45185609e-08,2.36003173e-14,1.339e-16,7.118e-17
0.1000,0.00115,-0.00077,0.000000,0.000239,-0.000000,0.000239,-0.0000002,0.0000000,0.0000001,-0.000363,-0.000360,-1.40413583e-07,-3.57498523e-08,-2.44100833e-09,-1.39265876e-07,-3.55747292e-08,-2.43035290e-09,3.50905051e-08,5.75649765e-14,1.563e-15,7.999e-16
0.1200,0.00198,-0.00132,0.000000,0.000411,-0.000000,0.000411,-0.0000003,0.0000000,0.0000001,-0.000672,-0.000666,-2.39263405e-07,-4.35102510e-08,-2.54008775e-09,-2.37310643e-07,-4.32978887e-08,-2.52905194e-09,7.20315454e-08,1.21497008e-13,2.451e-15,1.222e-15
0.1400,0.00313,-0.00209,0.000001,0.000650,-0.000000,0.000650,-0.0000005,0.0000000,0.0000002,-0.001120,-0.001110,-3.74121058e-07,-4.66032591e-08,-3.03568782e-09,-3.71072085e-07,-4.63768416e-08,-3.02250836e-09,1.32099135e-07,2.36093792e-13,1.269e-15,6.188e-16
0.1600,0.00466,-0.00310,0.000001,0.000966,-0.000001,0.000966,-0.0000007,0.0000000,0.0000003,-0.001715,-0.001701,-5.49101554e-07,-4.65465088e-08,-3.68082322e-09,-5.44632825e-07,-4.63215284e-08,-3.66486989e-09,2.23071135e-07,4.27931757e-13,9.206e-16,4.400e-16
0.1800,0.00661,-0.00440,0.000002,0.001370,-0.000001,0.001370,-0.0000010,0.0000000,0.0000004,-0.002456,-0.002435,-7.67585528e-07,-4.66431208e-08,-3.74242708e-09,-7.61347320e-07,-4.64186852e-08,-3.72628445e-09,3.53683795e-07,7.26566705e-13,1.909e-15,9.012e-16
0.2000,0.00903,-0.00602,0.000002,0.001872,-0.000001,0.001872,-0.0000014,0.0000000,0.0000006,-0.003343,-0.003315,-1.03215951e-06,-5.00257613e-08,-4.31990937e-09,-1.02378271e-06,-4.97856408e-08,-4.30130666e-09,5.33575012e-07,1.16463800e-12,1.361e-15,6.347e-16
