t_s,q2_deg,q3_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_dev_angle_deg,base_pos_x_m,base_pos_y_m,base_pos_z_m,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_R1,eta_R2,eta_R3,W_joint_J,E_damp_J,abs_dP,abs_dL
0.0000,0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0200,0.00001,-0.00001,0.000000,0.000002,-0.000000,0.000000,-0.0000000,0.0000000,0.0000000,-0.000003,-0.000003,-1.17079404e-09,-6.27307930e-10,-2.95769066e-10,-1.16117378e-09,-6.24211817e-10,-2.94463036e-10,5.84791380e-11,5.84595261e-17,1.416e-21,7.393e-22
0.0400,0.00007,-0.00005,0.000000,0.000015,-0.000000,0.000015,-0.0000000,0.0000000,0.0000000,-0.000020,-0.000020,-9.28729632e-09,-4.53507974e-09,-1.12178378e-09,-9.21106994e-09,-4.51272391e-09,-1.11684064e-09,9.25838299e-10,1.26301487e-15,1.784e-20,6.200e-21
0.0600,0.00025,-0.00017,0.000000,0.000052,-0.000000,0.000052,-0.0000000,0.0000000,0.0000000,-0.000066,-0.000065,-3.10459700e-08,-1.29870429e-08,-1.30200383e-09,-3.07914913e-08,-1.29231254e-08,-1.29629366e-09,4.64019206e-09,7.22975400e-15,4.606e-21,2.467e-20
0.0800,0.00059,-0.00039,0.000000,0.000123,-0.000000,0.000123,-0.0000001,0.0000000,0.0000000,-0.000169,-0.000168,-7.27927997e-08,-2.45042533e-08,-1.69448145e-09,-7.21969422e-08,-2.43838927e-08,-1.68707066e-09,1.45185972e-08,2.36000737e-14,3.388e-20,3.395e-21
0.1000,0.00115,-0.00077,0.000000,0.000239,-0.000000,0.000239,-0.0000002,0.0000000,0.0000001,-0.000363,-0.000360,-1.40414316e-07,-3.57496198e-08,-2.44073748e-09,-1.39266603e-07,-3.55744979e-08,-2.43008326e-09,3.50905407e-08,5.75646860e-14,6.077e-20,2.468e-20
0.1200,0.00198,-0.00132,0.000000,0.000411,-0.000000,0.000411,-0.0000003,0.0000000,0.0000001,-0.000672,-0.000666,-2.39264130e-07,-4.35102160e-08,-2.54010833e-09,-2.37311363e-07,-4.32978540e-08,-2.52907241e-09,7.20315822e-08,1.21496825e-13,8.343e-20,2.423e-20
0.1400,0.00313,-0.00209,0.000001,0.000650,-0.000000,0.000650,-0.0000005,0.0000000,0.0000002,-0.001120,-0.001110,-3.74121765e-07,-4.66034356e-08,-3.03608101e-09,-3.71072787e-07,-4.63770172e-08,-3.02289983e-09,1.32099172e-07,2.36093636e-13,1.741e-19,3.396e-20
0.1600,0.00466,-0.00310,0.000001,0.000966,-0.000001,0.000966,-0.0000007,0.0000000,0.0000003,-0.001715,-0.001701,-5.49102222e-07,-4.65467945e-08,-3.68023613e-09,-5.44633488e-07,-4.63218127e-08,-3.66428541e-09,2.23071172e-07,4.27931377e-13,1.050e-19,5.987e-20
0.1800,0.00661,-0.00440,0.000002,0.001370,-0.000001,0.001370,-0.0000010,0.0000000,0.0000004,-0.002456,-0.002435,-7.67586156e-07,-4.66433521e-08,-3.74266214e-09,-7.61347943e-07,-4.64189154e-08,-3.72651845e-09,3.53683831e-07,7.26566245e-13,1.338e-19,6.194e-20
