point_id,anchor,geometry_class,mu,m_t_kg,omega_t_dps,omega_hat,lambda_scale,alpha,w_plus_dps,H_c_Nms,dT_J,eps_P,eps_H,lever_m,target_Ibar,w_plus_analytic_dps,H_analytic_Nms,delta_analytic
0,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.000000000000e-01,5.000000000000e-02,2.000000000000e-01,0.000000000000e+00,2.209670263581e-02,4.644965156750e-04,5.734899842576e-05,0.000000000000e+00,1.604438657489e-16,4.860856820767e-02,2.184721193066e-02,5.505406072339e-03,3.813057805709e-05,7.508494292982e-01
1,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.000000000000e-01,5.000000000000e-02,2.000000000000e-01,1.000000000000e+00,2.200690440142e-02,4.602368621025e-04,5.723900241685e-05,0.000000000000e+00,1.621461616263e-16,4.860856820767e-02,2.184721193066e-02,5.505406072339e-03,3.813057805709e-05,7.498327810256e-01
2,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.000000000000e-01,5.000000000000e-02,5.000000000000e-01,0.000000000000e+00,4.902704940738e-02,1.166475301496e-03,5.694001526212e-05,0.000000000000e+00,1.283150005649e-16,1.215214205192e-01,2.184721193066e-02,5.778895613005e-03,3.813057805709e-05,8.821284233324e-01
3,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.000000000000e-01,5.000000000000e-02,5.000000000000e-01,1.000000000000e+00,4.876630729149e-02,1.154601809052e-03,5.667617466834e-05,0.000000000000e+00,1.296283308668e-16,1.215214205192e-01,2.184721193066e-02,5.778895613005e-03,3.813057805709e-05,8.814981913955e-01
4,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.000000000000e-01,5.000000000000e-02,1.000000000000e+00,0.000000000000e+00,8.724659085993e-02,2.337746447655e-03,5.565948549044e-05,0.000000000000e+00,2.566022862703e-16,2.430428410384e-01,2.184721193066e-02,6.134093162480e-03,3.813057805709e-05,9.296924601635e-01
5,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.000000000000e-01,5.000000000000e-02,1.000000000000e+00,1.000000000000e+00,8.664995998051e-02,2.308623799471e-03,5.517217555384e-05,0.000000000000e+00,3.898383952009e-16,2.430428410384e-01,2.184721193066e-02,6.134093162480e-03,3.813057805709e-05,9.292083555046e-01
6,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.274274985703e-01,6.371374928516e-02,2.000000000000e-01,0.000000000000e+00,2.307648926486e-02,4.639341965912e-04,5.736848663997e-05,0.000000000000e+00,1.567057311965e-19,4.860856820767e-02,2.184721193066e-02,7.015401244120e-03,4.858884180855e-05,6.959935645496e-01
7,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.274274985703e-01,6.371374928516e-02,2.000000000000e-01,1.000000000000e+00,2.301656220565e-02,4.590674463354e-04,5.722858085696e-05,1.024094769651e-19,1.632962716857e-16,4.860856820767e-02,2.184721193066e-02,7.015401244120e-03,4.858884180855e-05,6.952020383654e-01
8,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.274274985703e-01,6.371374928516e-02,5.000000000000e-01,0.000000000000e+00,4.943024126725e-02,1.165298057136e-03,5.696029089071e-05,0.000000000000e+00,2.566444773084e-16,1.215214205192e-01,2.184721193066e-02,7.363902124642e-03,4.858884180855e-05,8.510243540017e-01
9,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.274274985703e-01,6.371374928516e-02,5.000000000000e-01,1.000000000000e+00,4.925223360612e-02,1.151987690011e-03,5.662542957919e-05,0.000000000000e+00,1.635100274865e-17,1.215214205192e-01,2.184721193066e-02,7.363902124642e-03,4.858884180855e-05,8.504859255007e-01
10,,G1_slender,5.000000000000e-02,1.200000000000e+00,1.274274985703e-01,6.371374928516e-02,1.000000000000e+00,0.000000000000e+00,8.742948141384e-02,2.336366494925e-03,5.568090183467e-05,0.000000000000e+00,2.566098252512e-16,2.430428410384e-01,2.184721193066e-02,7.816521476920e-03,4.858884180855e-05,9.105962731276e-01
