organization,title,url,retrieved_on,source_sha256,source_status
Kaiser Aluminum,"Sheet Coil and Plate Alloy 6061 Technical Data Rev 05/06",https://online.kaiseraluminum.com/depot/PublicProductInformation/Document/1015/Kaiser_Aluminum_6061_Sheet_Coil_and_Plate.pdf,2026-08-21,null,PRIMARY_PRODUCER_PUBLIC_PDF_NOT_LOCALLY_HASH_ARCHIVED
Kaiser Aluminum,"Sheet Coil and Plate Alloy 7075 Technical Data Rev 05/06",https://online.kaiseraluminum.com/depot/PublicProductInformation/Document/1017/Kaiser_Aluminum_7075_Sheet_Coil_and_Plate.pdf,2026-08-21,null,PRIMARY_PRODUCER_PUBLIC_PDF_NOT_LOCALLY_HASH_ARCHIVED
Titanium Metals Corporation TIMET,"TIMETAL 6-4 6-4 ELI and 6-4-.1Ru datasheet TMC-0150",https://www.timet.com/assets/local/documents/datasheets/alphaandbetaalloys/6-4.pdf,2026-08-21,null,PRIMARY_PRODUCER_PUBLIC_PDF_NOT_LOCALLY_HASH_ARCHIVED
NASA Technical Reports Server,"The Design and Development of the Ocean Color Instrument",https://ntrs.nasa.gov/api/citations/20180003005/downloads/20180003005.pdf,2026-08-21,null,PRIMARY_AGENCY_TECHNICAL_REPORT_CONTEXT_REFERENCE_NOT_ALLOWABLES
Toray Composite Materials America,"TORAYCA T700S Standard Modulus Carbon Fiber Data Sheet",https://www.toraycma.com/wp-content/uploads/T700S-Data-Sheet.pdf,2026-08-21,null,PRIMARY_PRODUCER_PUBLIC_PDF_NOT_LOCALLY_HASH_ARCHIVED
Hexcel Corporation,"HexPly 8552 Mid-Toughened High Strength Damage-Resistant Structural Epoxy Matrix Product Data Sheet (US)",https://www.hexcel.com/user_area/content_media/raw/HexPly_8552_us_DataSheet.pdf,2026-08-21,null,PRIMARY_PRODUCER_PUBLIC_PDF_NOT_LOCALLY_HASH_ARCHIVED
Carpenter Technology Corporation,"CarTech A-286 Alloy Technical Datasheet",https://www.carpentertechnology.com/hubfs/7407324/Material%20Saftey%20Data%20Sheets/A-286.pdf?hsLang=en,2026-08-21,null,PRIMARY_PRODUCER_PUBLIC_PDF_NOT_LOCALLY_HASH_ARCHIVED
Aircraft Materials,"Alloy A286 (AMS 5731 / AMS 5732 / AMS 5737 / AMS 5525) Technical Data Sheet",https://www.aircraftmaterials.com/data/alstst/A286.html,2026-08-21,null,DISTRIBUTOR_PUBLIC_TECHNICAL_DATA_PAGE_NOT_LOCALLY_HASH_ARCHIVED
Superior Tube (AMETEK Specialty Metal Products),"Alloys 304/304L (UNS S30400/S30403) Data Sheet V2.12.22",https://www.superiortube.com/-/media/ameteksuperiortube/files/downloads/alloy-data-sheets/alloy304l.pdf,2026-08-21,null,PRIMARY_PRODUCER_PUBLIC_PDF_NOT_LOCALLY_HASH_ARCHIVED
SAE International,"AMS 4027 Aluminum Alloy, Sheet and Plate, 1.0Mg - 0.60Si - 0.28Cu - 0.20Cr (6061; -T6 Sheet, -T651 Plate), Solution and Precipitation Heat Treated",https://www.sae.org/standards/content/ams4027/,2026-08-21,null,ISSUING_BODY_PUBLIC_CATALOG_PAGE_SPEC_TEXT_PAYWALLED_NOT_LOCALLY_HASH_ARCHIVED
