id,area,item,current_state,evidence_path,needed_input,external_dependency,target_gate_suggestion,priority,notes
GAP-IL-01,internal_layout,中舱 OBC/C&DH 设备包络与质量,"VOL-MID-OBC 仅 DESIGN_PROPOSAL：mount_plane=null、mass_owner=UNASSIGNED；V2-UNK-014 UNKNOWN_BLOCKED","20_engineering/design_inputs/v2_system_mechanical/04_subsystem_layout/V2_subsystem_volume_owner_register.yaml","OBC 选型 datasheet（包络尺寸/质量/安装孔/功耗/连接器）","外部：OBC 硬件选型与厂商 datasheet",F4R1-G-INTERNAL-LAYOUT-V1,pre_paper,"VOL_MID_OBC.SLDPRT 为占位盒（artifact_inventory.csv 第 26 行），不可作几何证据"
GAP-IL-02,internal_layout,中舱 EPS/PMAD 设备包络与质量,"VOL-MID-EPS 仅 DESIGN_PROPOSAL：mount_plane=null、mass_owner=UNASSIGNED；V2-UNK-014 UNKNOWN_BLOCKED","20_engineering/design_inputs/v2_system_mechanical/04_subsystem_layout/V2_subsystem_volume_owner_register.yaml","EPS/PMAD 选型 datasheet（包络/质量/安装/热耗）","外部：EPS 硬件选型与厂商 datasheet",F4R1-G-INTERNAL-LAYOUT-V1,pre_paper,"VOL_MID_EPS.SLDPRT 为占位盒（artifact_inventory.csv 第 25 行）"
GAP-IL-03,internal_layout,电池组包络与质量,"VOL-MID-BAT 仅 DESIGN_PROPOSAL：mount_plane=null、mass_owner=UNASSIGNED；V2-UNK-014 UNKNOWN_BLOCKED","20_engineering/design_inputs/v2_system_mechanical/04_subsystem_layout/V2_subsystem_volume_owner_register.yaml","电池组选型 datasheet（含容量/均衡与安装要求）","外部：电池硬件选型与厂商 datasheet",F4R1-G-INTERNAL-LAYOUT-V1,pre_paper,"VOL_MID_BAT.SLDPRT 为占位盒（artifact_inventory.csv 第 24 行）"
GAP-IL-04,internal_layout,ADCS（reaction wheel + IMU）包络与质量,"VOL-MID-ADCS 仅 DESIGN_PROPOSAL：mount_plane=null、mass_owner=UNASSIGNED；V2-UNK-014 UNKNOWN_BLOCKED","20_engineering/design_inputs/v2_system_mechanical/04_subsystem_layout/V2_subsystem_volume_owner_register.yaml","轮组/IMU 选型 datasheet（容量、包络、质量、安装）","外部：ADCS 硬件选型与厂商 datasheet",F4R1-G-INTERNAL-LAYOUT-V1,pre_paper,"选型受 sim_08 约束：150kg 碎片消旋 |H_c|=3.65 N·m·s = 12× 轮组容量（仓内已验证证据）；VOL_MID_ADCS.SLDPRT 为占位盒"
GAP-IL-05,internal_layout,推进系统包络（贮箱/阀/推力器）,"VOL-REAR-PROP geometry_status=UNKNOWN_BLOCKED；plume keepout 仅 owner","20_engineering/design_inputs/v2_system_mechanical/04_subsystem_layout/V2_subsystem_volume_owner_register.yaml","推进选型（贮箱容积/阀/推力器布局/管路）","外部：推进硬件选型",F4R1-G-INTERNAL-LAYOUT-V1,pre_paper,"任务级约束：sim_08 判定消旋需推力器；nozzle 目前仅为 model_specs_v0.json 占位圆柱"
GAP-IL-06,internal_layout,内部二级结构与设备安装面（deck/tray/安装孔）,"不存在：BUS_PRIMARY_STRUCTURE 自述 solid envelope proxy——no internal structure, no bays, no harness voids, no access cut-outs；BUS_PANELS DEFINED_NOT_MODELLED","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/02_PRODUCT_STRUCTURE.yaml","二级结构设计输入：载荷/材料/连接方案（V2-UNK-006）+ 布局冻结后的 CAD 授权","内部设计工作（文档级可先出方案，无需外部输入）",F4R1-G-SECONDARY-STRUCTURE-V1,pre_paper,"native 线 Equipment_Decks.stl 仅参考（ODR-03 SW 线出关键路径）；PDR-D-004 四横框+四纵梁拓扑为 DESIGN_PROPOSAL"
GAP-IL-07,internal_layout,中舱设备托盘抽取方向与维护通道,"middle-bay equipment tray 抽取方向 UNKNOWN_BLOCKED；六面板拆卸方向仅 DESIGN_PROPOSAL","20_engineering/design_inputs/v2_system_mechanical/04_subsystem_layout/V2_serviceability_and_keepout_plan.md","连接器/线束/紧固约束（V2-UNK-015/016）+ 内部布局冻结","内部（依赖 GAP-IL-01..06 布局先行）",F4R1-G-SERVICEABILITY-V1,post_paper,"无 clearance/工具数据前只能称 SERVICEABILITY_PROPOSAL"
GAP-IL-08,internal_layout,12U 外廓 340.5 vs 366.0 mm 未调和,"HOLD_NEUTRAL_PROXY_BUS_LENGTH_340P5_VS_NATIVE_V2_2_366P0_MM_UNRECONCILED；V2-UNK-001 UNKNOWN_BLOCKED","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/02_PRODUCT_STRUCTURE.yaml","CDS 标准核对与外廓裁决（含 rail/tab 接口 V2-UNK-002/003）","外部：CDS 标准文本与发放方接口",F4R1-G-ENVELOPE-V1,post_paper,"影响发射合规声明与前舱面附近一切 x 坐标的模型归属"
GAP-MA-01,mass,内部设备质量行（OBC/EPS/BAT/ADCS/推进/通信/热/线束共 9 行）,"R2 设计质量账本 9 构型无内部设备行（C01 31.022864807342987 kg 中 bus 为包络 proxy）；V2 台账 9 行 subsystem placeholder 全 UNKNOWN_BLOCKED / not included in current total","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V3_R2.yaml","各设备选型质量与不确定度（datasheet 或称重），按 V3_R2 行项目格式新增内部设备行","外部：设备选型（同 GAP-IL-01..05）",F4R1-G-MASS-V1,pre_paper,"行项目组织方式与 checks/no_zero_fill 纪律可从 V3_R2 直接继承；台账格式见 V2_mass_ownership_table.csv"
GAP-MA-02,mass,as-built 质量/质心/惯量计量,"as_built_metrology: HOLD_EXTERNAL_MEASUREMENT_PENDING；M3R 亦 AS_INSTALLED_METROLOGY_HOLD_EXTERNAL","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/07_SYSTEM_MASS_PROPERTIES.yaml","实物称重 + 质心/扭摆惯量实测，替换 DESIGN_MODEL 候选值","外部：硬件实物与计量设备",F4R1-G-ASBUILT-MASS-V1,post_paper,"V2-UNK-007/008 同源；零填充禁止（DESIGN_CONTACT_MODEL 同纪律）"
GAP-PA-01,panel,帆板面密度/质量占位（0.3483933 kg/板 SSOT）,"占位：均匀密度份额（隐含 7.67 kg/m²），SSOT 文件自述真实帆板典型 2–5 kg/m²；R2 候选 3.0 kg/m²、0.78 kg/翼、NOT measured；两线差约 2.24×","20_engineering/config/geometry/flexible_appendage_v1.yaml","真实帆板面密度（选型 datasheet 或文献）→ 更新 SSOT 与 R2 质量模型 → 重跑 sim_11 全场景与 Gate","外部：帆板选型 datasheet / 文献（杨恒数值案例）",F4R1-G-PANEL-MASS-V1,pre_paper,"根 AGENTS.md 待办 3 判为论文最大硬伤、优先级最高；A1 柔性反馈可忽略结论在真实参数下可能翻转；辅证 SOLAR_ARRAY_R2_MASS_PROPERTIES_V1.json"
GAP-PA-02,panel,帆板模态参数占位（f1=1.0 Hz 指派、zeta 0.005、EI 包络）,"PROVISIONAL：一阶频率指派法（0.7/1.0/1.3 Hz 包络），无实测/FEM；R2 ROM 的 EI/GJ/k_theta/zeta 为 PROVISIONAL_DERIVED bounded intervals，latch stiffness null","20_engineering/config/coupled_scene/coupled_model_v0.yaml","实测/FEM 模态或选型结构参数 → 替换 provisional_fields → 重过 E23 级交叉求解重认证","外部：硬件实测 / FEM / 杨恒数值案例",F4R1-G-PANEL-MODAL-V1,pre_paper,"provisional_fields 五项已明列；R2 七模态 ROM（13_R2_FLEX_MODEL.yaml）可直接消费新参数"
GAP-PA-03,panel,帆板收拢几何与铰链/止动/锁存硬件选型,"STOWED_GEOMETRY_HOLD、HINGE_KINEMATICS_HOLD；latch 硬件未选（PROVISIONAL_DERIVED）；收拢突出侧面 9.5 mm HOLD vs 6.5 mm 规则","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/02_PRODUCT_STRUCTURE.yaml","铰链/弹簧/阻尼器/止动材料与锁存件选型 + 收拢突出合规裁决","外部：机构件选型",F4R1-G-PANEL-MECHANISM-V1,post_paper,"分析账本已闭合（SOLAR_R2_MECHANISM_ANALYTICAL_LEDGER_V1.yaml，铰 2 控制 0.24 J/480 N）；R1 预载裕度不继承"
GAP-IF-01,interface,T_c=20 ms 接触窗实测,"PROVISIONAL 占位：T_c_ms_nominal=20.0（扫掠 5–100 ms 已做）；DESIGN_CONTACT_MODEL_V1 as_built=null MEASUREMENT_PENDING，零填充禁止","20_engineering/config/coupled_scene/scene_A2_capture.yaml","B601 夹爪闭合时间实测 → 替换 T_c_ms_nominal → 重跑带宽口径 Gate（sim_11 全场景）","外部：硬件组夹爪实测（根 AGENTS.md 待办 2）",F4R1-G-CONTACT-TC-V1,pre_paper,"接触模型其余参数为 LITERATURE_ANALOG、confidence LOW，辅证 DESIGN_CONTACT_MODEL_V1.yaml"
