kc_id,characteristic,definition_source,design_value,unit,measurement_method,acceptance_criterion_candidate,criterion_class,linked_requirements,linked_drawing,evidence_or_contract_path,status,witness_required
KC-01,"M3R arm-side 4x M4-class pattern: 64x64 mm square, PCD, clocking, pattern centre",M3R_STAGE_A_PARAMETER_TABLE.yaml A-011..A-014,"64 x 64; PCD 90.509642; clocking 25.000014 deg; centre YZ (0.015994151, -0.086366070)",mm / deg,CMM pattern measurement on as-machined Stage A + B601 base readback,position per drawing tolerance scheme PENDING_SIBLING_HASH,CRITERION_CANDIDATE_PENDING_WP3,MSR-STR-006; MSR-INT-010,D05,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp3_tolerance_alloc/DRAWING_TOLERANCE_SCHEME_V1.csv PENDING_SIBLING_HASH,DESIGN_DEFINED__HARDWARE_MEASUREMENT_HOLD,W
KC-02,Axial station stack 185.25 / 196.0 / 198.0 / 208.0 / 210.405,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp6_drawings_bom/INTERFACE_STATION_SCHEDULE_V2.csv,185.25; 196.0; 198.0; 208.0; 210.405,mm,CMM axial stations from bus +X datum,station tolerance per scheme PENDING_SIBLING_HASH,CRITERION_CANDIDATE_PENDING_WP3,MSR-INT-010; MSR-STR-006,D08,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp1_load_bridge/LOAD_BRIDGE_DATUMS_V1.yaml,DESIGN_DEFINED__HARDWARE_MEASUREMENT_HOLD,W
KC-03,B601–M3R worst-case minimum radial clearance,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp3_tolerance/INTERFACE_STACKUP_B601_M3R_EXECUTED_V1.yaml,0.101015357,mm,component metrology + WC stackup recompute (design); feeler/pin check on hardware,WC min radial clearance >= 0 retained; numeric criterion per scheme PENDING_SIBLING_HASH,CRITERION_CANDIDATE_PENDING_WP3,MSR-STR-006; MSR-INT-011,D05; D08,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp3_tolerance/INTERFACE_STACKUP_B601_M3R_EXECUTED_V1.yaml,DESIGN_WC_EVIDENCE_EXISTS__HARDWARE_HOLD,W
KC-04,Stage A↔B spigot fit (dia 99.6),M3R_STAGE_A_PARAMETER_TABLE.yaml A-005; M6 stackup,spigot dia 99.6; WC clearance 0.206,mm,CMM bore/plug measurement,WC 0.206 mm band retained; fit class per scheme PENDING_SIBLING_HASH,CRITERION_CANDIDATE_PENDING_WP3,MSR-STR-006; MSR-STR-008,D05; D06,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp3_tolerance/INTERFACE_STACKUP_B601_M3R_EXECUTED_V1.yaml,DESIGN_WC_EVIDENCE_EXISTS__FIT_INSPECTION_HOLD,W
KC-05,Stage A annular skirt fit (ID 100.6 vs pocket OD 150.4 / ID 100.0),M3R_STAGE_A_PARAMETER_TABLE.yaml A-006; M3R_STAGE_B_PARAMETER_TABLE.yaml B-007/008; M6 stackup,skirt WC 0.207,mm,CMM annular features,WC 0.207 mm band retained; criterion per scheme PENDING_SIBLING_HASH,CRITERION_CANDIDATE_PENDING_WP3,MSR-STR-006; MSR-STR-008,D05; D06,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp3_tolerance/INTERFACE_STACKUP_B601_M3R_EXECUTED_V1.yaml,DESIGN_WC_EVIDENCE_EXISTS__FIT_INSPECTION_HOLD,W
KC-06,"Clocking dowel pair @ local (55.0, 0.0): dia 4.1 clearance (A) vs dia 4.0 x 5.5 blind (B)",M3R_STAGE_A_PARAMETER_TABLE.yaml A-019/020; M3R_STAGE_B_PARAMETER_TABLE.yaml B-019..021,dowel clocking WC 1.8909e-3,rad,pin gauge + CMM; insertion/removal trial (hardware),fit class + clocking criterion per PENDING_SIBLING_HASH WP3 chains / WP4 schedule,CRITERION_CANDIDATE_PENDING_WP3_WP4,MSR-STR-008,D05; D06,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp3_tolerance_alloc/TOLERANCE_CHAIN_REGISTER_V1.yaml PENDING_SIBLING_HASH,CANDIDATE_FEATURE__FIT_HOLD_RETAINED,W
KC-07,Hinge deployment tip sensitivity,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp3_tolerance/HINGE_DEPLOYMENT_CHAIN_EXECUTED_V1.yaml,0.2,mm/mrad,angular readback + tip displacement measurement (design chain executed M6),deployment tip error budget per hinge pack PENDING_SIBLING_HASH,CRITERION_CANDIDATE_PENDING_WP5,MSR-MEC-007,D08,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp5_mechanisms/SOLAR_HINGE_DEPLOYMENT_PACK_V1.yaml PENDING_SIBLING_HASH,DESIGN_CHAIN_EXECUTED__QUALIFICATION_HOLD,W
KC-08,"Load bridge plate: 160x160 R4, thickness 10.75, 4x dia 6.6 @ (±70,±70), centre dia 40, ligament",20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp1_load_bridge/LOAD_BRIDGE_DATUMS_V1.yaml,160 x 160 R4; 10.75; dia 6.6 x4; dia 40; ligament 6.7 nominal,mm,CMM plate metrology,"hole position / flatness per scheme PENDING_SIBLING_HASH; ligament is nominal geometry, not a WC margin",CRITERION_CANDIDATE_PENDING_WP3,MSR-STR-006; MSR-INT-011,D06; D08,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp1_load_bridge/LOAD_BRIDGE_DATUMS_V1.yaml,CANDIDATE_GEOMETRY__HARDWARE_MEASUREMENT_HOLD,W
KC-09,Gripper R1 stroke 0–71.5 mm internal zero-overlap,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_GEOMETRY_VALIDATION.json,stroke 71.5; samples 144 @ 0.5; overlap 0,mm,design: neutral sweep PASS (hash-bound); hardware: stroke metrology + contact witness,hardware criterion per gripper pack PENDING_SIBLING_HASH,DESIGN_PASS__HARDWARE_CRITERION_PENDING_WP5,MSR-MEC-001; MSR-MEC-005,D07,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp5_mechanisms/GRIPPER_ENGINEERING_PACK_V1.yaml PENDING_SIBLING_HASH,DESIGN_PASS_EVIDENCE__HARDWARE_HOLD,W
KC-10,B601 as-built screw-end plane preservation x=210.405,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_TSM_PHYSICAL_STACK.yaml (via M6 schedule),210.405,mm,depth micrometer / CMM on assembled joint,end-plane datum retained; tolerance per scheme PENDING_SIBLING_HASH,CRITERION_CANDIDATE_PENDING_WP3,MSR-STR-006; MSR-STR-007,D05; D08,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp6_drawings_bom/INTERFACE_STATION_SCHEDULE_V2.csv,DESIGN_DEFINED__HARDWARE_MEASUREMENT_HOLD,W
