item_id,quantity,assembly_item,component_or_slot,geometry_source,geometry_status,material,supplier_or_vendor,mass,tolerance,finish,fasteners,procurement_status,release_hold,candidate_asset_path,v2_row_disposition,material_design_binding,mass_design_value,mass_design_class,mass_design_binding,fastener_design_binding,v3_row_disposition,v3_note
DP-001,1,12U bus core,INST_BUS_12U_CORE,model_specs_v0.json analytic primitives,block proxy with legacy flange,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_A_PROCUREMENT_BOM,internal structure and load bridge unknown,NONE,CARRIED_FROM_V1,PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp6_material_selection/DESIGN_MATERIAL_SELECTION_V1.yaml (BUS_PRIMARY_STRUCTURE selection),"23.303213400000 kg = 22.927194215348 bus-core diagnostic (no panels, no legacy flange) + 0.376019184652 legacy-flange diagnostic assigned to BUS_PRIMARY_STRUCTURE with declared uncertainty",DESIGN_DIAGNOSTIC_CONTRACT_VALUE,M7_EXECUTION_PLAN_V1 contract values; aggregation PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V1.yaml,NOT_APPLICABLE,MASS_BOUND_TO_CONTRACT__MATERIAL_PENDING_WP6,Design diagnostic mass only; not as-built (MSR-STR-002 EXTERNAL_HOLD). NOT_A_PROCUREMENT_BOM. Internal structure HOLD retained.
DP-002,1,left solar array,INST_SOLAR_ARRAY_LEFT_DEPLOYED,model_specs_v0.json box primitive,deployed proxy only,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_A_PROCUREMENT_BOM,stowed geometry and hinge kinematics unknown,NONE,CARRIED_FROM_V1,PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp6_material_selection/DESIGN_MATERIAL_SELECTION_V1.yaml (SOLAR_PANEL selection),0.3483933 kg (panel box 0.227 x 0.200 x 0.006 m),CONTRACT_VALUE,M7_EXECUTION_PLAN_V1 contract value; nine-config aggregation PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V1.yaml,NOT_APPLICABLE,MASS_BOUND_TO_CONTRACT__STOWED_GEOMETRY_HOLD_RETAINED,Stowed geometry / hinge kinematics: PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/PRODUCT_STRUCTURE_V1.yaml and 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp5_mechanisms/SOLAR_HINGE_DEPLOYMENT_PACK_V1.yaml. Mechanism qualification TEST_REQUIRED_HOLD (MSR-MEC-007).
DP-003,1,right solar array,INST_SOLAR_ARRAY_RIGHT_DEPLOYED,model_specs_v0.json box primitive,deployed proxy only,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_A_PROCUREMENT_BOM,stowed geometry and hinge kinematics unknown,NONE,CARRIED_FROM_V1,PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp6_material_selection/DESIGN_MATERIAL_SELECTION_V1.yaml (SOLAR_PANEL selection),0.3483933 kg (panel box 0.227 x 0.200 x 0.006 m),CONTRACT_VALUE,M7_EXECUTION_PLAN_V1 contract value; nine-config aggregation PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V1.yaml,NOT_APPLICABLE,MASS_BOUND_TO_CONTRACT__STOWED_GEOMETRY_HOLD_RETAINED,"Same bindings as DP-002. Panel failure semantics attached-stuck, never jettison (ODR-02)."
DP-004,1,B601 arm system,INST_B601_ARM_CORE_Q0,B601_KINEMATIC_ASSEMBLY_Q0_WITNESS.step,frame and axis witness only,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_A_PROCUREMENT_BOM,physical arm B-rep and fitup unknown,NONE,CARRIED_FROM_V1,NOT_APPLICABLE_L0_AUTHORITY (vendor product; no WP6 material substitution),4.695555949342986 kg,ACCEPTED_URDF_L0,20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf SHA-256 pinned in receipt; never overridden (MSR-STR-001); design-mass use via PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V1.yaml,arm-to-Stage-A group = DP-012,L0_MASS_AUTHORITY_RETAINED,Physical B-rep / fitup HOLD retained; WP1 design-freeze assembly is the design-level placement authority.
DP-005,1,M3R Stage A ring,INST_M3R_INTERFACE_ASSEMBLY,M3R_INTERFACE_ASSEMBLY_V2_WORKING.step,working combined B-rep stage component,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_RELEASED,fitup material tolerance and fastener authority unknown,NONE,CARRIED_FROM_V1,PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp6_material_selection/DESIGN_MATERIAL_SELECTION_V1.yaml (M3R_STAGE_A; AL6061-T6 candidate per M3R_STAGE_A_PARAMETER_TABLE.yaml A-021),PART_OF_M3R_TOTAL 0.7619 kg DESIGN_BUDGET conf B (ODR-05); stage split PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V1.yaml,DESIGN_BUDGET_ODR05__STAGE_SPLIT_PENDING_WP2,ODR-05 + M7_EXECUTION_PLAN_V1 contract; inactive material-derived comparison 345.018961 g NOT used,PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp4_fastener_design/M3R_FASTENER_DESIGN_V1.yaml,MATERIAL_BOUND_PENDING_WP6__MASS_BOUND_ODR05__TOLERANCE_PENDING_WP3,Drawing D05_STAGE_A (this WP). Tolerances PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp3_tolerance_alloc/DRAWING_TOLERANCE_SCHEME_V1.csv. Fitup HOLD retained (MSR-INT-011).
DP-006,1,M3R Stage B load diffusion plate,INST_M3R_INTERFACE_ASSEMBLY,M3R_INTERFACE_ASSEMBLY_V2_WORKING.step,working combined B-rep stage component,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_RELEASED,load bridge fitup material tolerance and fastener authority unknown,NONE,CARRIED_FROM_V1,PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp6_material_selection/DESIGN_MATERIAL_SELECTION_V1.yaml (M3R_STAGE_B; AL6061-T6 candidate per M3R_STAGE_B_PARAMETER_TABLE.yaml B-022),PART_OF_M3R_TOTAL 0.7619 kg DESIGN_BUDGET conf B (ODR-05); stage split PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V1.yaml,DESIGN_BUDGET_ODR05__STAGE_SPLIT_PENDING_WP2,ODR-05 + M7_EXECUTION_PLAN_V1 contract; inactive material-derived comparison 437.308287 g NOT used,interstage 8xM5 → PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp4_fastener_design/FASTENER_SCHEDULE_V1.csv; bridge-side 4xM6 → PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp4_fastener_design/FASTENER_SCHEDULE_V1.csv,MATERIAL_BOUND_PENDING_WP6__MASS_BOUND_ODR05__TOLERANCE_PENDING_WP3,Drawing D06_STAGE_B (this WP). Live mating bridge geometry carried as M6 candidate; WP1 owns authority.
DP-007,1,spacecraft to M3R load bridge,SLOT_SPACECRAFT_LOAD_BRIDGE__UNRESOLVED,no authorized geometry,CANDIDATE_GEOMETRY_PENDING_WP1,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,HARD_HOLD,structural load path discontinuity,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp1_load_bridge/ (candidate geometry and datums pending WP1),UPGRADED_TO_CANDIDATE_GEOMETRY_STATUS,PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp6_material_selection/DESIGN_MATERIAL_SELECTION_V1.yaml (LOAD_BRIDGE; 6061-T6 2700 kg/m3 candidate per M6 LOAD_BRIDGE_DATUMS_V1.yaml),"0.702195458 kg (160x160x10.75 mm plate, 4x dia 6.6 @ (±70,±70), centre dia 40)",MATERIAL_DERIVED_CANDIDATE_NOT_HARDWARE_MASS,"20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp1_load_bridge/LOAD_BRIDGE_DATUMS_V1.yaml (measured:false, installed:false); design confirmation PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/DESIGN_FREEZE_ASSEMBLY_V1.step",4x M6 class co-bore candidate → PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp4_fastener_design/FASTENER_SCHEDULE_V1.csv,HARD_HOLD_RETAINED__CANDIDATE_CARRIED__BINDINGS_PENDING,Bus-side anchor pattern HOLD (no authorized bus mating pattern); structural load path continuity HOLD; candidate ≠ authority.
DP-008,1,gripper R1 palm,INST_GRIPPER_R1_PALM,B601_GRIPPER_PALM_RAIL_SLOT_R1.step,palm-only working B-rep,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_RELEASED,finger contact structural and manufacturing clearance unknown,NONE,CARRIED_FROM_V1,PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp6_material_selection/DESIGN_MATERIAL_SELECTION_V1.yaml (GRIPPER_R1 selection),COVERED_BY_DP-004_L0__NO_SEPARATE_VALUE,NO_ZERO_FILL,B601 L0 URDF mass covers arm system incl. gripper envelope; no separate part mass asserted,gripper fasteners TBD → PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp4_fastener_design/FASTENER_SCHEDULE_V1.csv; engineering pack PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp5_mechanisms/GRIPPER_ENGINEERING_PACK_V1.yaml,NOT_RELEASED_RETAINED__BINDINGS_PENDING,Neutral R1 sweep PASS (MSR-MEC-001); manufacturing clearance / min-wall EXTERNAL_HOLD (MSR-MEC-003/004).
DP-009,1 set,gripper R1 separated fingers,SLOT_GRIPPER_R1_FINGERS__UNRESOLVED,no valid separated B-reps,absent,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,HARD_HOLD,contact geometry and pregrasp state unknown,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/assets/b601_link_local_surfaces/B601_GRIPPER_R1_LEFT_FINGER_GRIPPER_LINK_LOCAL_M.ply; 20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/assets/b601_link_local_surfaces/B601_GRIPPER_R1_RIGHT_FINGER_GRIPPER_LINK_LOCAL_M.ply (diagnostic link-local surface meshes; not separated B-reps),CARRIED_FROM_V1_WITH_CANDIDATE_PATH,NONE__HARD_HOLD_RETAINED,COVERED_BY_DP-004_L0__NO_SEPARATE_VALUE,NO_ZERO_FILL,NONE,NONE__HARD_HOLD_RETAINED,HARD_HOLD_RETAINED_NO_BINDING,Diagnostic .ply surfaces are not working B-reps; no design binding created in M7 WP9.
DP-010,1,sensor package,SLOT_SENSOR_PACKAGE__UNRESOLVED,model_specs_v0.json rejected camera placeholder,source available but not installed,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,HARD_HOLD,source pose penetrates M3R and replacement pose is not authorized,NONE__NO_M5_OR_M6_CANDIDATE_ASSET,CARRIED_FROM_V1,NONE__SELECTION_HOLD (MSR-MEC-009),UNSPECIFIED_HOLD,NO_ZERO_FILL,NONE,"mount fasteners TBD after camera selection; keep-out/support candidates PENDING_SIBLING_HASH 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/KEEP_OUT_REGISTER_V1.yaml, 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp1_structure_cad/SUPPORT_AND_BRACKET_CANDIDATES_V1.yaml",HARD_HOLD_RETAINED_NO_BINDING,"Camera product selection, mount, alignment, hand-eye calibration HOLD (MSR-MEC-009). D07 carries no camera route authority."
