class,path,bytes,sha256
BOUNDARY_SOURCE,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/sim13_versioned_rebind_boundary_v2/SIM13_VERSIONED_REBIND_BOUNDARY_V2.yaml,16559,0074F8B6AB4B0D2BFE7609752DB54601047E45E608F24791CC42C77435D7FC41
BOUNDARY_SOURCE,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/sim13_versioned_rebind_boundary_v2/MECH_RL_SYSTEM_INTERFACE_V2_SCHEMA_DEFINITION.yaml,5138,F71C1AC1BC70579B6041A7774234EE1BB19230E16F9D3A32AB8C485ABBB79D94
BOUNDARY_SOURCE,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/sim13_versioned_rebind_boundary_v2/validate_sim13_versioned_rebind_boundary_v2.py,32916,33071359A26C7357D90EB1D987F267C599804840F5FEA624FC3205D7A82E15F1
BOUNDARY_DERIVED,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/sim13_versioned_rebind_boundary_v2/SIM13_VERSIONED_REBIND_BOUNDARY_VALIDATION_V2.json,62870,BAC5FC7AF0D7C6B2D0CEA34C9BCA624DF3DB371A2F47318B73A5035F292EFD4F
BOUNDARY_DERIVED,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/sim13_versioned_rebind_boundary_v2/SIM13_VERSIONED_REBIND_BOUNDARY_GATE_V2.json,1290,9512D0D8AB0B99AEDDEEB128CC31A7018B3C2C2B563C40FDC5BBC4AB083162E5
BOUNDARY_DERIVED,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/sim13_versioned_rebind_boundary_v2/SIM13_VERSIONED_REBIND_BOUNDARY_RECEIPT_V2.md,935,AE6A0AC901CD87332AFA85A1C84203CE884F96C1571FAC80236F9FCE7E10A3A9
PINNED_INPUT,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/source_only_v2/UNIFIED_R2_URDF_SOURCE_GATE_V2.json,864,62BF5F629DEA904D63115EEE5FE7DB718A5B5EDE73B5A78B1EBFE36BC1314D7F
PINNED_INPUT,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/source_only_v2/UNIFIED_R2_URDF_SOURCE_STATIC_VALIDATION_V2.json,438006,97DFEBD815C53EC2A04A43DBF2445508D2AC1FFAA1BAD73EBA91EF3BFD8CB0EF
PINNED_INPUT,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/source_only_v2/UNIFIED_R2_URDF_SOURCE_SHA256_V2.csv,2229,291A03A1524100178252F4D6F70FF67F47E811B90C0308EEDA205FAF8A1446AB
PINNED_INPUT,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/09_downstream_rebind/SIM13_CURRENT_MECHANICAL_BINDING_AUDIT_GATE_V1.json,6345,7FD3C63AF46BE4BA3055CCF87EFD1A71C13517EC872B1F3EDC52304B070D9153
PINNED_INPUT,30_simulation/sim_13_physics_gated_embodied_grasping/evidence/SIM13_SOURCE_MANIFEST.json,1912,AFE4165600C740D4B0292644BEFBD6A013A98AC42B91467CC5C17FB6279A05CF
PINNED_INPUT,30_simulation/sim_13_physics_gated_embodied_grasping/config/sim13_bootstrap.json,647,4624C5BA2A016A002531FCF6FB6EFD661AA488D6C9420197789263D4B0E42B8D
PINNED_INPUT,30_simulation/sim_13_physics_gated_embodied_grasping/src/mechanical_asset_loader.py,23753,C0797E5786888E357784369F6601B380C4E94FAE76B3FBFCF4C46717A833E851
PINNED_INPUT,30_simulation/sim_13_physics_gated_embodied_grasping/src/env.py,6963,CC4EBCD46E8FDAC75E75D86C826E60EF46A12D848AA7114B986D1C5D31501F9D
PINNED_INPUT,30_simulation/sim_13_physics_gated_embodied_grasping/src/observation.py,3715,FAFB189460BF72A853F7C5F631E630E8368987D04931DDAB5F72F03780A26DC6
PINNED_INPUT,30_simulation/sim_13_physics_gated_embodied_grasping/src/physics_backend.py,6182,674F103E183D4602E8741D522B7D2747573F012F713F7CA6283C440547558D7A
PINNED_INPUT,30_simulation/sim_13_physics_gated_embodied_grasping/src/action_mask.py,2978,5D7FB15C5425A5CFC131786BCBD15E82EEC516DE2B4CA297967B87BA8C95FA43
PINNED_INPUT,30_simulation/sim_13_physics_gated_embodied_grasping/src/__init__.py,168,4150E79CC15D52F9FA12CAB5E963BB168DD7774578CF2EE0A6F788154E5B497C
PINNED_INPUT,30_simulation/sim_13_physics_gated_embodied_grasping/src/action_space.py,4197,86657E6B17A67342D7BB688353DBDFDBFA0B7C4DC871486B5AE69B8BBAE948B6
