rail_gap_candidate_mm,stroke_mm,neutral_overlap_upper_bound_mm3,margin_mm,verdict
0.05,0.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,0.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,1.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,1.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,2.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,2.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,3.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,3.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,4.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,4.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,5.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,5.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,6.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,6.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,7.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,7.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,8.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,8.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,9.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,9.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,10.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,10.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,11.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,11.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,12.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,12.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,13.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,13.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,14.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,14.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,15.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,15.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,16.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,16.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,17.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,17.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,18.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,18.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,19.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,19.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,20.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,20.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,21.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,21.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,22.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,22.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,23.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,23.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,24.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,24.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,25.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,25.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,26.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,26.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,27.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,27.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,28.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,28.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,29.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,29.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,30.000000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
0.05,30.500000,0.000000,0.050000,PASS_NEUTRAL_GEOMETRY_ONLY
