2026-08-03T04:09:31.6782371Z S04B_START
2026-08-03T04:09:31.7303094Z COLD_REOPEN_BEGIN base_link
2026-08-03T04:09:46.3375826Z COLD_REOPEN_PASS base_link
2026-08-03T04:09:46.3387821Z COLD_REOPEN_BEGIN link1
2026-08-03T04:09:59.8347292Z COLD_REOPEN_PASS link1
2026-08-03T04:09:59.8357375Z COLD_REOPEN_BEGIN link2
2026-08-03T04:10:13.2236486Z COLD_REOPEN_PASS link2
2026-08-03T04:10:13.2246498Z COLD_REOPEN_BEGIN link3
2026-08-03T04:10:26.4349582Z COLD_REOPEN_PASS link3
2026-08-03T04:10:26.4349582Z COLD_REOPEN_BEGIN link4
2026-08-03T04:10:39.6279660Z COLD_REOPEN_PASS link4
2026-08-03T04:10:39.6289576Z COLD_REOPEN_BEGIN link5
2026-08-03T04:10:52.8568096Z COLD_REOPEN_PASS link5
2026-08-03T04:10:52.8568096Z COLD_REOPEN_BEGIN link6
2026-08-03T04:11:06.2355936Z COLD_REOPEN_PASS link6
2026-08-03T04:11:06.2365999Z COLD_REOPEN_BEGIN gripper_link
2026-08-03T04:11:21.6628054Z COLD_REOPEN_PASS gripper_link
2026-08-03T04:11:21.6638034Z COLD_REOPEN_BEGIN gripper_left
2026-08-03T04:11:33.2924001Z COLD_REOPEN_PASS gripper_left
2026-08-03T04:11:33.2933962Z COLD_REOPEN_BEGIN gripper_right
2026-08-03T04:11:45.0723079Z COLD_REOPEN_PASS gripper_right
2026-08-03T04:11:53.9088014Z S04B_PASS
