id,owner,legacy_mass_kg,readback_default_mass_kg,readback_default_minus_legacy_kg,primary_mass_kg,primary_minus_legacy_kg,primary_method,comparison_integral_mass_kg,comparison_integral_minus_default_kg,default_vs_comparison_volume_relative_difference,source_index
MIPS_CRADLE_B,PROPULSION_MOUNTING_KIT,0.09901717171281933,0.09901717171281928,-5.551115123125783e-17,0.09901717171281924,-9.71445146547012e-17,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,0.09901717171281924,-3.92901711165905e-17,3.968015894308139e-16,0
MIPS_INTERFACE_SHIM_-1_0,PROPULSION_MOUNTING_KIT,2.054837214896742e-05,2.05483721489679e-05,4.777265822514254e-19,2.0548372148967838e-05,4.1674021004911577e-19,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,2.0548372148967838e-05,-6.235012506294879e-20,3.034309706429991e-15,1
MIPS_INTERFACE_SHIM_-1_1,PROPULSION_MOUNTING_KIT,2.054837214896744e-05,2.0548372148967913e-05,4.743384504624082e-19,2.054837214896784e-05,4.0318768289304696e-19,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,2.054837214896784e-05,-6.954437026251981e-20,3.3844223648642195e-15,2
MIPS_INTERFACE_SHIM_1_0,PROPULSION_MOUNTING_KIT,2.054837214896742e-05,2.05483721489679e-05,4.777265822514254e-19,2.0548372148967825e-05,4.0318768289304696e-19,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,2.0548372148967825e-05,-7.673861546209082e-20,3.7345350232984525e-15,3
MIPS_INTERFACE_SHIM_1_1,PROPULSION_MOUNTING_KIT,2.054837214896744e-05,2.0548372148967913e-05,4.743384504624082e-19,2.054837214896784e-05,4.0318768289304696e-19,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,2.054837214896784e-05,-6.954437026251981e-20,3.3844223648642195e-15,4
P60_HOST_0_POST,P60_MOUNTING_KIT,0.006838981742285754,0.006838981742285906,1.5265566588595902e-16,0.0068389817422858925,1.3877787807814457e-16,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,0.0068389817422858925,-1.3505996321327986e-17,1.9748548585558407e-15,5
P60_HOST_1_POST,P60_MOUNTING_KIT,0.006838981742285751,0.006838981742285902,1.5092094240998222e-16,0.0068389817422858865,1.3530843112619095e-16,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,0.0068389817422858865,-1.4733814168721438e-17,2.1543871184245556e-15,6
P60_HOST_2_POST,P60_MOUNTING_KIT,0.006838981742285754,0.006838981742285902,1.48318857196017e-16,0.006838981742285892,1.3791051634015616e-16,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,0.006838981742285892,-9.822542779147625e-18,1.4362580789497026e-15,7
P60_HOST_3_POST,P60_MOUNTING_KIT,0.00683898174228575,0.006838981742285897,1.465841337200402e-16,0.006838981742285886,1.3530843112619095e-16,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,0.006838981742285886,-1.105036062654108e-17,1.615790338818417e-15,8
P60_TRAY_B,P60_MOUNTING_KIT,0.06813548922019229,0.06813548922019232,2.7755575615628914e-17,0.06813548922019232,2.7755575615628914e-17,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,0.06813548922019232,0.0,0.0,9
POST_DUAL_0,HARNESS_RESTRAINT_HARDWARE,0.013059476568062951,0.013059476568063243,2.914335439641036e-16,0.013059476568063208,2.5673907444456745e-16,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,0.013059476568063208,-3.437889972701669e-17,2.632486803574492e-15,10
POST_DUAL_1,HARNESS_RESTRAINT_HARDWARE,0.013059476568062948,0.013059476568063243,2.949029909160572e-16,0.013059476568063208,2.6020852139652106e-16,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,0.013059476568063208,-3.437889972701669e-17,2.632486803574492e-15,11
POST_PWR_0,HARNESS_RESTRAINT_HARDWARE,0.013059476568062953,0.013059476568063237,2.8449465006019636e-16,0.013059476568063211,2.5847379792054426e-16,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,0.013059476568063211,-2.9467628337442876e-17,2.256417260206707e-15,12
POST_PWR_1,HARNESS_RESTRAINT_HARDWARE,0.013059476568062951,0.013059476568063237,2.8622937353617317e-16,0.013059476568063208,2.5673907444456745e-16,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,0.013059476568063208,-3.192326403222978e-17,2.4444520318905996e-15,13
R01_D_lower_-1_-150_nut,R01_EQUIPMENT_FASTENER_KIT,0.0003603844252850637,0.0003603844252850637,0.0,0.0003603844252850636,-5.421010862427522e-20,GAUSS_KRONROD_EPS1E9_FULL_COM_AND_INERTIA,0.0003603844252850636,-5.577760475716786e-20,1.5477251746672418e-16,14
R01_D_lower_-1_-150_screw,R01_EQUIPMENT_FASTENER_KIT,0.0011606105161033218,0.001160610516103322,2.168404344971009e-19,0.001160610516103322,2.168404344971009e-19,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,0.0011606105161032826,-3.949054416807485e-17,3.402566461370973e-14,15
R01_D_lower_-1_-150_washer_head,R01_EQUIPMENT_FASTENER_KIT,7.94100375047909e-05,7.94100375047909e-05,0.0,7.94100375047909e-05,0.0,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,7.941003750478915e-05,-1.743050148661496e-18,2.1949997801680596e-14,16
R01_D_lower_-1_-150_washer_nut,R01_EQUIPMENT_FASTENER_KIT,7.94100375047909e-05,7.94100375047909e-05,0.0,7.94100375047909e-05,0.0,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,7.941003750478916e-05,-1.7291057474722037e-18,2.177439781926715e-14,17
R01_D_lower_-1_-50_nut,R01_EQUIPMENT_FASTENER_KIT,0.00036038442528506335,0.00036038442528506335,0.0,0.00036038442528506335,0.0,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,0.00036038442528506844,5.0757620329022756e-18,1.408429908947171e-14,18
R01_D_lower_-1_-50_screw,R01_EQUIPMENT_FASTENER_KIT,0.0011606105161033216,0.0011606105161033218,2.168404344971009e-19,0.0011606105161033218,2.168404344971009e-19,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,0.001160610516103283,-3.8598102491960155e-17,3.325672304051853e-14,19
R01_D_lower_-1_-50_washer_head,R01_EQUIPMENT_FASTENER_KIT,7.941003750479093e-05,7.941003750479093e-05,0.0,7.941003750479093e-05,0.0,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,7.941003750478914e-05,-1.7848833522293715e-18,2.2476797748920936e-14,20
R01_D_lower_-1_-50_washer_nut,R01_EQUIPMENT_FASTENER_KIT,7.941003750479093e-05,7.941003750479093e-05,0.0,7.941003750479093e-05,0.0,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,7.941003750478915e-05,-1.7709389510400796e-18,2.2301197766507486e-14,21
R01_D_lower_-1_140_nut,R01_EQUIPMENT_FASTENER_KIT,0.0003603844252850637,0.0003603844252850637,0.0,0.0003603844252850637,0.0,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,0.00036038442528506877,5.0757620329022756e-18,1.40842990894717e-14,22
R01_D_lower_-1_140_screw,R01_EQUIPMENT_FASTENER_KIT,0.0011606105161033218,0.001160610516103322,2.168404344971009e-19,0.001160610516103322,2.168404344971009e-19,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,0.0011606105161032826,-3.949054416807485e-17,3.402566461370973e-14,23
R01_D_lower_-1_140_washer_head,R01_EQUIPMENT_FASTENER_KIT,7.94100375047909e-05,7.94100375047909e-05,0.0,7.94100375047909e-05,0.0,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,7.941003750478915e-05,-1.743050148661496e-18,2.1949997801680596e-14,24
R01_D_lower_-1_140_washer_nut,R01_EQUIPMENT_FASTENER_KIT,7.94100375047909e-05,7.94100375047909e-05,0.0,7.94100375047909e-05,0.0,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,7.941003750478916e-05,-1.7291057474722037e-18,2.177439781926715e-14,25
R01_D_lower_-1_50_nut,R01_EQUIPMENT_FASTENER_KIT,0.00036038442528506335,0.00036038442528506335,0.0,0.00036038442528506335,0.0,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,0.00036038442528506844,5.0757620329022756e-18,1.408429908947171e-14,26
R01_D_lower_-1_50_screw,R01_EQUIPMENT_FASTENER_KIT,0.0011606105161033216,0.0011606105161033218,2.168404344971009e-19,0.0011606105161033218,2.168404344971009e-19,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,0.0011606105161032828,-3.882121291098883e-17,3.344895843381634e-14,27
R01_D_lower_-1_50_washer_head,R01_EQUIPMENT_FASTENER_KIT,7.941003750479094e-05,7.941003750479094e-05,0.0,7.941003750479094e-05,0.0,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,7.941003750478914e-05,-1.7988277534186635e-18,2.265239773133438e-14,28
R01_D_lower_-1_50_washer_nut,R01_EQUIPMENT_FASTENER_KIT,7.941003750479094e-05,7.941003750479094e-05,0.0,7.941003750479094e-05,0.0,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,7.941003750478916e-05,-1.7709389510400796e-18,2.2301197766507483e-14,29
R01_D_lower_1_-150_nut,R01_EQUIPMENT_FASTENER_KIT,0.0003603844252850636,0.0003603844252850636,0.0,0.0003603844252850636,0.0,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,0.0003603844252850687,5.0757620329022756e-18,1.4084299089471702e-14,30
R01_D_lower_1_-150_screw,R01_EQUIPMENT_FASTENER_KIT,0.0011606105161033218,0.001160610516103322,2.168404344971009e-19,0.001160610516103322,2.168404344971009e-19,OCCT_DEFAULT_FACE_GAUSS_QUADRATURE,0.0011606105161032826,-3.949054416807485e-17,3.402566461370973e-14,31
