path,size_bytes,sha256
CAD_READ_BRIEF_ZH.md,1496,4c8e765949474a7a79afe3e200297515d10ba518c27a772db4ee96fa6b80a4ae
MASS_METHOD_COMPARISON.csv,73148,e1f800d67ad522c59a817293291559f163ec165b5adede2cfe34d8315be48d3d
MATERIAL_INERTIA_DELIVERY.json,8457,376b779575aaa245e6e7d172bb5e081b89316ad94dbdc223e1236f69ab0d661c
MATERIAL_INERTIA_INSTANCES.json,3955552,a347fda3b381220ff547a520cd68b91e6d940d979b4678df0e765fa02d2516ad
MATERIAL_INERTIA_LINEAGE.json,359025,37236062f437b9ee845c06db173d326694a5faceade250db780b8bdd508ed5b6
MATERIAL_MODEL_STATES.json,3944,d84ef198149e161b34e2b3d8c17e904a138b07c32450d7d7ab9aad03890c03b6
README_ZH.md,8118,9c87e816548dd73c0ad71399344adc68ab8d67fb1b0526d2eadfe770d39583be
results/ANALYTICAL_GEOMETRIC_FIXTURES.json,6066,6ebff94c3380d337ea6c36ce3aeb5f9ccce2fa0d0c2ec269765de1c249a61ea7
results/API_PROBE.json,4548,097751bbafb85311d751e8fecbf648c4d7a81cf2a3b606a167345f5a51ae3bc8
results/BATCH_000_004.json,626,0420052dd34151e46bc68b64d0ffd95c1e85bab3433fb5b48db4188fdc9fc550
results/BATCH_013_014.json,191,d3a1f8cd6d995d57295c6f938bb22171454fe6e868bbf1796fb617f9c4089e04
results/BATCH_015_019.json,639,d75fcaa3c93ed843acb3824163459534d68525ec127512746e1adcf28de78bea
results/BATCH_019_031.json,1831,807f2e7ca9c3ab52dacfb008e9c27fa33e11e18d6f1b97a636d784d3674ca52d
results/BATCH_031_043.json,1826,cca7d06decaf39911fe006067868f3fcad3b93a0cf01e75a912cce0c7055c2da
results/BATCH_043_055.json,1830,716d5ed48700feb0a7216d71ad86e428e7e56b19779ec03897f6bd39d72e24c5
results/BATCH_055_067.json,1828,345c4aa2f0163d498cfa2602d4ded43701f7735e6c3b75408ac2928bb0141cbd
results/BATCH_067_079.json,1829,5bb7cabe432092f991e66d8678cfe6f497469432e1983f9a24b35c9c54ed51ac
results/BATCH_079_091.json,1828,c416eefeea74723bec1fb4d0f74fd4ea268b40caf9535b8525dba86183e88c73
results/BATCH_091_103.json,1832,1e4f1beec9de1c411583a1ae59a2e7aa4eed7ce7e518f0469869b5a4d7d90f12
results/BATCH_103_115.json,1838,1724ea8e7171d2e946ba479e65b9eb5e3c8ebcaf7d245305a16ba0c40bda87b4
results/BATCH_115_127.json,1841,0ed9715a7ec2aa84d4a791b9b82741f14b9290a575f57e04f94785b8c15f3d41
results/BATCH_127_139.json,1842,3705ea3315ab0f56bf5a18000e7f852dacd4ace5e9d8c7cd49147870623c17f0
results/BATCH_139_151.json,1837,9d6c32fbe4482a04d96d7a4198d38548f4af287db09057ccea6722aab778342e
results/BATCH_151_163.json,1838,1cabd3de3064f6275591f76eb540d3eabc1591ad5b2a303b872f23ae19350dc3
results/BATCH_163_175.json,1837,cc5c71a4335449e15bf39c687008f95ffd5360323ee4db31aa2a598c71720f5f
results/BATCH_175_187.json,1837,9bebd51c225469025e921b4f4953678dae48a4c0ba418e1ba237c6fd3654e3df
results/BATCH_187_199.json,1836,698e1e5f8671ad952deab9269a018644511b97c7b99696dc2b2af89159e048e4
results/BATCH_199_211.json,1837,7c86f95aed62793e10125e7428b2d62ae44293c35c7fd596874a96e7dd7097f3
results/BATCH_211_223.json,1833,41b500bc6e177d47537e30c1a5510396c9fb3499b871680b338c9f65279ea53d
results/BATCH_223_235.json,1832,0b1cafe5db94aac17db81326ca8d3c6f9a2f2cd654f038029aec2596fb52c516
