pair_id,sub_stack,layer,x_interval_S_mm,od_or_thickness,bearing_face_or_note
E4P-1_1,"aft(-x 星外,自外而内)",head,"[-195, -191]",7,头下面 → 夹套法兰
E4P-1_1,"aft(-x 星外,自外而内)",sleeve_flange,"[-191, -189]",12,隔框外面 x=-189（承压环 8→12）
E4P-1_1,"aft(-x 星外,自外而内)",bulkhead,"[-189, -183]",6,隔框（Ø8 窗口+夹套筒 OD7.9，隙 0.05/边）
E4P-1_1,"aft(-x 星外,自外而内)",end_frame,"[-183, -177]",6,后端框（Ø4.5 M4 接口，既有）
E4P-1_1,"aft(-x 星外,自外而内)",plug_engagement,"[-177, -161]",,Ø4 杆入端塞 Ø3.3 导孔（WP02 螺纹啮合惯例；与 M4×22 原啮合逐位不变）
E4P-1_-1,"aft(-x 星外,自外而内)",head,"[-195, -191]",7,头下面 → 夹套法兰
E4P-1_-1,"aft(-x 星外,自外而内)",sleeve_flange,"[-191, -189]",12,隔框外面 x=-189（承压环 8→12）
E4P-1_-1,"aft(-x 星外,自外而内)",bulkhead,"[-189, -183]",6,隔框（Ø8 窗口+夹套筒 OD7.9，隙 0.05/边）
E4P-1_-1,"aft(-x 星外,自外而内)",end_frame,"[-183, -177]",6,后端框（Ø4.5 M4 接口，既有）
E4P-1_-1,"aft(-x 星外,自外而内)",plug_engagement,"[-177, -161]",,Ø4 杆入端塞 Ø3.3 导孔（WP02 螺纹啮合惯例；与 M4×22 原啮合逐位不变）
E4P--1_1,"aft(-x 星外,自外而内)",head,"[-195, -191]",7,头下面 → 夹套法兰
E4P--1_1,"aft(-x 星外,自外而内)",sleeve_flange,"[-191, -189]",12,隔框外面 x=-189（承压环 8→12）
E4P--1_1,"aft(-x 星外,自外而内)",bulkhead,"[-189, -183]",6,隔框（Ø8 窗口+夹套筒 OD7.9，隙 0.05/边）
E4P--1_1,"aft(-x 星外,自外而内)",end_frame,"[-183, -177]",6,后端框（Ø4.5 M4 接口，既有）
E4P--1_1,"aft(-x 星外,自外而内)",plug_engagement,"[-177, -161]",,Ø4 杆入端塞 Ø3.3 导孔（WP02 螺纹啮合惯例；与 M4×22 原啮合逐位不变）
E4P--1_-1,"aft(-x 星外,自外而内)",head,"[-195, -191]",7,头下面 → 夹套法兰
E4P--1_-1,"aft(-x 星外,自外而内)",sleeve_flange,"[-191, -189]",12,隔框外面 x=-189（承压环 8→12）
E4P--1_-1,"aft(-x 星外,自外而内)",bulkhead,"[-189, -183]",6,隔框（Ø8 窗口+夹套筒 OD7.9，隙 0.05/边）
E4P--1_-1,"aft(-x 星外,自外而内)",end_frame,"[-183, -177]",6,后端框（Ø4.5 M4 接口，既有）
E4P--1_-1,"aft(-x 星外,自外而内)",plug_engagement,"[-177, -161]",,Ø4 杆入端塞 Ø3.3 导孔（WP02 螺纹啮合惯例；与 M4×22 原啮合逐位不变）
