"item_id","domain","artifact","path","exists","bytes","sha256","verification_status","frontier_status","machine_state","authority_basis","next_action"
"A0-001","OWNER_AUTHORITY","ODR-GPT-01..06 direct registration","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_ODR_GPT_01_TO_06_TERMINAL_CLOSURE_V1.yaml","true","10251","B7EE60281935DD7417027D5428B9291BEE7D3F6528022509ACA168FB39B68689","VERIFIED","CURRENT","RECORDED_AS_DIRECTED; next_stage_authorized=false","Direct Owner attachment 67821E04... only","Consume this record; do not infer Owner acceptance or final release"
"A0-002","LOOP_GATE","Mechanical Loop V5 gate","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/15_loop_continuation_v5/MECHANICAL_LOOP_ENGINEERING_CONTINUATION_GATE_V5.json","true","19378","EB7F9AA14E5F455831711089D3ED3A2C5014783E5D103E144E164AFE9CC8379B","VERIFIED","STALE","HOLD; pre-MPI-confirmation snapshot","Historical machine gate","Do not rewrite; replace only through a new versioned terminal evaluation"
"B601-001","B601_BASELINE","Accepted B601 URDF","20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf","true","11321","1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164","VERIFIED","CURRENT","10 links; 9 joints; 6R+1 fixed+2P","KINEMATIC_AUTHORITY; MASS_INERTIA_AUTHORITY","Keep byte-frozen"
"B601-002","B601_HARNESS","Route-B exact full-FK sweep V2","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_solar_array_r2/HARNESS_B601_FULL_FK_SWEEP_V2.json","true","20197","DB86348B8276FB2DCEB48DA30D1969948B37AAC4DF6D67D7588D928CF8281FAE","VERIFIED","CURRENT","FAIL; documented negative result","ODR-GPT-02","Freeze as REJECTED_BY_EXACT_KINEMATIC_SWEEP; never reopen"
"B601-003","B601_HARNESS","Harness-rated operational envelope","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/03_envelope/B601_HARNESS_RATED_ENVELOPE_V1.yaml","true","2236","A63A93DE5B6B3BEE37819379757ABE5B9F7FC457641F852E06676B686BC416C6","VERIFIED","HOLD","E_HRN SAFE=0/75; E_OP EMPTY_NOT_RELEASED","Existing exact evaluator evidence","Continue harness architecture resolution; no release credit"
"B601-004","MISSION_HARNESS","Mandatory mission coverage gate","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/04_mission/B601_HARNESS_MISSION_COVERAGE_GATE.json","true","7324","F3B444222E87509B66F712E623A4903748C7309C6396708EC02A0C1A54CDAA5C","VERIFIED","HOLD","mission_coverage=FAIL; 0/8 trajectory segments released","ODR-GPT-04 condition evidence","Cannot defer Route-C under Gate A until a new mission coverage PASS exists"
"MPI-001","FRAMES","Unique physical-to-dynamics bridge","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/02_bridge/B601_PHYSICAL_DYNAMICS_BRIDGE_V1.yaml","true","12145","0ACEB659284CAB862BA65228C5C2DF4BEB06D9EE05B5E2F0B2B5CB38402BF72C","VERIFIED","CURRENT","CONFIRMED_MECHANICAL_DYNAMICS_BRIDGE","ODR-GPT-01","Use unique bridge only; no mixing/selecting/averaging"
"MPI-002","FRAMES","MPI Bridge Gate V1","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/08_gate/MPI_BRIDGE_GATE_V1.json","true","23153","60911E3C88387E2ED53601F2B541649BF90D689C57C4E74225226AE6FD10C721","VERIFIED","CURRENT","PASS scoped; five bottom-line metrics=0; 9/9","Condition evidence for ODR-GPT-01","Preserve frozen Gate; consume confirmation from ODR-GPT record"
"MPI-003","FRAMES","FB08 independent recomputation","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/08_gate/FB08_INDEPENDENT_RECOMPUTATION_V1.json","true","19620","A5678600AE04EA329D627912C6ED0728943F1E2795160DDFB2CF9697B318F44D","VERIFIED","CURRENT","PASS within MPI bridge scope","Independent reproduction evidence","Retain as bridge validation evidence"
"MPI-004","FRAMES","Original e21 mixed-placement diagnostic gate","30_simulation/e21_m7_r2_arm_placement_rigid_coupled_diagnostics/results/E21_DIAGNOSTIC_GATE_V1.json","true","22675","B03B7C7AF571AA00FE3612756FFBBD99CB834B84377BA8DC2C213355C252616B","VERIFIED","SUPERSEDED","HOLD; two-placement sensitivity","Historical e21 evidence","Use for history only; single-consumer path is E21 bridged V2"
