case_id,target_type,tumble_rate_deg_s,approach_velocity_m_s,arm_speed_scale,pose_error_deg,inertia_scale,reaction_aware,clearance_threshold_m,base_limit_deg
C0001,target_satellite_v0,0.5,0.005,0.5,1.0,0.8,0,0.1,5.0
C0002,target_satellite_v0,0.5,0.005,0.5,1.0,0.8,1,0.1,5.0
C0003,target_satellite_v0,0.5,0.005,0.5,1.0,1.0,0,0.1,5.0
C0004,target_satellite_v0,0.5,0.005,0.5,1.0,1.0,1,0.1,5.0
C0005,target_satellite_v0,0.5,0.005,0.5,1.0,1.2,0,0.1,5.0
C0006,target_satellite_v0,0.5,0.005,0.5,1.0,1.2,1,0.1,5.0
C0007,target_satellite_v0,0.5,0.005,0.5,2.0,0.8,0,0.1,5.0
C0008,target_satellite_v0,0.5,0.005,0.5,2.0,0.8,1,0.1,5.0
C0009,target_satellite_v0,0.5,0.005,0.5,2.0,1.0,0,0.1,5.0
C0010,target_satellite_v0,0.5,0.005,0.5,2.0,1.0,1,0.1,5.0
C0011,target_satellite_v0,0.5,0.005,0.5,2.0,1.2,0,0.1,5.0
C0012,target_satellite_v0,0.5,0.005,0.5,2.0,1.2,1,0.1,5.0
C0013,target_satellite_v0,0.5,0.005,0.5,3.0,0.8,0,0.1,5.0
C0014,target_satellite_v0,0.5,0.005,0.5,3.0,0.8,1,0.1,5.0
C0015,target_satellite_v0,0.5,0.005,0.5,3.0,1.0,0,0.1,5.0
C0016,target_satellite_v0,0.5,0.005,0.5,3.0,1.0,1,0.1,5.0
C0017,target_satellite_v0,0.5,0.005,0.5,3.0,1.2,0,0.1,5.0
C0018,target_satellite_v0,0.5,0.005,0.5,3.0,1.2,1,0.1,5.0
C0019,target_satellite_v0,0.5,0.005,1.0,1.0,0.8,0,0.1,5.0
C0020,target_satellite_v0,0.5,0.005,1.0,1.0,0.8,1,0.1,5.0
C0021,target_satellite_v0,0.5,0.005,1.0,1.0,1.0,0,0.1,5.0
C0022,target_satellite_v0,0.5,0.005,1.0,1.0,1.0,1,0.1,5.0
C0023,target_satellite_v0,0.5,0.005,1.0,1.0,1.2,0,0.1,5.0
C0024,target_satellite_v0,0.5,0.005,1.0,1.0,1.2,1,0.1,5.0
C0025,target_satellite_v0,0.5,0.005,1.0,2.0,0.8,0,0.1,5.0
C0026,target_satellite_v0,0.5,0.005,1.0,2.0,0.8,1,0.1,5.0
C0027,target_satellite_v0,0.5,0.005,1.0,2.0,1.0,0,0.1,5.0
C0028,target_satellite_v0,0.5,0.005,1.0,2.0,1.0,1,0.1,5.0
C0029,target_satellite_v0,0.5,0.005,1.0,2.0,1.2,0,0.1,5.0
C0030,target_satellite_v0,0.5,0.005,1.0,2.0,1.2,1,0.1,5.0
C0031,target_satellite_v0,0.5,0.005,1.0,3.0,0.8,0,0.1,5.0
C0032,target_satellite_v0,0.5,0.005,1.0,3.0,0.8,1,0.1,5.0
C0033,target_satellite_v0,0.5,0.005,1.0,3.0,1.0,0,0.1,5.0
C0034,target_satellite_v0,0.5,0.005,1.0,3.0,1.0,1,0.1,5.0
C0035,target_satellite_v0,0.5,0.005,1.0,3.0,1.2,0,0.1,5.0
C0036,target_satellite_v0,0.5,0.005,1.0,3.0,1.2,1,0.1,5.0
C0037,target_satellite_v0,0.5,0.005,1.5,1.0,0.8,0,0.1,5.0
C0038,target_satellite_v0,0.5,0.005,1.5,1.0,0.8,1,0.1,5.0
C0039,target_satellite_v0,0.5,0.005,1.5,1.0,1.0,0,0.1,5.0
C0040,target_satellite_v0,0.5,0.005,1.5,1.0,1.0,1,0.1,5.0
C0041,target_satellite_v0,0.5,0.005,1.5,1.0,1.2,0,0.1,5.0
C0042,target_satellite_v0,0.5,0.005,1.5,1.0,1.2,1,0.1,5.0
C0043,target_satellite_v0,0.5,0.005,1.5,2.0,0.8,0,0.1,5.0
C0044,target_satellite_v0,0.5,0.005,1.5,2.0,0.8,1,0.1,5.0
C0045,target_satellite_v0,0.5,0.005,1.5,2.0,1.0,0,0.1,5.0
C0046,target_satellite_v0,0.5,0.005,1.5,2.0,1.0,1,0.1,5.0
C0047,target_satellite_v0,0.5,0.005,1.5,2.0,1.2,0,0.1,5.0
C0048,target_satellite_v0,0.5,0.005,1.5,2.0,1.2,1,0.1,5.0
C0049,target_satellite_v0,0.5,0.005,1.5,3.0,0.8,0,0.1,5.0
C0050,target_satellite_v0,0.5,0.005,1.5,3.0,0.8,1,0.1,5.0
C0051,target_satellite_v0,0.5,0.005,1.5,3.0,1.0,0,0.1,5.0
C0052,target_satellite_v0,0.5,0.005,1.5,3.0,1.0,1,0.1,5.0
C0053,target_satellite_v0,0.5,0.005,1.5,3.0,1.2,0,0.1,5.0
C0054,target_satellite_v0,0.5,0.005,1.5,3.0,1.2,1,0.1,5.0
C0055,target_satellite_v0,0.5,0.01,0.5,1.0,0.8,0,0.1,5.0
C0056,target_satellite_v0,0.5,0.01,0.5,1.0,0.8,1,0.1,5.0
C0057,target_satellite_v0,0.5,0.01,0.5,1.0,1.0,0,0.1,5.0
C0058,target_satellite_v0,0.5,0.01,0.5,1.0,1.0,1,0.1,5.0
C0059,target_satellite_v0,0.5,0.01,0.5,1.0,1.2,0,0.1,5.0
C0060,target_satellite_v0,0.5,0.01,0.5,1.0,1.2,1,0.1,5.0
C0061,target_satellite_v0,0.5,0.01,0.5,2.0,0.8,0,0.1,5.0
C0062,target_satellite_v0,0.5,0.01,0.5,2.0,0.8,1,0.1,5.0
C0063,target_satellite_v0,0.5,0.01,0.5,2.0,1.0,0,0.1,5.0
C0064,target_satellite_v0,0.5,0.01,0.5,2.0,1.0,1,0.1,5.0
C0065,target_satellite_v0,0.5,0.01,0.5,2.0,1.2,0,0.1,5.0
C0066,target_satellite_v0,0.5,0.01,0.5,2.0,1.2,1,0.1,5.0
C0067,target_satellite_v0,0.5,0.01,0.5,3.0,0.8,0,0.1,5.0
C0068,target_satellite_v0,0.5,0.01,0.5,3.0,0.8,1,0.1,5.0
C0069,target_satellite_v0,0.5,0.01,0.5,3.0,1.0,0,0.1,5.0
C0070,target_satellite_v0,0.5,0.01,0.5,3.0,1.0,1,0.1,5.0
