[11:32:39] SW_CLEARED {"before": 0, "after": 0, "locks_swept": 0, "avail_mb": 6179}
[sw_session_connect] SW_CONNECT: {"mode": "launched"}
[sw_session_connect] SW_VERSION: {"revision": "32.5.0", "year": 2024}
[11:33:45] SW_CONNECTED {"visible": false, "revision": "32.5.0"}
[11:33:45] SW_STARTED {"tag": "r2b3_STOWED_ENGINEERING_CANDIDATE_a1", "sw_before": 0, "locks_swept": 0, "avail_mb_start": 6455, "revision": "32.5.0"}
[r2b3_STOWED_ENGINEERING_CANDIDATE] DOC_OPEN_SILENT: {"path": "F:\\China Graduate Future Flight Vehicle Innovation Competition\\20_engineering\\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\\03_native_cad\\F3R2_SPACE_EMBODIED_ROBOT_OPERATIONAL_BASELINE.SLDA
[r2b3_STOWED_ENGINEERING_CANDIDATE] CONFIG_ACTIVE: {"name": "STOWED_ENGINEERING_CANDIDATE"}
[11:34:19] IDM_PROP_SKIP {"prop": "UseSelectedComponents", "err": "'<win32com.gen_py.SldWorks 2024 Type Library.IInterferenceDetectionMgr"}
[11:34:29] IINTERFERENCE_API_PROBE {"stage": "TOP_LEVEL", "members": {"early.Volume": "float", "late.Volume": "9.260590212701643e-05", "early.GetComponents": "ABSENT", "late.GetComponents": "ABSENT:<unknown>.GetComponents", "early.GetC
[11:34:29] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:29] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:30] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:30] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
[11:34:31] LATE_GETCOMPONENT_INDEX_FAILED {"err": "<unknown>.GetComponent"}
[11:34:31] LATE_GETCOMPONENTS_FAILED {"err": "<unknown>.GetComponents"}
