id,hold_or_negative,source_id,effect
H-01,MECHANICAL_RELEASE_FALSE,mechanical_release_gate,blocks mechanical freeze
H-02,ODR60_OPTION_A_RECORDED_BUT_STATIC_PREFLIGHT_AND_RUNTIME_ADMISSION_FALSE,odr60_option_a_execution_closure,blocks geometry/pair/edge/path execution
H-03,M01_SCENE_CLEARANCE_MOTION_CERTIFICATE_PAIR_ORACLE_INCOMPLETE,odr60_binding_intake,blocks path admission
H-04,ODR60_PREFLIGHT_DUPLICATE_JSON_KEY_LEGACY_V1_RETAINED,odr60_preflight,legacy negative retained; strict V2 is consumed by current execution closure
H-05,CTRL01_REPEAT,ctrl01_gate,negative control result retained
H-06,CTRL01_REORG04_CONFIG_HASH_DRIFT,ctrl_r2_predevelopment,blocks exact legacy replay claim
H-07,CTRL02_HARDWARE_ACTUATOR_DYNAMICS_NOT_EVALUATED,ctrl02_gate,provisional scope only
H-08,SAFE00_PENDING_REVIEW_NEXT_STAGE_FALSE,safe00_gate,interface only
H-09,E15_REPEAT_ANCF_CERTIFICATION,e15_gate,legacy negative retained
H-10,E22_HOLD_16_OF_18,e22_gate,historical negative retained
H-11,E23_DECLARED_PROVISIONAL_PHYSICS,e23_gate,no mission release inheritance
H-12,SIM13_20_OF_20_IS_NEGATIVE_CONTROL_BACKEND_CREDIT_ONLY,sim13_20_of_20,not non-ABORT capture credit
H-13,R2_DYNAMICS_DG1_UNIT_METRIC_DG2_INDEPENDENT_CONSERVATION_HOLD,r2_dynamics_engineering,blocks dynamics engineering pass
H-14,R2_CONTROL_TASK_SPACE_UNIT_METRIC_UNBOUND,r2_control_engineering,blocks tracking and control engineering credit
H-15,R2_DYNAMICS_CONTROL_SYSTEM_NOT_READY,r2_dynamics_control_system,blocks physics-gated embodied-intelligence progression
