check_id,sheet_scope,requirement,evidence_path,status,blocking_hold
DRW-001,ALL,Controlled model configuration named M3R_INTERFACE_ASSEMBLY_V2_WORKING,06_parameterized_parts/m3r/M3R_INTERFACE_ASSEMBLY_V2_BUILD_RECEIPT.json,PASS_WORKING,NOT_RELEASE_AUTHORITY
DRW-002,ALL,Independent STEP geometric equivalence to pinned RevB2,06_parameterized_parts/m3r/M3R_INTERFACE_ASSEMBLY_V2_GEOMETRY_VALIDATION.json,PASS_WORKING,NOT_RELEASE_AUTHORITY
DRW-003,M3R-A-001,All nominal Stage A dimensions trace to parameter table,06_parameterized_parts/m3r/M3R_STAGE_A_PARAMETER_TABLE.yaml,PASS_WORKING,NOT_RELEASE_AUTHORITY
DRW-004,M3R-B-001,All nominal Stage B dimensions trace to parameter table,06_parameterized_parts/m3r/M3R_STAGE_B_PARAMETER_TABLE.yaml,PASS_WORKING,NOT_RELEASE_AUTHORITY
DRW-005,ALL,Released material and process specification,,HOLD,MATERIAL_PROCESS_HOLD
DRW-006,ALL,General and feature-specific tolerances with uncertainty basis,,HOLD,ALL_MANUFACTURING_TOLERANCES_HOLD
DRW-007,ALL,Datum scheme approved by design manufacturing and metrology,,HOLD,DATUM_SCHEME_APPROVAL_HOLD
DRW-008,M3R-A-001,B601 physical interface measurement and fit-up witnessed,,HOLD,B601_PHYSICAL_FITUP_HOLD
DRW-009,M3R-B-001,Live load bridge mating pattern and face measured,,HOLD,M6_LIVE_MATING_LOAD_BRIDGE_GEOMETRY_HOLD
DRW-010,M3R-ASM-001,M4 M5 M6 and dowel complete callouts approved,,HOLD,FASTENER_AND_DOWEL_SPECIFICATION_HOLD
DRW-011,M3R-ASM-001,Torque tool access and assembly sequence witnessed,,HOLD,ASSEMBLY_ACCESS_WITNESS_HOLD
DRW-012,ALL,Authorized structural loads and completed critical-part analysis,,HOLD,AUTHORIZED_LOADS_AND_FORMAL_FEA_HOLD
DRW-013,ALL,Inspection plan gages and acceptance criteria approved,,HOLD,INSPECTION_PLAN_HOLD
DRW-014,ALL,Human configuration-management release signature,,HOLD,HUMAN_CM_RELEASE_HOLD
DRW-015,ALL,No NOT-FOR-MANUFACTURE watermark remains,,HOLD,DEPENDENT_ON_DRW_005_THROUGH_DRW_014

