pocket_id,x_start_mm,x_end_mm,x_interval_mm,required_Y_depth_mm,required_Z_depth_mm,extra_Y_over_corridor_mm,responsible,exceeds_226p3
POCKET_1,-195.0,-188.0,8.0,198.4775556740619,14.136678871633084,118.1775556740619,base_link + gripper,False
POCKET_2,-185.0,-184.0,2.0,199.99996230009512,0.12674784552319807,119.69996230009512,base_link + gripper,False
POCKET_3,-153.0,-153.0,1.0,81.2140388999739,0.5379308534917584,0.9140388999739031,base_link + gripper,False
POCKET_4,-147.0,-147.0,1.0,87.1282713219499,0.5456167123013245,6.828271321949899,base_link + gripper,False
POCKET_5,-141.0,-141.0,1.0,90.77024103681713,0.5522113676173035,10.470241036817129,base_link + gripper,False
POCKET_6,-135.0,-135.0,1.0,91.99998146595112,0.5574612321479862,11.699981465951126,base_link + gripper,False
POCKET_7,-107.0,-107.0,1.0,91.9999814659511,84.94401996036973,11.699981465951097,base_link + gripper,False
POCKET_8,-101.0,-101.0,1.0,90.77024103681713,103.95992008611978,10.470241036817129,base_link + gripper,False
POCKET_9,-95.0,-89.0,7.0,144.79137752776796,172.26456941135731,64.49137752776797,base_link + gripper,False
POCKET_10,-85.0,-73.0,13.0,158.9692790661341,188.75473523657936,78.66927906613411,base_link + gripper,False
POCKET_11,-65.0,-52.0,14.0,276.17788688130855,105.68215109479992,195.87788688130854,base_link + gripper,True
POCKET_12,-49.0,-45.0,5.0,200.62799784635394,69.31908759637281,120.32799784635394,base_link + gripper,False
POCKET_13,-35.0,-34.0,2.0,119.20787149777641,62.409146829090005,38.90787149777641,base_link + gripper,False
POCKET_14,-30.0,-24.0,7.0,156.84771576342706,116.69823435378285,76.54771576342706,base_link + gripper,False
POCKET_15,-21.0,-17.0,5.0,133.5688133139091,187.01156503710865,53.26881331390909,base_link + gripper,False
