candidate,extremum,coordinate_mm,component,group,vertex_id,station_x_mm
CAND_0_THIN,X_MIN,-191.2531,base_link,BASE_FIXED_SYSTEM,hull_vertex_11,-191.25
CAND_0_THIN,X_MAX,191.2531,link2,SERIAL_ARM,hull_vertex_529,191.25
CAND_0_THIN,Y_MIN,-141.7006,base_link,BASE_FIXED_SYSTEM,hull_vertex_29,-181.25
CAND_0_THIN,Y_MAX,141.7006,gripper_right,DISTAL_SYSTEM,hull_vertex_51,-58.58
CAND_0_THIN,Z_MIN,-124.9397,gripper_link,DISTAL_SYSTEM,hull_vertex_66,-41.42
CAND_0_THIN,Z_MAX,124.9397,link2,SERIAL_ARM,hull_vertex_115,162.68
CAND_2_FIT,X_MIN,-194.4167,base_link,BASE_FIXED_SYSTEM,hull_vertex_4,-194.42
CAND_2_FIT,X_MAX,194.4167,link3,SERIAL_ARM,hull_vertex_156,194.42
CAND_2_FIT,Y_MIN,-141.6503,base_link,BASE_FIXED_SYSTEM,hull_vertex_28,-63.91
CAND_2_FIT,Y_MAX,141.6503,gripper_right,DISTAL_SYSTEM,hull_vertex_51,-53.18
CAND_2_FIT,Z_MIN,-130.6909,gripper_link,DISTAL_SYSTEM,hull_vertex_66,-35.96
CAND_2_FIT,Z_MAX,130.6909,link2,SERIAL_ARM,hull_vertex_64,-97.80
CAND_2_THIN,X_MIN,-192.8407,base_link,BASE_FIXED_SYSTEM,hull_vertex_33,-192.84
CAND_2_THIN,X_MAX,192.8407,link3,SERIAL_ARM,hull_vertex_127,192.84
CAND_2_THIN,Y_MIN,-100.0001,base_link,BASE_FIXED_SYSTEM,hull_vertex_28,-62.84
CAND_2_THIN,Y_MAX,100.0001,base_link,BASE_FIXED_SYSTEM,hull_vertex_14,-182.84
CAND_2_THIN,Z_MIN,-174.0343,gripper_right,DISTAL_SYSTEM,hull_vertex_53,6.78
CAND_2_THIN,Z_MAX,174.0343,link2,SERIAL_ARM,hull_vertex_513,161.16
CAND_3_THIN,X_MIN,-193.9221,base_link,BASE_FIXED_SYSTEM,hull_vertex_33,-193.92
CAND_3_THIN,X_MAX,193.9221,link3,SERIAL_ARM,hull_vertex_127,193.92
CAND_3_THIN,Y_MIN,-100.0001,base_link,BASE_FIXED_SYSTEM,hull_vertex_28,-63.92
CAND_3_THIN,Y_MAX,100.0001,base_link,BASE_FIXED_SYSTEM,hull_vertex_14,-183.92
CAND_3_THIN,Z_MIN,-177.3155,gripper_right,DISTAL_SYSTEM,hull_vertex_53,12.44
CAND_3_THIN,Z_MAX,177.3155,link2,SERIAL_ARM,hull_vertex_513,159.41
CAND_5_THIN,X_MIN,-182.7145,link2,SERIAL_ARM,hull_vertex_456,-182.71
CAND_5_THIN,X_MAX,182.7145,link4,SERIAL_ARM,hull_vertex_208,182.71
CAND_5_THIN,Y_MIN,-100.0118,base_link,BASE_FIXED_SYSTEM,hull_vertex_29,26.82
CAND_5_THIN,Y_MAX,100.0118,base_link,BASE_FIXED_SYSTEM,hull_vertex_16,146.80
CAND_5_THIN,Z_MIN,-149.2874,gripper_right,DISTAL_SYSTEM,hull_vertex_53,96.13
CAND_5_THIN,Z_MAX,149.2874,link3,SERIAL_ARM,hull_vertex_130,-174.10
