id,track,priority,status,publication_dependency,task,completion_evidence,source
PUB-01,PUBLICATION,P0,OPEN,YES,核对已跟踪环境快照中的认证/API凭据，处理拟公开树及历史,真实凭据撤销/轮换；公开副本和全部拟推送历史无相关值；专用秘密扫描及人工复核记录,SECRET_FINDINGS_REDACTED.json
PUB-02,PUBLICATION,P0,OPEN,YES,从拟公开历史排除922.933 MiB KiCad安装器,普通Git可达blob无超过100MiB项；不是只在最后提交删除；原研究历史留档,HISTORY_LARGE_BLOBS.csv
PUB-03,PUBLICATION,P0,OPEN,YES,选择源码/当前CAD/必要结果的公开白名单,文件级manifest与原HEAD、工作树快照哈希；2073未跟踪起始项有选择记录；禁止无差别git add,GITHUB_PACKAGING_AUDIT.md
PUB-04,PUBLICATION,P0,OPEN,YES,决定自有代码/硬件/文档/数据许可并核验第三方范围,LICENSE或明确授权安排、THIRD_PARTY_NOTICES、来源URL/commit/许可/修改说明；未核权资产用来源入口替代,RIGHTS_AND_PRIVACY_AUDIT.md
PUB-05,PUBLICATION,P0,OPEN,YES,去除本机配置、私人协作背景与附件元数据中的不适合公开内容,审阅过的发布副本和示例配置；Office/PDF/ZIP元数据检查；不删除原件,PRIVACY_PRESCAN.json
PUB-06,PUBLICATION,P0,OPEN,YES,编写公开README、引用信息、当前状态与负结果索引,主张逐项绑定对象/版本/Gate；sim12重发、父HOLD/子PASS和质量版本差异写清；CITATION信息真实,RESEARCH_AUDIT.md
PUB-07,PUBLICATION,P0,OPEN,IF_CLAIM_REPRODUCIBLE,选定最小数值复现集并修复/隔离输入pin漂移,干净clone中具名场景可重放；sim10/WP10漂移有版本化处置，未修复部分不宣称开箱PASS；旧Gate零覆盖,RESEARCH_EVIDENCE.json
PUB-08,PUBLICATION,P0,OPEN,IF_DELIVER_NATIVE_CAD,制作完整可移植R6H原生引用包,再分发许可成立；异根目录冷打开15组/1153叶/1602实体、无缺引用；源包哈希不变,ENGINEERING_AUDIT.md
PUB-09,PUBLICATION,P1,OPEN,YES,建立分层依赖入口和最小CI,无商业CAD轻量检查入口；科学复现依赖锁；Windows CAD工具版本与许可证说明；隔离输出目录,GITHUB_PACKAGING_AUDIT.md
PUB-10,PUBLICATION,P1,OPEN,IF_LFS_INCLUDED,按发布范围检查LFS与Release附件,匹配指针/属性；新clone实际获得全部对象；下载后SHA校验；附件大小满足当前规则,LFS_ATTRIBUTE_MISMATCH.csv
