path,files,bytes,GiB
(root files),6,39869,3.7e-05
.claude,14,27400,2.6e-05
.claude/agents,11,18109,1.7e-05
.codex,22,79238,7.4e-05
.codex/agents,13,30076,2.8e-05
.codex/skills,7,41413,3.9e-05
.git,26914,13872119091,12.919418
.git/gk,1,463,0.0
.git/hooks,18,27247,2.5e-05
.git/info,2,3531,3e-06
.git/lfs,5984,10877805945,10.130746
.git/logs,34,98569,9.2e-05
.git/objects,20729,2983982619,2.77905
.git/refs,3,123,0.0
.git/worktrees,133,1283242,0.001195
01_project,25602,7719347546,7.189203
01_project/PL1_MAINLINE_20260808,44,762968,0.000711
01_project/competition,25475,7582108921,7.061389
01_project/current,12,56210,5.2e-05
01_project/governance,66,135902715,0.126569
01_project/inbox,4,515393,0.00048
10_research,255,2403776,0.002239
10_research/00_project_architecture,7,83738,7.8e-05
10_research/comp_prot_03_a4_b5_0_b601_space_manipulator_engineering_cad,1,6604,6e-06
10_research/comp_prot_03_a4_b5_1_b601_interface_closure_articulation_stowage,1,5154,5e-06
10_research/comp_prot_03_a4_b5_1r1_b601_canonical_interface_native_articulation_rework,2,12034,1.1e-05
10_research/competition_convergence,22,299333,0.000279
10_research/contribution_map,3,9166,9e-06
10_research/control,2,36944,3.4e-05
10_research/framework_convergence,17,99674,9.3e-05
10_research/integration,2,28678,2.7e-05
10_research/knowledge_base,26,187693,0.000175
10_research/mechanical_design_progress_gallery_20260729,5,390954,0.000364
10_research/on_orbit_assembly,19,225316,0.00021
10_research/panel,2,10807,1e-05
10_research/partner_requirement_closure,21,150151,0.00014
10_research/research_os_01,4,13410,1.2e-05
10_research/research_os_02,6,31795,3e-05
10_research/research_questions,7,30394,2.8e-05
10_research/rom,2,26548,2.5e-05
10_research/sim_12,7,19968,1.9e-05
10_research/space_embodied_robotics,89,655712,0.000611
10_research/theory_graph,5,27789,2.6e-05
10_research/vla,2,27222,2.5e-05
20_engineering,32763,20490826184,19.083569
20_engineering/F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806,358,931954216,0.86795
20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1,49,35504806,0.033066
20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1,56,947519,0.000882
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1,1316,538089377,0.501135
20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821,37,303524,0.000283
20_engineering/F3R2_MECHANICAL_DETAILED_DESIGN_V1,70,3930480,0.003661
20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1,64,2480270,0.00231
20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807,520,772874415,0.719795
20_engineering/F3R2_V4_COMPETITION_MECHANICAL_CANDIDATE_20260809,126,25466809,0.023718
20_engineering/F3R2_V5R_FREECAD_OPERATIONAL_CLOSURE_20260820,30,108478873,0.101029
20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820,236,634176466,0.590623
20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE,1690,2990800527,2.7854
